z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Annular_Density_ch, Annular_Velocity_ch, Annular_Temperature_ch, 
0.000526316, 1.00021e+06, 0.143106, 1173, 1173, 0.173155, 0.0184696, 4.51821e-17, 0.0279841, 0.194783, 0.585599, 8.82493e-06, 0.258484, 0.00725226, 4.20585e-09, 0.00423895, 2.30324e-05, 0.260824, 0.000231742, 8.66045e-08, 6.52856e-11, 1.43774e-11, 1.20863e-09, 3.71315e-10, 4.84475e-08, 0.468946, 0.0206708, 0.01, 1173, 
0.00157895, 1.00019e+06, 0.148516, 1173, 1173, 0.133679, 0.0343181, 1.74559e-17, 0.0433104, 0.275278, 0.513406, 8.47248e-06, 0.267564, 0.0039179, 2.82738e-09, 0.00323604, 2.31502e-05, 0.31677, 0.000148827, 2.25057e-07, 1.25566e-10, 8.18641e-12, 7.7761e-10, 2.14802e-10, 5.78274e-08, 0.40834, 0.0206708, 0.018299, 1173, 
0.00263158, 1.00018e+06, 0.152556, 1173, 1173, 0.110632, 0.0463567, 1.12517e-17, 0.0505995, 0.316954, 0.475449, 8.31677e-06, 0.267907, 0.00294058, 2.18348e-09, 0.0027964, 2.34791e-05, 0.345172, 0.000119859, 3.52452e-07, 1.69829e-10, 6.06332e-12, 5.95883e-10, 1.57497e-10, 6.29129e-08, 0.38104, 0.0206708, 0.0285708, 1173, 
0.00368421, 1.00017e+06, 0.152787, 1173, 1173, 0.0947424, 0.0560626, 8.76462e-18, 0.0553642, 0.341929, 0.451893, 8.25677e-06, 0.266414, 0.0024805, 1.79026e-09, 0.00254468, 2.39555e-05, 0.363613, 0.000105013, 4.63072e-07, 2.0424e-10, 4.96403e-12, 4.88579e-10, 1.26206e-10, 6.66624e-08, 0.364818, 0.0206708, 0.0400249, 1173, 
0.00473684, 1.00016e+06, 0.15395, 1173, 1173, 0.0827819, 0.0641824, 7.37867e-18, 0.0591661, 0.357819, 0.436043, 8.2538e-06, 0.264373, 0.00221877, 1.51741e-09, 0.00238189, 2.45326e-05, 0.377009, 9.60889e-05, 5.5764e-07, 2.32027e-10, 4.2827e-12, 4.15365e-10, 1.05943e-10, 6.98322e-08, 0.353897, 0.0206708, 0.052231, 1173, 
0.00578947, 1.00015e+06, 0.152339, 1173, 1173, 0.0732487, 0.0712021, 6.6687e-18, 0.0626062, 0.368017, 0.424918, 8.28981e-06, 0.262105, 0.00205516, 1.31257e-09, 0.0022691, 2.52096e-05, 0.387486, 9.02624e-05, 6.38227e-07, 2.55193e-10, 3.81181e-12, 3.60921e-10, 9.14433e-11, 7.27721e-08, 0.345968, 0.0206708, 0.0649196, 1173, 
0.00684211, 1.00014e+06, 0.152231, 1173, 1173, 0.0653981, 0.0773673, 6.31949e-18, 0.0658994, 0.374323, 0.417003, 8.35384e-06, 0.259758, 0.00194854, 1.15157e-09, 0.00218821, 2.59716e-05, 0.396021, 8.63093e-05, 7.06252e-07, 2.74803e-10, 3.46306e-12, 3.18355e-10, 8.0433e-11, 7.56097e-08, 0.339971, 0.0206708, 0.0779066, 1173, 
0.00789474, 1.00013e+06, 0.149704, 1173, 1173, 0.0587098, 0.0829168, 6.02246e-18, 0.0692135, 0.377791, 0.41136, 8.44038e-06, 0.257344, 0.00187817, 1.01947e-09, 0.00212869, 2.68294e-05, 0.403273, 8.35763e-05, 7.6364e-07, 2.91775e-10, 3.18822e-12, 2.8351e-10, 7.16261e-11, 7.84665e-08, 0.335265, 0.0206708, 0.0910576, 1173, 
0.00894737, 1.00012e+06, 0.148918, 1173, 1173, 0.0529394, 0.0879255, 6.37762e-18, 0.0725824, 0.37909, 0.407455, 8.54482e-06, 0.254914, 0.00183333, 9.09027e-10, 0.00208498, 2.77708e-05, 0.409526, 8.17205e-05, 8.1117e-07, 3.06475e-10, 2.96359e-12, 2.54376e-10, 6.43937e-11, 8.13581e-08, 0.331532, 0.0206708, 0.10427, 1173, 
0.01, 1.0001e+06, 0.145886, 1173, 1173, 0.0478679, 0.0925014, 5.71941e-18, 0.0760606, 0.378685, 0.404876, 8.66366e-06, 0.252467, 0.00180715, 8.14484e-10, 0.00205298, 2.87987e-05, 0.415036, 8.051e-05, 8.50096e-07, 3.19326e-10, 2.77275e-12, 2.29391e-10, 5.8277e-11, 8.43235e-08, 0.328527, 0.0206708, 0.117463, 1173, 
