z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Annular_Density, Annular_Velocity, Annular_Temperature, 
0.000526316, 1.00021e+06, 0.143106, 1173, 1173, 0.179751, 0.0334749, 9.3549e-17, 0.0796897, 0.0254092, 0.682628, 2.28128e-05, 0.258484, 0.00725226, 4.20585e-09, 0.00423895, 2.30324e-05, 0.260824, 0.000231742, 8.66045e-08, 6.52856e-11, 1.43774e-11, 1.20863e-09, 3.71315e-10, 4.84475e-08, 0.468946, 0.0206708, 0.01, 1173, 
0.00157895, 1.00019e+06, 0.148516, 1173, 1173, 0.144765, 0.0648863, 3.77034e-17, 0.128662, 0.0374608, 0.624326, 2.28477e-05, 0.267564, 0.0039179, 2.82738e-09, 0.00323604, 2.31502e-05, 0.31677, 0.000148827, 2.25057e-07, 1.25566e-10, 8.18641e-12, 7.7761e-10, 2.14802e-10, 5.78274e-08, 0.40834, 0.0206708, 0.018299, 1173, 
0.00263158, 1.00018e+06, 0.152556, 1173, 1173, 0.122428, 0.0895649, 2.48345e-17, 0.153603, 0.0440757, 0.590813, 2.29184e-05, 0.267907, 0.00294058, 2.18348e-09, 0.0027964, 2.34791e-05, 0.345172, 0.000119859, 3.52452e-07, 1.69829e-10, 6.06332e-12, 5.95883e-10, 1.57497e-10, 6.29129e-08, 0.38104, 0.0206708, 0.0285708, 1173, 
0.00368421, 1.00017e+06, 0.152787, 1173, 1173, 0.105906, 0.109415, 1.95409e-17, 0.169769, 0.0480304, 0.56723, 2.29835e-05, 0.266414, 0.0024805, 1.79026e-09, 0.00254468, 2.39555e-05, 0.363613, 0.000105013, 4.63072e-07, 2.0424e-10, 4.96403e-12, 4.88579e-10, 1.26206e-10, 6.66624e-08, 0.364818, 0.0206708, 0.0400249, 1173, 
0.00473684, 1.00016e+06, 0.15395, 1173, 1173, 0.0928577, 0.125697, 1.65081e-17, 0.182059, 0.0504371, 0.549238, 2.30551e-05, 0.264373, 0.00221877, 1.51741e-09, 0.00238189, 2.45326e-05, 0.377009, 9.60889e-05, 5.5764e-07, 2.32027e-10, 4.2827e-12, 4.15365e-10, 1.05943e-10, 6.98322e-08, 0.353897, 0.0206708, 0.052231, 1173, 
0.00578947, 1.00015e+06, 0.152339, 1173, 1173, 0.0821027, 0.13934, 1.49085e-17, 0.1925, 0.0518358, 0.534824, 2.31384e-05, 0.262105, 0.00205516, 1.31257e-09, 0.0022691, 2.52096e-05, 0.387486, 9.02624e-05, 6.38227e-07, 2.55193e-10, 3.81181e-12, 3.60921e-10, 9.14433e-11, 7.27721e-08, 0.345968, 0.0206708, 0.0649196, 1173, 
0.00684211, 1.00014e+06, 0.152231, 1173, 1173, 0.0729212, 0.150617, 1.40543e-17, 0.20157, 0.0524494, 0.522128, 2.31956e-05, 0.259758, 0.00194854, 1.15157e-09, 0.00218821, 2.59716e-05, 0.396021, 8.63093e-05, 7.06252e-07, 2.74803e-10, 3.46306e-12, 3.18355e-10, 8.0433e-11, 7.56097e-08, 0.339971, 0.0206708, 0.0779066, 1173, 
0.00789474, 1.00013e+06, 0.149704, 1173, 1173, 0.0651196, 0.160572, 1.33233e-17, 0.210595, 0.0526572, 0.512356, 2.33128e-05, 0.257344, 0.00187817, 1.01947e-09, 0.00212869, 2.68294e-05, 0.403273, 8.35763e-05, 7.6364e-07, 2.91775e-10, 3.18822e-12, 2.8351e-10, 7.16261e-11, 7.84665e-08, 0.335265, 0.0206708, 0.0910576, 1173, 
0.00894737, 1.00012e+06, 0.148918, 1173, 1173, 0.0579784, 0.168124, 1.3931e-17, 0.218059, 0.0521715, 0.501089, 2.33035e-05, 0.254914, 0.00183333, 9.09027e-10, 0.00208498, 2.77708e-05, 0.409526, 8.17205e-05, 8.1117e-07, 3.06475e-10, 2.96359e-12, 2.54376e-10, 6.43937e-11, 8.13581e-08, 0.331532, 0.0206708, 0.10427, 1173, 
0.01, 1.0001e+06, 0.145886, 1173, 1173, 0.0519794, 0.175373, 1.23873e-17, 0.22657, 0.0516738, 0.493694, 2.34272e-05, 0.252467, 0.00180715, 8.14484e-10, 0.00205298, 2.87987e-05, 0.415036, 8.051e-05, 8.50096e-07, 3.19326e-10, 2.77275e-12, 2.29391e-10, 5.8277e-11, 8.43235e-08, 0.328527, 0.0206708, 0.117463, 1173, 
