z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3, GasTemperature_3, SolidTemperature_3, CH4_3, CO_3, O2_3, CO2_3, H2_3, H2O_3, AR_3, H(s)_3, O(s)_3, CH4(s)_3, H2O(s)_3, CO2(s)_3, CO(s)_3, OH(s)_3, C(s)_3, HCO(s)_3, CH(s)_3, CH3(s)_3, CH2(s)_3, COOH(s)_3, Ni(s)_3, 
0.000526316, 1.00023e+06, 1.00023e+06, 1.00022e+06, 1.00018e+06, 0.14207, 1173, 1173, 0.174232, 0.0183113, 4.78252e-17, 0.0285879, 0.190307, 0.588553, 8.8682e-06, 0.256617, 0.00749287, 4.25058e-09, 0.00427906, 2.35929e-05, 0.260353, 0.000236667, 8.3852e-08, 6.42602e-11, 1.47082e-11, 1.22578e-09, 3.79203e-10, 4.9054e-08, 0.470998, 0.142096, 1173, 1173, 0.17422, 0.0182982, 4.76945e-17, 0.0284989, 0.190533, 0.588441, 8.86486e-06, 0.256751, 0.00748204, 4.25e-09, 0.00427794, 2.35419e-05, 0.260265, 0.000236465, 8.39009e-08, 6.42475e-11, 1.46972e-11, 1.22542e-09, 3.78956e-10, 4.89769e-08, 0.470964, 0.14215, 1173, 1173, 0.174132, 0.0183056, 4.74796e-17, 0.02841, 0.190899, 0.588245, 8.86263e-06, 0.256915, 0.00746282, 4.24648e-09, 0.00427513, 2.34908e-05, 0.260274, 0.000236084, 8.40959e-08, 6.43145e-11, 1.46706e-11, 1.22407e-09, 3.78324e-10, 4.89177e-08, 0.470813, 0.14307, 1173, 1173, 0.173635, 0.0185695, 4.74272e-17, 0.0288655, 0.190925, 0.587996, 8.8807e-06, 0.256445, 0.0074446, 4.22624e-09, 0.00426512, 2.37703e-05, 0.261657, 0.000235519, 8.51848e-08, 6.51196e-11, 1.45989e-11, 1.21805e-09, 3.76454e-10, 4.95021e-08, 0.469929, 
0.00157895, 1.00022e+06, 1.00022e+06, 1.00021e+06, 1.00017e+06, 0.150817, 1173, 1173, 0.132303, 0.0344145, 1.62103e-17, 0.042358, 0.282579, 0.508338, 8.37433e-06, 0.269852, 0.00376173, 2.78553e-09, 0.00318951, 2.22917e-05, 0.316557, 0.000144779, 2.32906e-07, 1.26998e-10, 7.97685e-12, 7.64921e-10, 2.09542e-10, 5.64143e-08, 0.406472, 0.150663, 1173, 1173, 0.132448, 0.0344242, 1.63856e-17, 0.0425588, 0.281473, 0.509087, 8.39103e-06, 0.269481, 0.00378427, 2.79022e-09, 0.00319607, 2.24315e-05, 0.316661, 0.000145361, 2.31855e-07, 1.26859e-10, 8.00355e-12, 7.66377e-10, 2.10204e-10, 5.6657e-08, 0.406709, 0.150162, 1173, 1173, 0.132865, 0.0344921, 1.69304e-17, 0.0432552, 0.278096, 0.511284, 8.44184e-06, 0.268295, 0.00385302, 2.80354e-09, 0.00321508, 2.28836e-05, 0.317095, 0.000147111, 2.28914e-07, 1.2655e-10, 8.0831e-12, 7.70538e-10, 2.12161e-10, 5.74519e-08, 0.407371, 0.145967, 1173, 1173, 0.134121, 0.0346851, 1.84588e-17, 0.0450069, 0.269249, 0.516929, 8.56713e-06, 0.26512, 0.00404077, 2.84207e-09, 0.00326437, 2.41307e-05, 0.318282, 0.000151803, 2.21388e-07, 1.25747e-10, 8.30848e-12, 7.82576e-10, 2.17704e-10, 5.96128e-08, 0.409117, 
0.00263158, 1.00021e+06, 1.0002e+06, 1.0002e+06, 1.00016e+06, 0.155955, 1173, 1173, 0.108761, 0.0461812, 1.00277e-17, 0.0480035, 0.330007, 0.467039, 8.13013e-06, 0.271709, 0.00275747, 2.13355e-09, 0.0027303, 2.19354e-05, 0.343943, 0.000114687, 3.69889e-07, 1.71591e-10, 5.84844e-12, 5.82005e-10, 1.51838e-10, 5.99724e-08, 0.378723, 0.155552, 1173, 1173, 0.108984, 0.0462756, 1.02346e-17, 0.0485665, 0.327614, 0.468552, 8.16758e-06, 0.270963, 0.00278909, 2.13983e-09, 0.00274158, 2.22321e-05, 0.344308, 0.000115581, 3.67097e-07, 1.71469e-10, 5.87979e-12, 5.83752e-10, 1.52654e-10, 6.05631e-08, 0.37906, 0.15457, 1173, 1173, 0.109574, 0.0465166, 1.07912e-17, 0.0500197, 0.321633, 0.472249, 8.25957e-06, 0.269078, 0.00286977, 2.1562e-09, 0.00276939, 2.2994e-05, 0.345233, 0.000117833, 3.60245e-07, 1.71163e-10, 5.96132e-12, 5.88314e-10, 1.54767e-10, 6.20649e-08, 0.379908, 0.149684, 1173, 1173, 0.110971, 0.0470296, 1.20246e-17, 0.0528881, 0.309475, 0.479628, 8.43924e-06, 0.265155, 0.00304306, 2.19369e-09, 0.00282551, 2.4649e-05, 0.34717, 0.000122562, 3.46647e-07, 1.70521e-10, 6.14533e-12, 5.98849e-10, 1.59511e-10, 6.52639e-08, 0.381659, 
0.00368421, 1.00019e+06, 1.00019e+06, 1.00019e+06, 1.00015e+06, 0.159146, 1173, 1173, 0.092884, 0.0554416, 7.59841e-18, 0.0514417, 0.358536, 0.441688, 8.00727e-06, 0.271125, 0.00229792, 1.74434e-09, 0.00247191, 2.1948e-05, 0.361418, 9.96186e-05, 4.88238e-07, 2.05554e-10, 4.78573e-12, 4.76564e-10, 1.21238e-10, 6.25397e-08, 0.362565, 0.158561, 1173, 1173, 0.0931261, 0.0556397, 7.81393e-18, 0.052319, 0.355176, 0.443731, 8.06119e-06, 0.270125, 0.00233275, 1.75066e-09, 0.00248586, 2.23601e-05, 0.361998, 0.000100654, 4.8365e-07, 2.05528e-10, 4.81382e-12, 4.78179e-10, 1.2202e-10, 6.34151e-08, 0.362934, 0.157225, 1173, 1173, 0.0937081, 0.0561108, 8.33569e-18, 0.0543957, 0.347482, 0.448295, 8.18322e-06, 0.267804, 0.00241452, 1.76569e-09, 0.00251726, 2.33395e-05, 0.363362, 0.000103047, 4.73421e-07, 2.05486e-10, 4.88127e-12, 4.82043e-10, 1.23881e-10, 6.54724e-08, 0.363776, 0.147039, 1173, 1173, 0.0949747, 0.0570113, 9.37402e-18, 0.0581056, 0.333452, 0.456448, 8.39882e-06, 0.263461, 0.00257285, 1.79715e-09, 0.00257393, 2.52667e-05, 0.365923, 0.000107562, 4.55287e-07, 2.0539e-10, 5.02123e-12, 4.9028e-10, 1.27685e-10, 6.94344e-08, 0.365336, 
0.00473684, 1.00018e+06, 1.00018e+06, 1.00018e+06, 1.00014e+06, 0.161182, 1173, 1173, 0.0811084, 0.0630737, 6.36087e-18, 0.0541631, 0.376843, 0.424804, 7.95832e-06, 0.269713, 0.00204036, 1.478e-09, 0.00230687, 2.21717e-05, 0.374016, 9.06823e-05, 5.8892e-07, 2.3263e-10, 4.14307e-12, 4.05641e-10, 1.01768e-10, 6.47665e-08, 0.35181, 0.160437, 1173, 1173, 0.0813188, 0.063394, 6.57221e-18, 0.0553101, 0.3728, 0.42717, 8.02473e-06, 0.268531, 0.00207606, 1.48332e-09, 0.00232204, 2.26741e-05, 0.374794, 9.17722e-05, 5.829e-07, 2.32786e-10, 4.16487e-12, 4.06873e-10, 1.02432e-10, 6.58778e-08, 0.352163, 0.158828, 1173, 1173, 0.0818295, 0.0640978, 7.06162e-18, 0.0578927, 0.363928, 0.432243, 8.16872e-06, 0.265914, 0.00215677, 1.49599e-09, 0.0023549, 2.38168e-05, 0.3765, 9.41988e-05, 5.69878e-07, 2.33076e-10, 4.2168e-12, 4.09865e-10, 1.03986e-10, 6.83701e-08, 0.352956, 0.147713, 1173, 1173, 0.0828878, 0.0653831, 7.99885e-18, 0.0622802, 0.348671, 0.44077, 8.41026e-06, 0.261286, 0.00230445, 1.52116e-09, 0.00241059, 2.59555e-05, 0.379548, 9.85147e-05, 5.4827e-07, 2.33603e-10, 4.3206e-12, 4.16e-10, 1.07001e-10, 7.29326e-08, 0.354326, 
0.00578947, 1.00017e+06, 1.00017e+06, 1.00017e+06, 1.00013e+06, 0.162358, 1173, 1173, 0.0718292, 0.0696305, 5.65003e-18, 0.0566946, 0.388785, 0.413053, 7.95764e-06, 0.267902, 0.00188053, 1.27999e-09, 0.0021935, 2.25597e-05, 0.383874, 8.48921e-05, 6.74527e-07, 2.55085e-10, 3.7073e-12, 3.5342e-10, 8.80083e-11, 6.69337e-08, 0.344042, 0.16151, 1173, 1173, 0.0720005, 0.0700588, 5.85635e-18, 0.0580609, 0.384249, 0.415623, 8.03351e-06, 0.266594, 0.00191644, 1.2843e-09, 0.0022093, 2.31318e-05, 0.384793, 8.60069e-05, 6.6726e-07, 2.55401e-10, 3.72305e-12, 3.54293e-10, 8.85556e-11, 6.82296e-08, 0.344377, 0.159716, 1173, 1173, 0.072412, 0.0709784, 6.32319e-18, 0.0610621, 0.37455, 0.420989, 8.19421e-06, 0.263772, 0.00199572, 1.2944e-09, 0.00224261, 2.44047e-05, 0.38676, 8.8427e-05, 6.51955e-07, 2.56014e-10, 3.76051e-12, 3.56422e-10, 8.98137e-11, 7.10702e-08, 0.345116, 0.143159, 1173, 1173, 0.0732516, 0.0726057, 7.19255e-18, 0.066016, 0.35843, 0.429688, 8.45571e-06, 0.258946, 0.00213612, 1.31401e-09, 0.002297, 2.67179e-05, 0.390159, 9.2587e-05, 6.27485e-07, 2.57082e-10, 3.83526e-12, 3.60791e-10, 9.21923e-11, 7.61158e-08, 0.346342, 
0.00684211, 1.00016e+06, 1.00016e+06, 1.00015e+06, 1.00012e+06, 0.162977, 1173, 1173, 0.0642407, 0.0753667, 5.21773e-18, 0.0591839, 0.39643, 0.404771, 7.99298e-06, 0.265911, 0.0017765, 1.12525e-09, 0.00211286, 2.30675e-05, 0.391916, 8.09799e-05, 7.46685e-07, 2.74044e-10, 3.38867e-12, 3.12823e-10, 7.76397e-11, 6.91085e-08, 0.338179, 0.162039, 1173, 1173, 0.0643594, 0.0759024, 5.42082e-18, 0.0607435, 0.391533, 0.407453, 8.07622e-06, 0.264506, 0.0018123, 1.12836e-09, 0.00212881, 2.36996e-05, 0.392958, 8.20998e-05, 7.38492e-07, 2.74533e-10, 3.39853e-12, 3.13311e-10, 7.80651e-11, 7.05621e-08, 0.338488, 0.160092, 1173, 1173, 0.0646529, 0.0770291, 5.87358e-18, 0.064115, 0.381229, 0.412966, 8.24992e-06, 0.261526, 0.00189026, 1.13578e-09, 0.00216194, 2.50857e-05, 0.395142, 8.4497e-05, 7.21437e-07, 2.75469e-10, 3.4228e-12, 3.1459e-10, 7.90428e-11, 7.37002e-08, 0.339169, 0.142555, 1173, 1173, 0.0652842, 0.0789511, 6.70054e-18, 0.0695651, 0.364471, 0.42172, 8.52687e-06, 0.256556, 0.00202576, 1.15062e-09, 0.00221501, 2.75523e-05, 0.398794, 8.854e-05, 6.94536e-07, 2.76967e-10, 3.4739e-12, 3.1749e-10, 8.09037e-11, 7.91496e-08, 0.340293, 
0.00789474, 1.00015e+06, 1.00014e+06, 1.00014e+06, 1.00011e+06, 0.163105, 1173, 1173, 0.057817, 0.0805575, 4.9538e-18, 0.0617764, 0.400957, 0.398884, 8.05394e-06, 0.263766, 0.00170724, 9.98868e-10, 0.00205363, 2.3695e-05, 0.398816, 7.82652e-05, 8.07894e-07, 2.90552e-10, 3.14035e-12, 2.79735e-10, 6.93969e-11, 7.13912e-08, 0.333554, 0.162113, 1173, 1173, 0.0578885, 0.0811797, 5.15428e-18, 0.0635016, 0.395788, 0.401634, 8.14302e-06, 0.262293, 0.001743, 1.00099e-09, 0.00206962, 2.43781e-05, 0.39994, 7.93878e-05, 7.98846e-07, 2.91161e-10, 3.14515e-12, 2.79906e-10, 6.97195e-11, 7.29745e-08, 0.33385, 0.16007, 1173, 1173, 0.0580792, 0.0824696, 5.5991e-18, 0.0671917, 0.385027, 0.407224, 8.32716e-06, 0.259206, 0.00182018, 1.00624e-09, 0.00210251, 2.5862e-05, 0.402264, 8.17685e-05, 7.80153e-07, 2.92305e-10, 3.15842e-12, 2.80505e-10, 7.04683e-11, 7.63569e-08, 0.334499, 0.137116, 1173, 1173, 0.0585136, 0.0846355, 6.4033e-18, 0.0730886, 0.367792, 0.415962, 8.61709e-06, 0.254135, 0.00195251, 1.01693e-09, 0.00215434, 2.84682e-05, 0.406085, 8.5726e-05, 7.51087e-07, 2.94103e-10, 3.18965e-12, 2.82152e-10, 7.18946e-11, 8.21511e-08, 0.335558, 
0.00894737, 1.00013e+06, 1.00013e+06, 1.00013e+06, 1.0001e+06, 0.162923, 1173, 1173, 0.0523, 0.0852302, 4.80157e-18, 0.0644435, 0.403157, 0.394861, 8.13754e-06, 0.261577, 0.0016623, 8.93601e-10, 0.00201052, 2.44095e-05, 0.404765, 7.64136e-05, 8.58612e-07, 3.0485e-10, 2.93873e-12, 2.52164e-10, 6.26588e-11, 7.37445e-08, 0.329884, 0.161881, 1173, 1173, 0.0523216, 0.0859337, 5.00181e-18, 0.0663228, 0.397779, 0.397634, 8.23125e-06, 0.260048, 0.00169806, 8.94731e-10, 0.00202637, 2.51403e-05, 0.40596, 7.75347e-05, 8.48917e-07, 3.05569e-10, 2.93896e-12, 2.52032e-10, 6.28846e-11, 7.54441e-08, 0.330165, 0.159752, 1173, 1173, 0.0524094, 0.0873711, 5.4437e-18, 0.0703098, 0.386665, 0.403236, 8.42369e-06, 0.256874, 0.00177482, 8.97925e-10, 0.0020588, 2.67162e-05, 0.408396, 7.98996e-05, 8.28911e-07, 3.06888e-10, 2.9425e-12, 2.52007e-10, 6.34265e-11, 7.90454e-08, 0.330789, 0.135893, 1173, 1173, 0.05266, 0.0897457, 6.23469e-18, 0.0766307, 0.369055, 0.4119, 8.72408e-06, 0.251723, 0.00190529, 9.04958e-10, 0.00210942, 2.94569e-05, 0.412343, 8.37957e-05, 7.97995e-07, 3.08898e-10, 2.95681e-12, 2.5257e-10, 6.44814e-11, 8.51491e-08, 0.331805, 
0.01, 1.00012e+06, 1.00012e+06, 1.00012e+06, 1.00009e+06, 0.162416, 1173, 1173, 0.0474358, 0.0895954, 4.72852e-18, 0.067301, 0.40349, 0.39217, 8.23647e-06, 0.259286, 0.00163451, 8.03057e-10, 0.00197851, 2.52304e-05, 0.410138, 7.51664e-05, 9.01165e-07, 3.17653e-10, 2.76738e-12, 2.28392e-10, 5.69393e-11, 7.62553e-08, 0.326862, 0.161351, 1173, 1173, 0.0474165, 0.0903569, 4.93025e-18, 0.0693162, 0.397951, 0.394951, 8.33418e-06, 0.25772, 0.00167044, 8.03416e-10, 0.00199424, 2.60042e-05, 0.41137, 7.62895e-05, 8.90799e-07, 3.18418e-10, 2.76372e-12, 2.28023e-10, 5.70861e-11, 7.80525e-08, 0.327141, 0.159178, 1173, 1173, 0.0474089, 0.0919063, 5.374e-18, 0.073576, 0.386565, 0.400535, 8.53401e-06, 0.254487, 0.00174725, 8.04805e-10, 0.00202626, 2.76662e-05, 0.413872, 7.86477e-05, 8.69522e-07, 3.19815e-10, 2.75868e-12, 2.27458e-10, 5.74474e-11, 8.18447e-08, 0.32776, 0.130023, 1173, 1173, 0.0475013, 0.0944247, 6.16324e-18, 0.0802854, 0.368669, 0.409111, 8.84359e-06, 0.249291, 0.00187707, 8.08842e-10, 0.00207598, 3.05336e-05, 0.417868, 8.25109e-05, 8.36692e-07, 3.2186e-10, 2.75868e-12, 2.27143e-10, 5.81953e-11, 8.8214e-08, 0.328774, 
