axial_index,radial_index,region,z,r,z_left,z_right,r_inner,r_outer,pressure,density,mean_molecular_weight,cp_mass,velocity_axial,gas_temperature,solid_temperature,viscosity,thermal_conductivity,porosity,tortuosity,specific_surface_area,particle_diameter,pore_radius,Y_CH4,Y_CO,Y_O2,Y_CO2,Y_H2,Y_H2O,Y_AR,X_CH4,X_CO,X_O2,X_CO2,X_H2,X_H2O,X_AR,theta_H(s),theta_O(s),theta_CH4(s),theta_H2O(s),theta_CO2(s),theta_CO(s),theta_OH(s),theta_C(s),theta_HCO(s),theta_CH(s),theta_CH3(s),theta_CH2(s),theta_COOH(s),theta_Ni(s),wdot_CH4,wdot_CO,wdot_O2,wdot_CO2,wdot_H2,wdot_H2O,wdot_AR,sdot_H(s),sdot_O(s),sdot_CH4(s),sdot_H2O(s),sdot_CO2(s),sdot_CO(s),sdot_OH(s),sdot_C(s),sdot_HCO(s),sdot_CH(s),sdot_CH3(s),sdot_CH2(s),sdot_COOH(s),sdot_Ni(s),sdot_gas_CH4,sdot_gas_CO,sdot_gas_O2,sdot_gas_CO2,sdot_gas_H2,sdot_gas_H2O,sdot_gas_AR,axial_flux_CH4,axial_flux_CO,axial_flux_O2,axial_flux_CO2,axial_flux_H2,axial_flux_H2O,axial_flux_AR,radial_flux_CH4,radial_flux_CO,radial_flux_O2,radial_flux_CO2,radial_flux_H2,radial_flux_H2O,radial_flux_AR
0,0,lumen,0.0005263157894736842,0.00037500000000000001,0,0.0010526315789473684,0,0.00075000000000000002,1000226.9791502397,1.5973031310990848,15.574746101742258,3037.4815713113044,0.14206955216401207,1173,1173,3.9656309829116059e-05,0.19220922234919402,0.59999999999999998,2,500000,0.00035,0.0001,0.17946993769600189,0.032931453188796408,9.8255904202540354e-17,0.0807798720080736,0.024633413557478379,0.68076773378544708,2.2747374666463697e-05,0.17423167191365277,0.018311282476862353,4.7825200354762052e-17,0.028587925121156647,0.19030712389729232,0.58855312839116314,8.8681998726251819e-06,0.25661715473188257,0.0074928684187059568,4.2505816546687423e-09,0.0042790614849694273,2.3592924674131484e-05,0.26035296099778932,0.000236666947068893,8.3851958809866354e-08,6.4260174582532799e-11,1.4708194184825758e-11,1.2257830493173471e-09,3.7920336595957391e-10,4.9053991492756637e-08,0.47099755565442275,0,0,0,0,0,0,0,6.0208232798844305e-12,-4.1837749583943081e-13,1.4604805652036008e-13,6.4029751877973124e-12,-1.341158087364569e-15,-2.5195206110242147e-11,3.6776508886110848e-13,1.4210637874767507e-14,4.9463169724558999e-17,-4.6434590186761448e-19,3.0066848941638856e-18,-3.5138218830946339e-18,5.2013577747201657e-14,1.2611046920407941e-11,-1.7345886317889081e-06,7.3291777261119684e-07,9.8533773757721735e-22,1.00169584338609e-06,6.2054580662190828e-06,-2.7362907178973828e-06,0,0.037428968911607227,0.010800251637036889,1.6070240542345951e-17,0.023166970665375923,0.0066028305819836874,0.14946768322550183,5.185779130743915e-06,8.1695484440160168e-07,1.4708787883802535e-06,1.7321300738806089e-20,1.2447730034902894e-05,-6.5940788704683566e-06,8.8479463934935141e-06,5.4442723297429696e-10
0,1,lumen,0.0005263157894736842,0.0011250000000000001,0,0.0010526315789473684,0.00075000000000000002,0.0015,1000226.0108403154,1.5964092133607555,15.566044890780343,3038.9091566199058,0.14209588531190165,1173,1173,3.9653805573718133e-05,0.19227425744822901,0.59999999999999998,2,500000,0.00035,0.0001,0.17955853408496247,0.032926263795291615,9.8042211255738231e-17,0.080573360713536032,0.024676394227524927,0.68101861089528248,2.2751510745074112e-05,0.17422029558618951,0.018298168522784181,4.7694526582854901e-17,0.028498910447134436,0.19053266879377279,0.58844109179310788,8.8648570110361696e-06,0.25675077176313782,0.007482043443061988,4.2499979952895664e-09,0.004277938553993681,2.3541875437034649e-05,0.26026503865610395,0.00023646489980150038,8.3900880904234544e-08,6.4247526383184392e-11,1.4697234454352808e-11,1.225415083415202e-09,3.7895598181560275e-10,4.8976933311076388e-08,0.47096406199733398,0,0,0,0,0,0,0,-1.9393203964150546e-12,-4.9250532572465628e-14,5.367060792918054e-15,-1.9604238200450464e-13,-5.627009275199768e-17,4.2705125460201776e-12,4.6097917938899918e-14,1.1340754724198376e-15,2.9434837975702535e-18,-4.9413598444809922e-20,2.8844201550030352e-19,-3.8169525583223478e-19,3.0135925442669846e-15,-2.1415133520896381e-12,-1.7331585334054433e-06,7.317705603415714e-07,9.5703580628096492e-22,1.0013836930987872e-06,6.2008602209756569e-06,-2.734542023707931e-06,0,0.037432245244609204,0.010790839298952573,1.6075196451343193e-17,0.023183058726023838,0.0065932957008441508,0.14948830393550358,5.187137551742982e-06,6.33501214954403e-06,-8.3435132778959665e-07,2.8494703324164122e-20,1.2434857705704937e-05,-1.0702194164478341e-05,1.5499750072254689e-05,3.6294634811060378e-10
0,2,lumen,0.0005263157894736842,0.0018750000000000001,0,0.0010526315789473684,0.0015,0.0022500000000000003,1000223.9758067327,1.5959345008064849,15.5614477905537,3039.2410395554671,0.14214954429515142,1173,1173,3.9651667559627216e-05,0.19236613448591938,0.59999999999999998,2,500000,0.00035,0.0001,0.17952065083077909,0.032949376814739965,9.762927443439535e-17,0.080345776833823546,0.024731090960694126,0.68099256802317709,2.2752512337438758e-05,0.17413209719063702,0.018305605392140541,4.7479619255593543e-17,0.028410020936422642,0.19089860158148619,0.58824481227020597,8.862629107458877e-06,0.25691463413409515,0.0074628226990350157,4.2464783336391714e-09,0.0042751338038949155,2.3490805820411626e-05,0.26027441248301053,0.00023608355023251777,8.4095870738022499e-08,6.4314525483234872e-11,1.4670612622306348e-11,1.2240691736031869e-09,3.783239129728732e-10,4.8917680461752063e-08,0.47081328358250341,0,0,0,0,0,0,0,6.8634618671159786e-12,-1.5602469623301814e-13,1.8118163310782966e-13,-2.6205697505458946e-12,-4.6436379047554155e-16,-1.269383258445736e-11,1.3642545307578251e-13,4.2316410792109238e-15,8.820236125736037e-18,-1.893568416571437e-19,1.1090448878223095e-18,-1.4480884365246257e-18,1.8513701983858812e-14,8.2664667026918591e-12,-1.7294284906099744e-06,7.2792940361554592e-07,9.8126953294764603e-22,1.0015115773653903e-06,6.1897929907045457e-06,-2.7309372606643123e-06,0,0.037421849037495174,0.010779944110390897,1.613271463162266e-17,0.023318888198604382,0.006557002696952796,0.14952748388384629,5.1926721504333855e-06,3.5682931565599686e-05,-2.9601993610660753e-05,6.9505421361793491e-21,-6.3699252454346153e-05,-7.8346295234613977e-07,1.9667463995138199e-05,-2.9433879403308458e-09
0,3,lumen,0.0005263157894736842,0.0026250000000000002,0,0.0010526315789473684,0.0022500000000000003,0.0030000000000000001,1000183.384411222,1.5946960238624506,15.550002852250291,3040.5615889238438,0.14307000487843655,1173,1173,3.96664412619387e-05,0.19226171629479938,0.59999999999999998,2,500000,0.00035,0.0001,0.17914016937065325,0.033448916044986794,9.7593265360037759e-17,0.08169391498744645,0.024752765659002085,0.6812050155390188,2.2815675159611948e-05,0.17363523933592584,0.018569465901614606,4.742720028467425e-17,0.02886547322289271,0.1909253852175424,0.58799555562580885,8.8806962154688834e-06,0.25644471568964183,0.0074445984432065506,4.2262353345143111e-09,0.004265120429753807,2.3770348572717312e-05,0.26165742138777576,0.00023551876522931141,8.5184830995421033e-08,6.5119574365950031e-11,1.4598877456559044e-11,1.2180508625719811e-09,3.7645417223726852e-10,4.9502100753361474e-08,0.46992871434842659,0,0,0,0,0,0,0,-6.9681356570261409e-13,2.8748789915841524e-14,-2.5634689818998871e-14,1.0228636950397683e-12,-1.829049064983046e-16,1.7640892544489029e-12,-1.9907270600138378e-14,-1.5563180084943173e-15,-2.8769369621939976e-18,4.9524595743256881e-20,-3.1727256857022674e-19,4.2597588838342346e-19,-8.9565135692747294e-15,-2.0625209422286423e-12,-1.7176118448612721e-06,7.0811459879083216e-07,1.0102444413365422e-21,1.0094955183208975e-06,6.1623314938641371e-06,-2.7271084128699385e-06,0,0.037617533941539751,0.01040351439394145,1.7013336861588207e-17,0.023305942095989202,0.0059725550431776967,0.14960318974163195,5.1837664259362152e-06,0,0,0,0,0,0,0
1,0,lumen,0.0015789473684210526,0.00037500000000000001,0.0010526315789473684,0.0021052631578947368,0,0.00075000000000000002,1000216.2880596936,1.505093594232779,14.675799911493202,3047.6272742541423,0.1508166410845897,1173,1173,3.9981481135609356e-05,0.20863504666345534,0.59999999999999998,2,500000,0.00035,0.0001,0.14462785889504079,0.065683013291338355,3.5343657380201277e-17,0.12702084537052133,0.038817541244189409,0.62400065498086921,2.2796345930783008e-05,0.13230253186880825,0.034414521979565522,1.6210277012694665e-17,0.042357983849814554,0.28257860533524737,0.50833798263335783,8.3743332063417685e-06,0.26985201426680633,0.0037617337949518216,2.7855290474148626e-09,0.0031895065171312748,2.2291735929397212e-05,0.31655728088351193,0.00014477882754711626,2.3290552550678278e-07,1.2699842667671438e-10,7.976846788830094e-12,7.649210379135993e-10,2.0954177433766467e-10,5.6414325816739025e-08,0.40647210075930368,0,0,0,0,0,0,0,1.7480964676406203e-12,-1.1941292052592049e-13,-8.4576738526929144e-14,1.1607528149253362e-11,-2.4159277009494495e-15,-2.7308200622674916e-11,1.3058236250054626e-13,1.6543190428652821e-14,6.9571148678345451e-17,-1.6240000777101793e-19,1.6307214371750555e-18,-1.5714629418747926e-18,3.9834755894370056e-15,1.4007571826254651e-11,-7.9447887426677133e-07,4.5416891630845058e-07,-5.6733525295330359e-22,3.4033733258957162e-07,2.7237732639351364e-06,-1.1348278952105773e-06,0,0.030751416504068835,0.017498457748376793,6.7659361620527157e-18,0.031132132144993135,0.00939273990671762,0.13888989696573056,5.193872019171773e-06,-1.0964427454367934e-05,-1.1408324116977545e-06,-2.463152397265018e-20,-2.9231407999995627e-05,3.5681517357545597e-05,-6.4862036649745931e-05,-2.8830923798545044e-09
1,1,lumen,0.0015789473684210526,0.0011250000000000001,0.0010526315789473684,0.0021052631578947368,0.00075000000000000002,0.0015,1000215.3237237483,1.5073990053811572,14.698293583368651,3044.4127728763397,0.15066258308221869,1173,1173,3.9989678137112646e-05,0.20834803127651216,0.59999999999999998,2,500000,0.00035,0.0001,0.14456574440143047,0.065600926155058498,3.5671179115333977e-17,0.12742765673646272,0.038606543573341541,0.62396358181251921,2.2806847441444243e-05,0.13244840449482378,0.034424193929594324,1.6385569820054602e-17,0.042558774554142406,0.28147336888893265,0.50908686710023154,8.3910322754805414e-06,0.26948082219641983,0.0037842725187888461,2.7902242894002504e-09,0.0031960659574612224,2.2431452564598633e-05,0.31666148433632102,0.00014536112425238021,2.3185504304556442e-07,1.2685925481741048e-10,8.0035516430196085e-12,7.6637666064566462e-10,2.1020350629872796e-10,5.6657016925361877e-08,0.40670927000046386,0,0,0,0,0,0,0,3.3735496922921769e-13,-1.8116898648437523e-14,-2.1876230249123524e-14,1.9788257838835651e-12,-5.2356122909325009e-16,-3.0283748599091442e-12,2.1638627617078603e-14,1.5158230573519837e-15,3.7249677994597666e-18,-1.3109830431988082e-20,1.6524959328247483e-19,-1.8098515347264764e-19,-1.9385112349135249e-15,7.3144161843027539e-13,-7.9780650264621444e-07,4.5315204688645139e-07,-5.6024181753484157e-22,3.4465750694775837e-07,2.7380769014734296e-06,-1.1424660097958395e-06,0,0.030743996625925637,0.017485097118929135,6.8503634573195769e-18,0.031328149151418558,0.0093284286930915856,0.1389513362723663,5.2008192046261624e-06,-3.1227105994413873e-05,-7.9914606566795873e-06,-7.6398946558778999e-20,-0.00010113939326006222,0.00010874375141426996,-0.00019028144912003632,-8.7526792993465333e-09
1,2,lumen,0.0015789473684210526,0.0018750000000000001,0.0010526315789473684,0.0021052631578947368,0.0015,0.0022500000000000003,1000213.3019082588,1.5149981083581585,14.772420511995376,3033.5196471093482,0.15016188041723269,1173,1173,4.0016439097832528e-05,0.20745617945530459,0.59999999999999998,2,500000,0.00035,0.0001,0.1442922325768573,0.065400453825391225,3.6672285837665814e-17,0.12886300551634039,0.037951872094288727,0.62351199978537541,2.2829793418135501e-05,0.13286452261048273,0.03449207445855109,1.6930384009315956e-17,0.04325520929643846,0.27809574096939271,0.51128401083012687,8.4418350081272067e-06,0.26829491609678158,0.0038530193362065076,2.8035393931610264e-09,0.0032150777320341761,2.2883629955788354e-05,0.31709544220289088,0.0001471110617017175,2.2891432621215054e-07,1.2654977661954224e-10,8.0831043468807082e-12,7.7053832264999352e-10,2.1216090490131885e-10,5.745186442925628e-08,0.40737125965336696,0,0,0,0,0,0,0,-6.2344249249124239e-13,-3.6371768594162269e-14,1.3233674446211987e-13,-5.7938413721701944e-12,-2.4058446207453343e-16,1.0484245524695901e-11,3.9246781384454229e-14,1.9177368026923602e-15,1.1179567094371662e-17,-5.1495508649029323e-20,4.1023236657985482e-19,-4.4539271249218695e-19,-1.8134421732024449e-15,-4.2020009639671957e-12,-8.0763574642275793e-07,4.510208475583255e-07,-5.5463308592473911e-22,3.5660428238289126e-07,2.7795114165285462e-06,-1.1642341015694058e-06,0,0.030725540465128535,0.017458201678573572,7.095662701180601e-18,0.031890849421705621,0.0091521940635970675,0.13909842647803008,5.218995051062995e-06,-9.3915970693911533e-05,-2.260938450668359e-05,-2.1314619100907701e-19,-0.00025271630752233431,0.00028269308517760324,-0.00048891788622349428,-2.1464342465503152e-08
1,3,lumen,0.0015789473684210526,0.0026250000000000002,0.0010526315789473684,0.0021052631578947368,0.0022500000000000003,0.0030000000000000001,1000172.8199688448,1.5350959861017826,14.968996437390032,3005.3266707870303,0.14596681080551441,1173,1173,4.0081686264657614e-05,0.20514660110160257,0.59999999999999998,2,500000,0.00035,0.0001,0.14374440948183528,0.06490282105469232,3.9457920542220631e-17,0.13232080558495513,0.036262073413094967,0.62211706872051398,2.2864385595561482e-05,0.1341213958379559,0.034685115928034707,1.8458824677271066e-17,0.04500692284291332,0.26924942843898531,0.51692856982053315,8.5671315775487302e-06,0.26511956944578552,0.0040407661973758825,2.8420711316079388e-09,0.003264371112122339,2.4130699168960935e-05,0.3182818888505855,0.00015180283767205667,2.2138773481780815e-07,1.2574679752962982e-10,8.3084834906234588e-12,7.8257618760526693e-10,2.1770403459502449e-10,5.9612831316584257e-08,0.40911718588031704,0,0,0,0,0,0,0,-5.2172909791220414e-13,2.3438727417044994e-14,8.6450352271668284e-14,-4.2061264114988614e-12,3.8597597340483958e-16,6.87214532241881e-12,-2.5457515264665357e-14,-7.8604657505199071e-16,-6.685991755124054e-18,3.4450780043126489e-20,-2.7654426315964704e-19,2.9148604015449866e-19,1.7593812152721779e-15,-2.2298008930590683e-12,-8.3525992001370897e-07,4.3644821312582849e-07,-4.8308489534240587e-22,3.988047469685347e-07,2.904584521262743e-06,-1.2340603753324686e-06,0,0.030451882192815808,0.016810581880190315,7.7288573122276256e-18,0.032239289913036151,0.0083428607182202599,0.13731414039772785,5.1579446615130821e-06,0,0,0,0,0,0,0
2,0,lumen,0.002631578947368421,0.00037500000000000001,0.0021052631578947368,0.0031578947368421052,0,0.00075000000000000002,1000205.0181243654,1.4604315021008172,14.240471217483721,3039.2281075194137,0.15595535937001911,1173,1173,4.0176866289410868e-05,0.21675439208837172,0.59999999999999998,2,500000,0.00035,0.0001,0.1225277672815237,0.09083510504621442,2.2531962746540182e-17,0.14835094251676995,0.04671855264494678,0.59083081932765791,2.2808146626545536e-05,0.10876102619928206,0.046181174542939199,1.0027681947794264e-17,0.048003529437084337,0.33000704576530882,0.46703909392383219,8.1301315534285393e-06,0.27170868978210927,0.0027574708581383865,2.1335492891673442e-09,0.0027303023649640876,2.1935371992887559e-05,0.34394321657194954,0.00011468705350293092,3.6988868879430159e-07,1.7159084472028496e-10,5.8484387795487378e-12,5.8200457137365257e-10,1.5183782710028415e-10,5.9972395851623488e-08,0.37872326509142745,0,0,0,0,0,0,0,-7.8724060534345239e-14,2.3996107263246846e-15,8.4122277239821275e-15,-4.0835503181937839e-13,3.6656875451734905e-16,2.650785623989349e-12,-5.761282559582713e-15,8.1456109218835948e-16,1.8631037165026269e-18,1.3118696774178885e-21,-1.154702776093399e-19,1.0621893454218198e-19,3.6014704066068352e-15,-2.1735674475883599e-12,-5.2385375081710761e-07,3.5585633320622811e-07,-1.3678619651138655e-22,1.6799475362817472e-07,1.7395560210770045e-06,-6.9184808748623539e-07,0,0.026376455385381619,0.022776614254331848,4.6257802809927831e-18,0.035258676641663871,0.011009192901394047,0.13271664578713613,5.2125949772484167e-06,-1.7204882447838035e-05,-1.1416329953886654e-05,-3.0002703435473594e-20,-8.3841273447089407e-05,8.1690776858623599e-05,-0.00013771342603804577,-6.6700538412308938e-09
2,1,lumen,0.002631578947368421,0.0011250000000000001,0.0021052631578947368,0.0031578947368421052,0.00075000000000000002,0.0015,1000204.0699823913,1.4655052595499418,14.289958290319921,3031.7718932129783,0.15555232354272955,1173,1173,4.019943320760662e-05,0.21609705445559163,0.59999999999999998,2,500000,0.00035,0.0001,0.12235424835166467,0.090705580090802068,2.291733784158157e-17,0.1495710390791066,0.046219123037492357,0.59069145160303882,2.2833844469998442e-05,0.10898442346124372,0.046275578586106203,1.0234633473384931e-17,0.048566518436688959,0.32761376012942978,0.46855155180993358,8.1675765978455549e-06,0.27096257069059376,0.0027890882335966844,2.1398323901677631e-09,0.0027415799951829643,2.223209093295087e-05,0.34430810362896264,0.00011558062765365464,3.6709741812177354e-07,1.7146929240769303e-10,5.8797862600648043e-12,5.8375160458001754e-10,1.5265358337545205e-10,6.0563083915962815e-08,0.37906041401898888,0,0,0,0,0,0,0,1.4634554908357388e-13,1.0040329811675707e-14,4.6675900906796358e-15,3.0517396196700071e-13,4.8518047218726323e-16,6.934361938826239e-14,-1.3407879543928101e-14,-4.2495304150569346e-15,-6.9942411790786109e-18,1.7358927991702274e-20,-3.2805052515663955e-19,2.9725443585492548e-19,-1.503414890887906e-15,-5.1697592966906979e-13,-5.2767516783847057e-07,3.5520361785223997e-07,3.214811228129636e-23,1.7247148126278883e-07,1.7554969049121683e-06,-7.0014694941722411e-07,0,0.026356998171349955,0.022765215883910769,4.7208933911590122e-18,0.035647535484113549,0.010887607497928359,0.13281358982545644,5.225114274889909e-06,-4.5219926215674492e-05,-2.9043640569014976e-05,-8.0356384170315587e-20,-0.00021532157512358421,0.00020302599592801696,-0.00033644414853171734,-1.6317705246035718e-08
