z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3, GasTemperature_3, SolidTemperature_3, CH4_3, CO_3, O2_3, CO2_3, H2_3, H2O_3, AR_3, H(s)_3, O(s)_3, CH4(s)_3, H2O(s)_3, CO2(s)_3, CO(s)_3, OH(s)_3, C(s)_3, HCO(s)_3, CH(s)_3, CH3(s)_3, CH2(s)_3, COOH(s)_3, Ni(s)_3, 
0.000526316, 1.00023e+06, 1.00023e+06, 1.00022e+06, 1.00018e+06, 0.14207, 1173, 1173, 0.17947, 0.0329315, 9.82559e-17, 0.0807799, 0.0246334, 0.680768, 2.27474e-05, 0.256617, 0.00749287, 4.25058e-09, 0.00427906, 2.35929e-05, 0.260353, 0.000236667, 8.3852e-08, 6.42602e-11, 1.47082e-11, 1.22578e-09, 3.79203e-10, 4.9054e-08, 0.470998, 0.142096, 1173, 1173, 0.179559, 0.0329263, 9.80422e-17, 0.0805734, 0.0246764, 0.681019, 2.27515e-05, 0.256751, 0.00748204, 4.25e-09, 0.00427794, 2.35419e-05, 0.260265, 0.000236465, 8.39009e-08, 6.42475e-11, 1.46972e-11, 1.22542e-09, 3.78956e-10, 4.89769e-08, 0.470964, 0.14215, 1173, 1173, 0.179521, 0.0329494, 9.76293e-17, 0.0803458, 0.0247311, 0.680993, 2.27525e-05, 0.256915, 0.00746282, 4.24648e-09, 0.00427513, 2.34908e-05, 0.260274, 0.000236084, 8.40959e-08, 6.43145e-11, 1.46706e-11, 1.22407e-09, 3.78324e-10, 4.89177e-08, 0.470813, 0.14307, 1173, 1173, 0.17914, 0.0334489, 9.75933e-17, 0.0816939, 0.0247528, 0.681205, 2.28157e-05, 0.256445, 0.0074446, 4.22624e-09, 0.00426512, 2.37703e-05, 0.261657, 0.000235519, 8.51848e-08, 6.51196e-11, 1.45989e-11, 1.21805e-09, 3.76454e-10, 4.95021e-08, 0.469929, 
0.00157895, 1.00022e+06, 1.00022e+06, 1.00021e+06, 1.00017e+06, 0.150817, 1173, 1173, 0.144628, 0.065683, 3.53437e-17, 0.127021, 0.0388175, 0.624001, 2.27963e-05, 0.269852, 0.00376173, 2.78553e-09, 0.00318951, 2.22917e-05, 0.316557, 0.000144779, 2.32906e-07, 1.26998e-10, 7.97685e-12, 7.64921e-10, 2.09542e-10, 5.64143e-08, 0.406472, 0.150663, 1173, 1173, 0.144566, 0.0656009, 3.56712e-17, 0.127428, 0.0386065, 0.623964, 2.28068e-05, 0.269481, 0.00378427, 2.79022e-09, 0.00319607, 2.24315e-05, 0.316661, 0.000145361, 2.31855e-07, 1.26859e-10, 8.00355e-12, 7.66377e-10, 2.10204e-10, 5.6657e-08, 0.406709, 0.150162, 1173, 1173, 0.144292, 0.0654005, 3.66723e-17, 0.128863, 0.0379519, 0.623512, 2.28298e-05, 0.268295, 0.00385302, 2.80354e-09, 0.00321508, 2.28836e-05, 0.317095, 0.000147111, 2.28914e-07, 1.2655e-10, 8.0831e-12, 7.70538e-10, 2.12161e-10, 5.74519e-08, 0.407371, 0.145967, 1173, 1173, 0.143744, 0.0649028, 3.94579e-17, 0.132321, 0.0362621, 0.622117, 2.28644e-05, 0.26512, 0.00404077, 2.84207e-09, 0.00326437, 2.41307e-05, 0.318282, 0.000151803, 2.21388e-07, 1.25747e-10, 8.30848e-12, 7.82576e-10, 2.17704e-10, 5.96128e-08, 0.409117, 
0.00263158, 1.00021e+06, 1.0002e+06, 1.0002e+06, 1.00016e+06, 0.155955, 1173, 1173, 0.122528, 0.0908351, 2.2532e-17, 0.148351, 0.0467186, 0.590831, 2.28081e-05, 0.271709, 0.00275747, 2.13355e-09, 0.0027303, 2.19354e-05, 0.343943, 0.000114687, 3.69889e-07, 1.71591e-10, 5.84844e-12, 5.82005e-10, 1.51838e-10, 5.99724e-08, 0.378723, 0.155552, 1173, 1173, 0.122354, 0.0907056, 2.29173e-17, 0.149571, 0.0462191, 0.590691, 2.28338e-05, 0.270963, 0.00278909, 2.13983e-09, 0.00274158, 2.22321e-05, 0.344308, 0.000115581, 3.67097e-07, 1.71469e-10, 5.87979e-12, 5.83752e-10, 1.52654e-10, 6.05631e-08, 0.37906, 0.15457, 1173, 1173, 0.12186, 0.0903219, 2.39366e-17, 0.1526, 0.0449492, 0.589762, 2.28742e-05, 0.269078, 0.00286977, 2.1562e-09, 0.00276939, 2.2994e-05, 0.345233, 0.000117833, 3.60245e-07, 1.71163e-10, 5.96132e-12, 5.88314e-10, 1.54767e-10, 6.20649e-08, 0.379908, 0.149684, 1173, 1173, 0.121174, 0.0896598, 2.61884e-17, 0.158421, 0.0424648, 0.588102, 2.29474e-05, 0.265155, 0.00304306, 2.19369e-09, 0.00282551, 2.4649e-05, 0.34717, 0.000122562, 3.46647e-07, 1.70521e-10, 6.14533e-12, 5.98849e-10, 1.59511e-10, 6.52639e-08, 0.381659, 
0.00368421, 1.00019e+06, 1.00019e+06, 1.00019e+06, 1.00015e+06, 0.159146, 1173, 1173, 0.106517, 0.111004, 1.73795e-17, 0.161826, 0.0516672, 0.568776, 2.28661e-05, 0.271125, 0.00229792, 1.74434e-09, 0.00247191, 2.1948e-05, 0.361418, 9.96186e-05, 4.88238e-07, 2.05554e-10, 4.78573e-12, 4.76564e-10, 1.21238e-10, 6.25397e-08, 0.362565, 0.158561, 1173, 1173, 0.10609, 0.110666, 1.77546e-17, 0.1635, 0.0508455, 0.567638, 2.28683e-05, 0.270125, 0.00233275, 1.75066e-09, 0.00248586, 2.23601e-05, 0.361998, 0.000100654, 4.8365e-07, 2.05528e-10, 4.81382e-12, 4.78179e-10, 1.2202e-10, 6.34151e-08, 0.362934, 0.157225, 1173, 1173, 0.105531, 0.110326, 1.87233e-17, 0.168045, 0.0491746, 0.566913, 2.29487e-05, 0.267804, 0.00241452, 1.76569e-09, 0.00251726, 2.33395e-05, 0.363362, 0.000103047, 4.73421e-07, 2.05486e-10, 4.88127e-12, 4.82043e-10, 1.23881e-10, 6.54724e-08, 0.363776, 0.147039, 1173, 1173, 0.104456, 0.109474, 2.0563e-17, 0.175307, 0.0460852, 0.563721, 2.30024e-05, 0.263461, 0.00257285, 1.79715e-09, 0.00257393, 2.52667e-05, 0.365923, 0.000107562, 4.55287e-07, 2.0539e-10, 5.02123e-12, 4.9028e-10, 1.27685e-10, 6.94344e-08, 0.365336, 
0.00473684, 1.00018e+06, 1.00018e+06, 1.00018e+06, 1.00014e+06, 0.161182, 1173, 1173, 0.0938251, 0.127388, 1.4676e-17, 0.171875, 0.0547796, 0.551811, 2.29248e-05, 0.269713, 0.00204036, 1.478e-09, 0.00230687, 2.21717e-05, 0.374016, 9.06823e-05, 5.8892e-07, 2.3263e-10, 4.14307e-12, 4.05641e-10, 1.01768e-10, 6.47665e-08, 0.35181, 0.160437, 1173, 1173, 0.0934245, 0.127159, 1.50598e-17, 0.174313, 0.0538208, 0.551085, 2.29579e-05, 0.268531, 0.00207606, 1.48332e-09, 0.00232204, 2.26741e-05, 0.374794, 9.17722e-05, 5.829e-07, 2.32786e-10, 4.16487e-12, 4.06873e-10, 1.02432e-10, 6.58778e-08, 0.352163, 0.158828, 1173, 1173, 0.0925701, 0.126599, 1.59332e-17, 0.179655, 0.0517346, 0.549083, 2.30115e-05, 0.265914, 0.00215677, 1.49599e-09, 0.0023549, 2.38168e-05, 0.3765, 9.41988e-05, 5.69878e-07, 2.33076e-10, 4.2168e-12, 4.09865e-10, 1.03986e-10, 6.83701e-08, 0.352956, 0.147713, 1173, 1173, 0.0913781, 0.125848, 1.7588e-17, 0.188346, 0.0483028, 0.545647, 2.30883e-05, 0.261286, 0.00230445, 1.52116e-09, 0.00241059, 2.59555e-05, 0.379548, 9.85147e-05, 5.4827e-07, 2.33603e-10, 4.3206e-12, 4.16e-10, 1.07001e-10, 7.29326e-08, 0.354326, 
0.00578947, 1.00017e+06, 1.00017e+06, 1.00017e+06, 1.00013e+06, 0.162358, 1173, 1173, 0.083348, 0.141066, 1.30762e-17, 0.180464, 0.0566904, 0.538206, 2.29938e-05, 0.267902, 0.00188053, 1.27999e-09, 0.0021935, 2.25597e-05, 0.383874, 8.48921e-05, 6.74527e-07, 2.55085e-10, 3.7073e-12, 3.5342e-10, 8.80083e-11, 6.69337e-08, 0.344042, 0.16151, 1173, 1173, 0.0828495, 0.140749, 1.34406e-17, 0.183271, 0.0555612, 0.537035, 2.30192e-05, 0.266594, 0.00191644, 1.2843e-09, 0.0022093, 2.31318e-05, 0.384793, 8.60069e-05, 6.6726e-07, 2.55401e-10, 3.72305e-12, 3.54293e-10, 8.85556e-11, 6.82296e-08, 0.344377, 0.159716, 1173, 1173, 0.0818957, 0.140154, 1.42634e-17, 0.189443, 0.0532311, 0.534651, 2.30775e-05, 0.263772, 0.00199572, 1.2944e-09, 0.00224261, 2.44047e-05, 0.38676, 8.8427e-05, 6.51955e-07, 2.56014e-10, 3.76051e-12, 3.56422e-10, 8.98137e-11, 7.10702e-08, 0.345116, 0.143159, 1173, 1173, 0.0805804, 0.139447, 1.57809e-17, 0.199213, 0.0495475, 0.53078, 2.31629e-05, 0.258946, 0.00213612, 1.31401e-09, 0.002297, 2.67179e-05, 0.390159, 9.2587e-05, 6.27485e-07, 2.57082e-10, 3.83526e-12, 3.60791e-10, 9.21923e-11, 7.61158e-08, 0.346342, 
0.00684211, 1.00016e+06, 1.00016e+06, 1.00015e+06, 1.00012e+06, 0.162977, 1173, 1173, 0.0743968, 0.152388, 1.20521e-17, 0.18802, 0.057692, 0.526383, 2.30507e-05, 0.265911, 0.0017765, 1.12525e-09, 0.00211286, 2.30675e-05, 0.391916, 8.09799e-05, 7.46685e-07, 2.74044e-10, 3.38867e-12, 3.12823e-10, 7.76397e-11, 6.91085e-08, 0.338179, 0.162039, 1173, 1173, 0.0738758, 0.152115, 1.24106e-17, 0.19127, 0.056476, 0.52519, 2.3085e-05, 0.264506, 0.0018123, 1.12836e-09, 0.00212881, 2.36996e-05, 0.392958, 8.20998e-05, 7.38492e-07, 2.74533e-10, 3.39853e-12, 3.13311e-10, 7.80651e-11, 7.05621e-08, 0.338488, 0.160092, 1173, 1173, 0.0729229, 0.15169, 1.32134e-17, 0.198377, 0.054034, 0.523045, 2.31717e-05, 0.261526, 0.00189026, 1.13578e-09, 0.00216194, 2.50857e-05, 0.395142, 8.4497e-05, 7.21437e-07, 2.75469e-10, 3.4228e-12, 3.1459e-10, 7.90428e-11, 7.37002e-08, 0.339169, 0.142555, 1173, 1173, 0.0714428, 0.150847, 1.4625e-17, 0.208832, 0.0501208, 0.518231, 2.32365e-05, 0.256556, 0.00202576, 1.15062e-09, 0.00221501, 2.75523e-05, 0.398794, 8.854e-05, 6.94536e-07, 2.76967e-10, 3.4739e-12, 3.1749e-10, 8.09037e-11, 7.91496e-08, 0.340293, 
0.00789474, 1.00015e+06, 1.00014e+06, 1.00014e+06, 1.00011e+06, 0.163105, 1173, 1173, 0.066753, 0.162386, 1.14075e-17, 0.195656, 0.0581725, 0.517143, 2.31556e-05, 0.263766, 0.00170724, 9.98868e-10, 0.00205363, 2.3695e-05, 0.398816, 7.82652e-05, 8.07894e-07, 2.90552e-10, 3.14035e-12, 2.79735e-10, 6.93969e-11, 7.13912e-08, 0.333554, 0.162113, 1173, 1173, 0.0661995, 0.162083, 1.17562e-17, 0.199206, 0.0568763, 0.515753, 2.31889e-05, 0.262293, 0.001743, 1.00099e-09, 0.00206962, 2.43781e-05, 0.39994, 7.93878e-05, 7.98846e-07, 2.91161e-10, 3.14515e-12, 2.79906e-10, 6.97195e-11, 7.29745e-08, 0.33385, 0.16007, 1173, 1173, 0.0650188, 0.161191, 1.25018e-17, 0.206343, 0.0541645, 0.511918, 2.32138e-05, 0.259206, 0.00182018, 1.00624e-09, 0.00210251, 2.5862e-05, 0.402264, 8.17685e-05, 7.80153e-07, 2.92305e-10, 3.15842e-12, 2.80505e-10, 7.04683e-11, 7.63569e-08, 0.334499, 0.137116, 1173, 1173, 0.0635699, 0.160537, 1.38751e-17, 0.217821, 0.0502113, 0.507454, 2.33124e-05, 0.254135, 0.00195251, 1.01693e-09, 0.00215434, 2.84682e-05, 0.406085, 8.5726e-05, 7.51087e-07, 2.94103e-10, 3.18965e-12, 2.82152e-10, 7.18946e-11, 8.21511e-08, 0.335558, 
0.00894737, 1.00013e+06, 1.00013e+06, 1.00013e+06, 1.0001e+06, 0.162923, 1173, 1173, 0.0599374, 0.170537, 1.09753e-17, 0.202596, 0.0580598, 0.508147, 2.32231e-05, 0.261577, 0.0016623, 8.93601e-10, 0.00201052, 2.44095e-05, 0.404765, 7.64136e-05, 8.58612e-07, 3.0485e-10, 2.93873e-12, 2.52164e-10, 6.26588e-11, 7.37445e-08, 0.329884, 0.161881, 1173, 1173, 0.0593898, 0.170303, 1.13239e-17, 0.206514, 0.0567385, 0.506831, 2.32663e-05, 0.260048, 0.00169806, 8.94731e-10, 0.00202637, 2.51403e-05, 0.40596, 7.75347e-05, 8.48917e-07, 3.05569e-10, 2.93896e-12, 2.52032e-10, 6.28846e-11, 7.54441e-08, 0.330165, 0.159752, 1173, 1173, 0.0581877, 0.169363, 1.20546e-17, 0.214138, 0.0539464, 0.502724, 2.32893e-05, 0.256874, 0.00177482, 8.97925e-10, 0.0020588, 2.67162e-05, 0.408396, 7.98996e-05, 8.28911e-07, 3.06888e-10, 2.9425e-12, 2.52007e-10, 6.34265e-11, 7.90454e-08, 0.330789, 0.135893, 1173, 1173, 0.0566711, 0.168625, 1.33824e-17, 0.226225, 0.0499089, 0.497762, 2.33793e-05, 0.251723, 0.00190529, 9.04958e-10, 0.00210942, 2.94569e-05, 0.412343, 8.37957e-05, 7.97995e-07, 3.08898e-10, 2.95681e-12, 2.5257e-10, 6.44814e-11, 8.51491e-08, 0.331805, 
0.01, 1.00012e+06, 1.00012e+06, 1.00012e+06, 1.00009e+06, 0.162416, 1173, 1173, 0.0539093, 0.177775, 1.07181e-17, 0.209814, 0.0576228, 0.500472, 2.33093e-05, 0.259286, 0.00163451, 8.03057e-10, 0.00197851, 2.52304e-05, 0.410138, 7.51664e-05, 9.01165e-07, 3.17653e-10, 2.76738e-12, 2.28392e-10, 5.69393e-11, 7.62553e-08, 0.326862, 0.161351, 1173, 1173, 0.05329, 0.177298, 1.10515e-17, 0.213701, 0.0562019, 0.498434, 2.33244e-05, 0.25772, 0.00167044, 8.03416e-10, 0.00199424, 2.60042e-05, 0.41137, 7.62895e-05, 8.90799e-07, 3.18418e-10, 2.76372e-12, 2.28023e-10, 5.70861e-11, 7.80525e-08, 0.327141, 0.159178, 1173, 1173, 0.0522028, 0.176688, 1.18023e-17, 0.222242, 0.0534886, 0.495248, 2.34001e-05, 0.254487, 0.00174725, 8.04805e-10, 0.00202626, 2.76662e-05, 0.413872, 7.86477e-05, 8.69522e-07, 3.19815e-10, 2.75868e-12, 2.27458e-10, 5.74474e-11, 8.18447e-08, 0.32776, 0.130023, 1173, 1173, 0.0505695, 0.175507, 1.30867e-17, 0.234463, 0.0493201, 0.489071, 2.34446e-05, 0.249291, 0.00187707, 8.08842e-10, 0.00207598, 3.05336e-05, 0.417868, 8.25109e-05, 8.36692e-07, 3.2186e-10, 2.75868e-12, 2.27143e-10, 5.81953e-11, 8.8214e-08, 0.328774, 
