axial_index,radial_index,region,z,r,z_left,z_right,r_inner,r_outer,pressure,density,mean_molecular_weight,cp_mass,velocity_axial,gas_temperature,solid_temperature,viscosity,thermal_conductivity,porosity,tortuosity,specific_surface_area,particle_diameter,pore_radius,Y_CH4,Y_CO,Y_O2,Y_CO2,Y_H2,Y_H2O,Y_AR,X_CH4,X_CO,X_O2,X_CO2,X_H2,X_H2O,X_AR,theta_H(s),theta_O(s),theta_CH4(s),theta_H2O(s),theta_CO2(s),theta_CO(s),theta_OH(s),theta_C(s),theta_HCO(s),theta_CH(s),theta_CH3(s),theta_CH2(s),theta_COOH(s),theta_Ni(s),theta_support_H(s),theta_support_O(s),theta_support_CH4(s),theta_support_H2O(s),theta_support_CO2(s),theta_support_CO(s),theta_support_OH(s),theta_support_C(s),theta_support_HCO(s),theta_support_CH(s),theta_support_CH3(s),theta_support_CH2(s),theta_support_COOH(s),theta_support_Ni(s),wdot_CH4,wdot_CO,wdot_O2,wdot_CO2,wdot_H2,wdot_H2O,wdot_AR,sdot_H(s),sdot_O(s),sdot_CH4(s),sdot_H2O(s),sdot_CO2(s),sdot_CO(s),sdot_OH(s),sdot_C(s),sdot_HCO(s),sdot_CH(s),sdot_CH3(s),sdot_CH2(s),sdot_COOH(s),sdot_Ni(s),sdot_support_H(s),sdot_support_O(s),sdot_support_CH4(s),sdot_support_H2O(s),sdot_support_CO2(s),sdot_support_CO(s),sdot_support_OH(s),sdot_support_C(s),sdot_support_HCO(s),sdot_support_CH(s),sdot_support_CH3(s),sdot_support_CH2(s),sdot_support_COOH(s),sdot_support_Ni(s),sdot_gas_CH4,sdot_gas_CO,sdot_gas_O2,sdot_gas_CO2,sdot_gas_H2,sdot_gas_H2O,sdot_gas_AR,axial_flux_CH4,axial_flux_CO,axial_flux_O2,axial_flux_CO2,axial_flux_H2,axial_flux_H2O,axial_flux_AR,radial_flux_CH4,radial_flux_CO,radial_flux_O2,radial_flux_CO2,radial_flux_H2,radial_flux_H2O,radial_flux_AR
0,0,lumen,0.0005263157894736842,0.00050000000000000001,0,0.0010526315789473684,0,0.001,1000238.4597266288,1.5939433164098031,15.541807331332762,3044.9510272799725,0.14187142944088485,1173,1173,3.9665150810507861e-05,0.19196140180167881,0.59999999999999998,2,500000,0.00035,0.0001,0.17990636166706817,0.03309976087911095,9.9583864187524188e-17,0.08176878648689373,0.024571047604441593,0.68277329507416795,2.2838431950433847e-05,0.17428598209254154,0.018365944530393714,4.8369061519848411e-17,0.028876700795205264,0.18942385307402612,0.58903863463901918,8.8848688141025571e-06,0.25608728218170368,0.0075359147993139903,4.2530302602798415e-09,0.004283724019156632,2.3799622415041721e-05,0.26071494139141282,0.00023747502541664713,8.3666044046319365e-08,6.4319655046573957e-11,1.4752248995521738e-11,1.2273117088414551e-09,3.8020088033099692e-10,4.9369004111834023e-08,0.47111672398585108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,7.5060028182897272e-11,1.3990668038469139e-13,1.4570198641632891e-11,2.1770834270718318e-10,1.5959455978986625e-15,5.4276494540136944e-11,-1.5829550193782979e-13,4.1900077157874804e-15,-9.6163124725103863e-18,-2.7657641980596004e-19,-8.3799103597848319e-19,-2.3821585686026744e-18,2.8577620702371119e-14,-3.6163128469812597e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.7402944094413453e-06,7.3267244313224289e-07,2.1999733163414197e-22,1.0075530852572577e-06,6.2283551455072361e-06,-2.7480506405996863e-06,0,0.037423395697074334,0.010791327177222814,1.6306992034196731e-17,0.023361673010598813,0.0065463140461043401,0.14950658006548001,5.1916660903173953e-06,-1.9088443017704594e-05,5.0382911582746919e-06,-8.2806701744581244e-20,-1.1444560770334066e-05,2.9610112236636119e-05,-5.8662216744783886e-05,-2.0703961762635666e-09
0,1,lumen,0.0005263157894736842,0.0015,0,0.0010526315789473684,0.001,0.002,1000238.0222606226,1.6742440271557544,16.324789726397338,2900.8090798573039,0.14178996701797267,1173,1173,3.9669363774142403e-05,0.19165177844702086,0.59999999999999998,2,500000,0.00035,0.0001,0.17162472800193171,0.031409363365190561,9.6442579537337898e-17,0.078141130899108791,0.023225558754217692,0.65107367835986463,2.1784580109949278e-05,0.17463925677751493,0.018306006868145087,4.9203226189711603e-17,0.028985833145739298,0.1880716086015331,0.58998839276252257,8.9018445450007447e-06,0.25553364511148036,0.0076131062793961569,4.2676925902560508e-09,0.0042967154440320312,2.3964673184075934e-05,0.26050836518564918,0.00023904976401650988,8.2787251348036728e-08,6.397112306907905e-11,1.4859519039137664e-11,1.2329578855447345e-09,3.8276324128139225e-10,4.9534059780394914e-08,0.47178501525866368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,5.1536006963030286e-11,3.7426842297811096e-12,6.9308576088340559e-12,1.0283694278115291e-10,-1.5703584266280046e-15,4.9525172754038421e-11,-3.4263326085061994e-12,1.1016903535276956e-14,8.1518865829927425e-17,-1.3456552491521575e-18,-8.7121772313188074e-18,-1.4176634928240065e-17,-1.3084108298042417e-13,-2.1102445222237926e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.75558168498402e-06,7.3780696864533812e-07,1.190840030188641e-21,1.017718381643735e-06,6.2844188275373858e-06,-2.7733961456277711e-06,0,0.03732565349137329,0.010870499898981409,1.6383079537620426e-17,0.023669071556755572,0.006524219474458714,0.14942195158376256,5.1952133609490767e-06,-6.0552850811102674e-05,7.5465575334520673e-06,-3.568042827553738e-19,-7.4148468038997935e-05,0.00011733709465085645,-0.00022904758694721004,-6.6682340202103756e-09
0,2,lumen,0.0005263157894736842,0.0025000000000000001,0,0.0010526315789473684,0.002,0.0030000000000000001,1000236.6928223305,1.6382125365427387,15.973484329537895,2971.852698141694,0.14126730315799935,1173,1173,3.9694525016593598e-05,0.19035816403624556,0.59999999999999998,2,500000,0.00035,0.0001,0.17652483893266185,0.031942360103078105,1.0578371297681641e-16,0.081812176019833677,0.023057674490120018,0.66949576110416387,2.2400818923936766e-05,0.17575994193511657,0.018216022440377528,5.2807503017548321e-17,0.029694505933291128,0.18269414788864968,0.59362642512847108,8.9566740938753409e-06,0.25302081054775805,0.007921973239127909,4.3149569451889071e-09,0.0043432254263185074,2.4813268062406976e-05,0.26047395747563135,0.00024516661961724396,7.9920965363408008e-08,6.3030611201008273e-11,1.5258121911031574e-11,1.2524966549748641e-09,3.9218003750407464e-10,5.055130222689384e-08,0.47396991691330043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-1.4428232304182083e-10,1.0883173353406463e-12,-2.3361653410783219e-11,-1.0897553077927973e-09,2.3686564862290815e-15,-1.2620657508432762e-10,-1.1065259565552151e-12,8.6738342203185326e-15,-2.1288623613154374e-17,-4.2505895867440843e-19,-1.4834896987903639e-18,-4.3409419046677921e-18,6.7056575529095861e-14,1.3835461341019185e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.8115349493773303e-06,7.4646169218040015e-07,3.6699579976590786e-22,1.0652227473326301e-06,6.4999703838497513e-06,-2.8756913454941468e-06,0,0.037545686394757159,0.010617153203013716,1.7536423380683465e-17,0.023848730853822456,0.0062977800880982928,0.14974447293222889,5.1989301153339965e-06,-0.00064490959941291952,0.00030987714100700426,-2.3756479385720422e-18,0.00060288345907423275,0.00055192290544081167,-0.0014054765818736609,-1.3635175689257069e-08
0,3,support,0.0005263157894736842,0.0035000000000000001,0,0.0010526315789473684,0.0030000000000000001,0.0040000000000000001,1001934.1265282251,1.668719896937872,16.243382538346655,2965.6191108426092,0.13888351880915284,1173,1173,3.9573985769957208e-05,0.18596879142757419,0.40000000000000002,2,300000,0.00033700000000000001,0.0001,0.18550802033947264,0.024976371311165067,1.5179112920652743e-16,0.06470589302176824,0.019482327290851906,0.68410094313353742,2.2307223526889217e-05,0.18782507874496329,0.014484139722493431,7.7054858979599608e-17,0.023882446155057305,0.15697365819572337,0.61682560722518898,9.0699565736087104e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24643734080122537,0.010057276875176064,4.8491370018802352e-09,0.0047459263036691629,2.5073047075124904e-05,0.24085268338164975,0.00028875896168273075,5.543798937116951e-08,4.8896629306829794e-11,1.8688306616036842e-11,1.4533498065700411e-09,4.7530492963546279e-10,4.7415299415041701e-08,0.49759283093083495,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.4032551876180585e-10,3.1560460252924146e-12,1.3681919663409466e-10,5.2753446174029536e-09,-2.3569471027662381e-15,3.9448984844817764e-10,-2.9194920051642619e-12,3.5914196963582334e-16,1.2972057674513935e-16,5.577608456695422e-18,-2.4585108132998916e-17,4.301257418472193e-17,-1.2940850299245016e-13,-6.4470844571494554e-09,-2.3337201008298558e-06,9.4427604334368365e-07,2.3795206741153871e-21,1.3889128797000505e-06,8.3893441906318644e-06,-3.7277716103956138e-06,0,0.03967440085081627,0.0086357117916813705,2.3646764414376864e-17,0.019849354545691558,0.0058358810322352711,0.15299718521663674,5.1752185352553949e-06,-1.3486561492497055e-06,-2.098566873818606e-08,-1.677069254473987e-20,-1.9996508603391703e-06,3.030937777924183e-06,-5.6148831913159373e-06,-1.8629823218625523e-10
0,4,support,0.0005263157894736842,0.0045000000000000005,0,0.0010526315789473684,0.0040000000000000001,0.0050000000000000001,1001555.0280050933,1.6274920855047976,15.848065844439921,3047.4990505129372,0.13766439525238261,1173,1173,3.9604739645252864e-05,0.18448625786736406,0.40000000000000002,2,300000,0.00033700000000000001,0.0001,0.19126187944313244,0.025618988013067976,1.7070384466754472e-16,0.068676328351834001,0.019192855090613904,0.7058523689422731,2.3034416712411153e-05,0.1889379080562297,0.014495230592610438,8.4546714488102156e-17,0.024731008968034752,0.15087779326331502,0.62094892142387137,9.1376959385872158e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24277062048140316,0.010586173896782425,4.9004364487341566e-09,0.0047997695527118031,2.6399728770992564e-05,0.24143328578393375,0.0002979294309417429,5.3240258193521083e-08,4.8187741157040012e-11,1.9318228854207998e-11,1.4810205058117626e-09,4.898890651162188e-10,4.8939220152911288e-08,0.50008571200714014,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.3959781595129275e-11,8.1741288538955358e-13,8.377055638841656e-12,3.2434909404876031e-10,-3.961241057393039e-15,3.276247415723299e-11,-6.7432423475959417e-13,-4.7804642189230862e-15,7.8603778057111563e-17,4.1786631305553014e-19,-3.1806351867194995e-18,2.7895793482804615e-18,-1.1101207726958037e-13,-4.0947208956728315e-10,-2.424788954045326e-06,9.4213832055323188e-07,3.060230400565303e-21,1.4826096136254318e-06,8.7569297900630394e-06,-3.9077145724819573e-06,0,0.039791869023493916,0.0083337304617186903,2.6698495611514596e-17,0.020602812985223807,0.0053462640773480211,0.15320263216362925,5.1871330302178345e-06,0,0,0,0,0,0,0
1,0,lumen,0.0015789473684210526,0.00050000000000000001,0.0010526315789473684,0.0021052631578947368,0,0.001,1000227.7833176148,1.5266407661089785,14.885730041728916,3006.6467294629019,0.15052018225639263,1173,1173,4.0000695582002068e-05,0.20813871800549205,0.59999999999999998,2,500000,0.00035,0.0001,0.14266885956928982,0.0649978119352249,3.5425903827318292e-17,0.12685524762034669,0.0380376344777811,0.61636670649812531,2.2553214936954342e-05,0.13237736887800172,0.03454265911356029,1.6480418802978663e-17,0.042907881807202064,0.28086208247133421,0.50930160419875958,8.4035311420423158e-06,0.26914392481410843,0.003793463674403242,2.788287930993028e-09,0.0031969098980503497,2.2563820080402262e-05,0.31705721802936543,0.00014555677215242707,2.3201254259897427e-07,1.2713826326147313e-10,8.0056237628904762e-12,7.6588599572967946e-10,2.1021541520518158e-10,5.692934411331402e-08,0.40664007015042197,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-4.3134316609185816e-12,1.3075458953858848e-13,-4.4498606246947778e-13,-3.0000555078379696e-11,3.0780499676863471e-16,-5.6858819952668171e-12,-1.2253304204003655e-13,1.4608540072069687e-15,-2.8872894377528285e-19,-3.6070684025840882e-20,9.5057528043062558e-20,-4.4777147713873632e-19,3.1019412293803086e-16,4.0434543529866854e-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.9789069639367438e-07,4.5620721028649669e-07,-8.802493345912462e-22,3.4168961488003109e-07,2.7353652642392312e-06,-1.1395507630851398e-06,0,0.030710165096919866,0.017536437542674848,6.8418326027221071e-18,0.03140878310807857,0.0093380856122357841,0.13888050214375411,5.1991711957020471e-06,-1.1359523713700945e-05,-9.3757328207956561e-06,-3.3649819288002602e-20,-6.3021907644207167e-05,5.253210748860915e-05,-8.5042502736677392e-05,-3.5649309584315346e-09
1,1,lumen,0.0015789473684210526,0.0015,0.0010526315789473684,0.0021052631578947368,0.001,0.002,1000227.3536641332,1.5252552416806708,14.872226675254431,3012.0957683587449,0.15026583550940958,1173,1173,4.0021194061540832e-05,0.20753795346546605,0.59999999999999998,2,500000,0.00035,0.0001,0.14301582069566968,0.065256737848521207,3.6146614591852241e-17,0.12868132360649587,0.037777334459261118,0.61848789529770809,2.2647821428588704e-05,0.13257892560827422,0.034648803904707696,1.6800445207609412e-17,0.043486055432924532,0.27868704427828955,0.5105907396485454,8.4311272587398223e-06,0.26830850800156014,0.003835727549706468,2.794705699089663e-09,0.0032074958741622733,2.2885261399384958e-05,0.3175218024181124,0.00014660746812575909,2.3052159377206816e-07,1.27133038872015e-10,8.0506465221892837e-12,7.6793645366674281e-10,2.1130257641901146e-10,5.7516435138086891e-08,0.40695668147977804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,5.6058168918535771e-11,4.5883180812942302e-14,5.4563275965490666e-12,2.2947920634560241e-10,1.2690586428942829e-15,6.5532351246899712e-11,-6.0174970585666024e-14,1.0029412196577159e-14,-1.4103485020226528e-17,-2.2931100941195033e-20,8.8218812328780402e-22,-2.988168249356733e-19,2.6774658933585911e-14,-3.5655020712063648e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.0333547480652967e-07,4.5674845988719071e-07,-1.4965314917727328e-22,3.4651598818784476e-07,2.7564780349931262e-06,-1.1500754897308951e-06,0,0.030721789905567419,0.017506816270883754,6.9643924436609588e-18,0.031705442972207357,0.0092409988077056145,0.13894006317667817,5.203146281214223e-06,-0.00013336180392552408,6.5197116338654523e-05,-1.2578318146000488e-19,-3.8741804189614383e-05,0.00017447950828425904,-0.00034212293295504589,-7.4346720940975888e-09
1,2,lumen,0.0015789473684210526,0.0025000000000000001,0.0010526315789473684,0.0021052631578947368,0.002,0.0030000000000000001,1000226.0828373272,1.5154441426341472,14.776580878072743,3044.0782618312037,0.14905845794418987,1173,1173,4.0033655565837402e-05,0.20595397330846327,0.59999999999999998,2,500000,0.00035,0.0001,0.14652254791095326,0.064274066779244507,3.8981316847848373e-17,0.13057882039218513,0.037030219225889942,0.62892211399431053,2.2950643846047812e-05,0.13495619769790496,0.033907566802076225,1.8001455751484814e-17,0.043843497931978871,0.27141866533934866,0.51586558331642596,8.4889122652057063e-06,0.26675814581758422,0.0040087402572802156,2.8659915154777665e-09,0.0032647558248439863,2.3404923519932723e-05,0.31580678845323051,0.00015120911368060805,2.1910063027836108e-07,1.236942613564195e-10,8.3449738028414598e-12,7.8884236264456591e-10,2.1887672311515812e-10,5.8052121302779919e-08,0.40998667445135956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-1.8279955928897212e-10,4.3018800051923422e-13,-1.7559089785554221e-11,-7.3022753495031183e-10,-8.117096404747226e-15,-2.3243568929385422e-10,-2.448316011179875e-13,-1.1615491554706203e-14,1.7207876291889782e-16,2.8132151554047634e-19,-1.1785698318976978e-18,1.1231370469304926e-18,-1.6639332005147192e-13,1.1630222606399083e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.408987286611519e-07,4.7010271475578236e-07,2.4324654740802862e-21,3.7104619467572222e-07,2.8938866857008971e-06,-1.2112322773649709e-06,0,0.031202152076263451,0.016900817868041634,7.414085964017332e-18,0.031534692936755718,0.0089468931334013863,0.1395130993012029,5.197863650186049e-06,-0.00068755900559901563,0.00055222331485368177,-4.6441308597662013e-19,0.00069279335499214661,0.00044952787291770716,-0.0012245398927390246,-4.1088343601457771e-09
1,3,support,0.0015789473684210526,0.0035000000000000001,0.0010526315789473684,0.0021052631578947368,0.0030000000000000001,0.0040000000000000001,1001848.6692622971,1.5264065960548105,14.8593668790528,3070.4239504131583,0.14772421085138876,1173,1173,3.9840869871110714e-05,0.20356191523665834,0.40000000000000002,2,300000,0.00033700000000000001,0.0001,0.15904251005605369,0.051995624905785569,4.8393608657240218e-17,0.11081923294383271,0.034243650153915034,0.64895732543603746,2.2909356057923458e-05,0.14730854617517583,0.027583793880067226,2.2473229128046695e-17,0.037417429152392115,0.2524002782316252,0.53528143144618068,8.5211145588869944e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26820851042281285,0.004659836947685808,3.2642820702129793e-09,0.0035348908657898315,2.2161764562826061e-05,0.29628896681626665,0.0001696367151265128,1.667947985849768e-07,1.0133656817574728e-10,9.7966317765887727e-12,9.0578918889753683e-10,2.5694867311400015e-10,5.3063286605529714e-08,0.42711577207152551,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.7404938770172065e-10,6.1970346963987523e-12,8.6619975166281759e-11,3.683799809065179e-09,2.3577060442869779e-15,6.9377724084326159e-10,-5.8773644758081309e-12,1.968127267062969e-13,1.4044610419448551e-16,6.001263508924569e-18,-3.1403237803376465e-17,4.0141195152461253e-17,1.9852247803679739e-13,-5.2389642362698101e-09,-1.0373106874538018e-06,5.4859637127480099e-07,-2.1529313305440351e-22,4.8793352112054334e-07,3.5992218619385064e-06,-1.5288417122283349e-06,0,0.033805760536005147,0.013991674464773778,8.8716174174349332e-18,0.027264406156736264,0.008519167163533941,0.14324101967672234,5.1723934443575328e-06,-5.8287004244895931e-06,1.0876173913597866e-06,-1.4240509631679455e-20,-6.9592289490695915e-06,1.1849285489034393e-05,-2.1684036537988934e-05,-7.3576356637264554e-10
1,4,support,0.0015789473684210526,0.0045000000000000005,0.0010526315789473684,0.0021052631578947368,0.0040000000000000001,0.0050000000000000001,1001470.7710895862,1.5545187972147718,15.138745797165656,3045.2572513845794,0.14445577152670097,1173,1173,3.9948593109165782e-05,0.19823241834484373,0.40000000000000002,2,300000,0.00033700000000000001,0.0001,0.16102431580110615,0.050015629323977948,6.0321995447231696e-17,0.1170678525103489,0.030679403698564589,0.65492385835757994,2.315966592762722e-05,0.15194827551427234,0.027032270554122335,2.853926354939136e-17,0.040270409692886762,0.2303808004966236,0.55035946756449228,8.7761776026439854e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2605432710504399,0.0053380076466300963,3.4229355994651028e-09,0.003694751294397578,2.4866397498583042e-05,0.29584860359934972,0.00018562087461611982,1.475708221018396e-07,9.6435777988925187e-11,1.0724184984089595e-11,9.5798109015303847e-10,2.7961993673032069e-10,5.6878979435397334e-08,0.43436466991964395,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.4362760430593828e-12,4.7818026252152653e-13,9.8658528830842672e-13,-2.5932771054351154e-11,-2.5695591487906455e-16,-1.7849530176399647e-11,-5.2286788924200538e-13,3.403153410116988e-14,-1.8039282649659855e-17,6.229270752444165e-19,-3.0138379385109379e-18,4.4473519696302621e-18,1.0137128331011082e-13,4.814110009576764e-11,-1.1584467665935738e-06,5.5067300072653147e-07,-8.0534173986114586e-22,6.0779049363621159e-07,4.083130784995892e-06,-1.7662103632964943e-06,0,0.033917485088588731,0.013205438915321905,1.1307255662040058e-17,0.029043117603997935,0.0073646787793435258,0.1431343164346319,5.1864445983668629e-06,0,0,0,0,0,0,0
