axial_index,radial_index,region,z,r,z_left,z_right,r_inner,r_outer,pressure,density,mean_molecular_weight,cp_mass,velocity_axial,gas_temperature,solid_temperature,viscosity,thermal_conductivity,porosity,tortuosity,specific_surface_area,particle_diameter,pore_radius,Y_CH4,Y_CO,Y_O2,Y_CO2,Y_H2,Y_H2O,Y_AR,X_CH4,X_CO,X_O2,X_CO2,X_H2,X_H2O,X_AR,theta_H(s),theta_O(s),theta_CH4(s),theta_H2O(s),theta_CO2(s),theta_CO(s),theta_OH(s),theta_C(s),theta_HCO(s),theta_CH(s),theta_CH3(s),theta_CH2(s),theta_COOH(s),theta_Ni(s),theta_support_H(s),theta_support_O(s),theta_support_CH4(s),theta_support_H2O(s),theta_support_CO2(s),theta_support_CO(s),theta_support_OH(s),theta_support_C(s),theta_support_HCO(s),theta_support_CH(s),theta_support_CH3(s),theta_support_CH2(s),theta_support_COOH(s),theta_support_Ni(s),wdot_CH4,wdot_CO,wdot_O2,wdot_CO2,wdot_H2,wdot_H2O,wdot_AR,sdot_H(s),sdot_O(s),sdot_CH4(s),sdot_H2O(s),sdot_CO2(s),sdot_CO(s),sdot_OH(s),sdot_C(s),sdot_HCO(s),sdot_CH(s),sdot_CH3(s),sdot_CH2(s),sdot_COOH(s),sdot_Ni(s),sdot_support_H(s),sdot_support_O(s),sdot_support_CH4(s),sdot_support_H2O(s),sdot_support_CO2(s),sdot_support_CO(s),sdot_support_OH(s),sdot_support_C(s),sdot_support_HCO(s),sdot_support_CH(s),sdot_support_CH3(s),sdot_support_CH2(s),sdot_support_COOH(s),sdot_support_Ni(s),sdot_gas_CH4,sdot_gas_CO,sdot_gas_O2,sdot_gas_CO2,sdot_gas_H2,sdot_gas_H2O,sdot_gas_AR,axial_flux_CH4,axial_flux_CO,axial_flux_O2,axial_flux_CO2,axial_flux_H2,axial_flux_H2O,axial_flux_AR,radial_flux_CH4,radial_flux_CO,radial_flux_O2,radial_flux_CO2,radial_flux_H2,radial_flux_H2O,radial_flux_AR
0,0,lumen,0.0005263157894736842,0.00050000000000000001,0,0.0010526315789473684,0,0.001,1000232.8865548653,1.5853293575684124,15.457902714061618,3061.1149890301635,0.14197062570136687,1173.0000000000002,1173,3.9663573081027392e-05,0.19202468968975478,0.59999999999999998,2,500000,0.00035,0.0001,0.18082595996075565,0.0332634595084541,9.9674607871960991e-17,0.082040184494858601,0.024736279497165399,0.68633941418982147,2.2951488596469942e-05,0.17423113490308312,0.018357133916987196,4.8151771721576765e-17,0.028816132849307882,0.18966815574157725,0.58891856194128789,8.8806477563736416e-06,0.25622234460670734,0.0075237858133846572,4.2511728695595492e-09,0.0042823304753220959,2.3749838118229368e-05,0.26064807787522992,0.00023724526107264768,8.3740535350889714e-08,6.4322449222138025e-11,1.4736071272882534e-11,1.2265558345464384e-09,3.7982149149960318e-10,4.9297389416044528e-08,0.47106232714852586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-3.0708867155365083e-07,1.6756770460131324e-08,2.2934988494028363e-08,3.8358186612639689e-07,1.0515542971968606e-11,-1.6654937903397586e-07,-1.5996117796533039e-08,3.8891793431583555e-11,2.8990406728840531e-14,1.559376320873797e-14,-8.7515456412971562e-14,1.151498815542507e-13,-1.037403960829494e-10,6.6414804207565827e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.7610865487502347e-06,8.9907777647835196e-07,3.4094032308001287e-21,1.0056774236602593e-06,6.3823548560049126e-06,-3.1280393428811948e-06,0,0.037410625682916282,0.010803181525978013,1.6318441968760777e-17,0.023340521655612515,0.0065611454949337173,0.14947152788499143,5.1904412800864551e-06,-4.8238310769658708e-06,-2.295515751954058e-06,1.4777800144777419e-19,-2.1863590155452936e-05,1.8482508051851261e-05,-3.0157803814253361e-05,-1.4905219816721453e-09
0,1,lumen,0.0005263157894736842,0.0015,0,0.0010526315789473684,0.001,0.002,1000231.729226273,1.5876359234961519,15.480411013405678,3057.6998564654605,0.14179845661554819,1173,1173.0000000000016,3.9670391031286952e-05,0.19180049247685155,0.59999999999999998,2,500000,0.00035,0.0001,0.18065611016938124,0.033264537187497674,9.6453743001926641e-17,0.082514873572749781,0.024590371664835672,0.6859444615802075,2.2949644755588553e-05,0.17432093981830823,0.01838445940139885,4.6663653523696044e-17,0.029025066636946373,0.1888239386627287,0.58943670261620162,8.8928644162243016e-06,0.25575955409672807,0.0075672871796772043,4.2551640359508544e-09,0.0042879112651419537,2.3922618189822394e-05,0.26086111401083473,0.00023808506834132123,8.3455178204996914e-08,6.4301713065625085e-11,1.478451500704358e-11,1.2285337368570565e-09,3.8093911934615735e-10,4.9545413335366358e-08,0.4712619868176075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-6.9931682701875156e-08,8.6606725323442927e-09,7.7383901187599201e-09,9.7681743365647694e-08,-5.5879013438966951e-12,-7.6942582521912634e-08,-8.2197332957970849e-09,2.6182012504219476e-11,3.0675859309658951e-14,9.4516318260473444e-15,-4.8180401523368341e-14,7.0402689408504107e-14,-8.2596018422767274e-11,4.1075131764022806e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.7524083472421348e-06,8.0941537089485038e-07,9.1012050438677025e-20,1.0122591083062443e-06,6.2857125091159149e-06,-2.8549373504160869e-06,0,0.037411169727587026,0.010788457292588611,1.5893024643046146e-17,0.023514508289604202,0.0065103015553600483,0.14950692321401751,5.1943904322059076e-06,-4.8852031371311039e-05,5.1812293732308692e-06,-7.7381153792338884e-19,-5.9260198503250911e-05,9.288184127000805e-05,-0.00016592603236705765,-5.792757487150711e-09
0,2,lumen,0.0005263157894736842,0.0025000000000000001,0,0.0010526315789473684,0.002,0.0030000000000000001,1000229.0444627287,1.6021302760640066,15.62178165328608,3035.9429926085445,0.14124872292420565,1172.9999999999998,1173.0000000000002,3.96901844264951e-05,0.19077611211793216,0.59999999999999998,2,500000,0.00035,0.0001,0.17995632353038538,0.032852704410596983,1.1157553624258502e-16,0.083367217659169143,0.023818828233013737,0.68300953353280069,2.2863642463420091e-05,0.17523146502024486,0.018322662442780958,5.4472425308768387e-17,0.029592684935206798,0.18456970927245361,0.59227453788299689,8.9404463169549067e-06,0.253767806271402,0.0078067764135420136,4.2926862669187064e-09,0.0043239711689755517,2.4595938368067949e-05,0.26088429217021264,0.0002428376030127132,8.1215289279704407e-08,6.3586497987412862e-11,1.5096312932105845e-11,1.2438799256941348e-09,3.8831042893886001e-10,5.0364187309458819e-08,0.47294958285344113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-2.1575273736009913e-07,1.7700614111614624e-08,2.6445105983697485e-08,3.4862684737523117e-07,-2.8911970473971538e-11,-3.612245800617875e-07,-1.6798511995010007e-08,1.0248064918373656e-10,2.7132235899934888e-13,2.031100882079123e-14,-9.9794002887172761e-14,1.5183237209666989e-13,-1.0553147510711353e-10,2.0103488115395471e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.8147160526921224e-06,1.0996631729931483e-06,-1.301556031414002e-19,1.0498639728927605e-06,6.5316701612500028e-06,-3.1874268727749566e-06,0,0.037532147779069554,0.010622409576713177,1.9060352934880688e-17,0.023817067992686451,0.0063160471059319446,0.14971876675885912,5.1999707595905544e-06,-0.00047094226614896346,0.00021180388857097693,-1.6901663591325693e-18,0.0003564226779168481,0.00044973934261315269,-0.0010543668880297833,-1.3876786598381805e-08
0,3,support,0.0005263157894736842,0.0040000000000000001,0,0.0010526315789473684,0.0030000000000000001,0.0050000000000000001,1001703.049847245,1.6461311238363483,16.027198930039184,3010.5528060058668,0.13901259803281948,1173,1173,3.9594003690212551e-05,0.18502216148635042,0.40000000000000002,2,300000,0.00033700000000000001,0.0001,0.18869679323191063,0.025326458504739965,1.6045092376309985e-16,0.06707079572180627,0.019256682983773723,0.69630285288792038,2.2716669022672793e-05,0.18851094200513016,0.014491688277359877,8.0366862730787936e-17,0.024425844382499267,0.15309061950081448,0.61947179232797711,9.1135062191298034e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24411416902063596,0.010389334081142738,4.8811323675427224e-09,0.0047802880135853825,2.590725843119763e-05,0.24122574067110392,0.0002945472657564992,5.4036920615526763e-08,4.8449968715181953e-11,1.9082337103960931e-11,1.4706217659151731e-09,4.844264909601247e-10,4.8379528872782711e-08,0.49916990437458347,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0598136595896048e-08,1.1790357483784205e-09,1.1587329556754027e-08,2.8691541067398809e-07,-5.8034332547918233e-12,-4.8638389483617603e-07,-2.2792594137283705e-09,3.0207152567057055e-10,1.6376089928060778e-12,2.1837409189354149e-15,2.4501232591295023e-14,1.6309676622081968e-14,1.45583448813413e-09,1.9782573152426706e-07,-2.402212159389322e-06,1.4280709523112334e-06,6.9276780922830831e-20,1.4471839891830861e-06,8.6248160793347961e-06,-4.1247719225756541e-06,0,0.039780094631121581,0.008428780189459216,2.4861642828147083e-17,0.020252968469331459,0.0055288711583180803,0.15318691074031121,5.1818251091285275e-06,0,0,0,0,0,0,0
1,0,lumen,0.0015789473684210526,0.00050000000000000001,0.0010526315789473684,0.0021052631578947368,0,0.001,1000222.2062838502,1.5087805594548485,14.711663560475616,3041.8477533601713,0.15053826806486295,1173,1173.0000000000002,3.9998054973762134e-05,0.20821657414497258,0.59999999999999998,2,500000,0.00035,0.0001,0.14432472422347162,0.065753163182402458,3.6710592335576194e-17,0.12812150921030455,0.038526618770945077,0.62345262276854208,2.2805696104324247e-05,0.13234786425444989,0.034535466432579688,1.6878363758571527e-17,0.042829433487749743,0.28114615748057964,0.50913268010363089,8.3982410099941866e-06,0.26924460692714958,0.0037878877919627334,2.7872921388573031e-09,0.0031954209072805697,2.2525838835095689e-05,0.317016039875819,0.00014541588229070491,2.3224468063193653e-07,1.2715879762926439e-10,7.9993776664563149e-12,7.6557513196670005e-10,2.100626211255775e-10,5.6862137617736222e-08,0.4065878097717267,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,3.3364762436787698e-08,5.291960730437716e-10,3.0762732323307926e-09,2.0914852936388933e-08,1.6086403476639477e-11,-2.3082634085028197e-07,-7.1685875017876672e-10,-1.5882500392985777e-12,1.2571328183116623e-13,-8.3774823556613567e-16,3.8817817452984216e-15,-4.8084870081011675e-15,1.8055538962495919e-10,1.7346293748500469e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.0019554495394662e-07,6.8597987964991169e-07,-1.5245047166490134e-20,3.4177055545728246e-07,2.7167246467590944e-06,-1.1598152492853231e-06,0,0.030729432700502372,0.017514787145544299,6.9985637702663507e-18,0.031361690034945086,0.0093386855753210107,0.13889956054584621,5.1985878366865914e-06,-2.3090475739931699e-05,4.9899023021321803e-07,7.0725569417765353e-21,-5.000498625850457e-05,5.8084604870470566e-05,-0.00010011885002842256,-3.8678112088081042e-09
1,1,lumen,0.0015789473684210526,0.0015,0.0010526315789473684,0.0021052631578947368,0.001,0.002,1000221.0629284274,1.5132967911195199,14.755716838747752,3036.1605851105965,0.15024445949779874,1173,1173,4.0014512454788246e-05,0.20759942758184047,0.59999999999999998,2,500000,0.00035,0.0001,0.14433990263407992,0.06554612870461532,3.6455164942583474e-17,0.12910859222583032,0.038082980227323475,0.62347316138260844,2.2818651844902281e-05,0.1327581332544352,0.034529814889018913,1.6811116044834228e-17,0.043288641603619754,0.2787409090327454,0.51067407304583123,8.4281743495706385e-06,0.26846419001900884,0.00383747779160262,2.799827464210574e-09,0.0032095603595054382,2.2816819163856548e-05,0.31716424595066395,0.00014668808694818136,2.2984876827384672e-07,1.2676916330989738e-10,8.0641759772174759e-12,7.6936275294116719e-10,2.1168085894364816e-10,5.7350012957898487e-08,0.40715472986000711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-1.4130840051531494e-09,3.2517414617191792e-09,3.6618787772998522e-10,3.0906495179776491e-09,3.5196202506290741e-12,1.4073672828258249e-09,-3.0393650045126909e-09,9.9474673290189664e-12,-2.1639669329102672e-14,4.8353456224321118e-15,-2.640665475668007e-14,3.5570117459487866e-14,-5.076557358690007e-11,-3.6261909042013026e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.0552918597757983e-07,4.5575786003504426e-07,-5.2737014184078993e-22,3.480350768781187e-07,2.7659308599325971e-06,-1.1564438935351973e-06,0,0.030751770310279074,0.017470247273972835,5.9330135298254575e-18,0.031660592575813606,0.009229562922022096,0.13898139152879366,5.2048761167179884e-06,-0.00011059343269703643,4.1012141246680469e-05,-5.9092457636481774e-19,-8.5392258352889319e-05,0.00018075234511656557,-0.00033982252580760128,-9.4038472726502097e-09
1,2,lumen,0.0015789473684210526,0.0025000000000000001,0.0010526315789473684,0.0021052631578947368,0.002,0.0030000000000000001,1000218.4327685938,1.528507926543357,14.904075387251144,3017.7858361810322,0.14912674880138957,1173,1172.9999999999991,4.0042724811714283e-05,0.20584380276816455,0.59999999999999998,2,500000,0.00035,0.0001,0.14502516577081573,0.064017347244402847,4.8206452893525767e-17,0.13014984749862976,0.036685349132489477,0.62359700433224274,2.2787435346623257e-05,0.13472953959339473,0.034063526220007655,2.2453672356931029e-17,0.044076510231062231,0.27121091720151363,0.5159110054860796,8.5012679421322763e-06,0.26650481776206109,0.004009900439588405,2.8595423876073812e-09,0.0032631780583532327,2.3519182303466529e-05,0.31629145918329865,0.00015119443919735584,2.1979339806622244e-07,1.241443125139763e-10,8.3298265817854073e-12,7.8708454300511273e-10,2.1844446441783422e-10,5.8313047487140797e-08,0.40975564883011623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-5.9079300891202657e-08,5.0757671037507021e-09,7.9667262462154509e-09,8.3096946042240007e-08,-3.4807147398716043e-12,-1.0623961933472516e-07,-4.7088690851217412e-09,5.4646916657595523e-11,7.0110925246342828e-14,8.9842976706532219e-15,-4.791501639361549e-14,6.6735158461453642e-14,-7.0243259868433617e-11,7.3907328838790099e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.4679597965771347e-07,5.7188762792037551e-07,-1.4351757728038117e-19,3.7320022402898806e-07,2.9218556558130437e-06,-1.2953649227709363e-06,0,0.031081792219971392,0.017017904854930696,8.6099220685524417e-18,0.031929891911346826,0.0089009114603742466,0.13947376952081236,5.2099454979563748e-06,-0.00057364560059902539,0.00039805848993512618,-1.3192528980389175e-19,0.00036334198778469089,0.00050090414387415948,-0.0012091636897995869,-1.4150208070872005e-08
1,3,support,0.0015789473684210526,0.0040000000000000001,0.0010526315789473684,0.0021052631578947368,0.0030000000000000001,0.0050000000000000001,1001618.3320620676,1.5586723033071648,15.1769586507741,3025.2813476260862,0.14484689263641537,1172.9999999999998,1173,3.99021640127215e-05,0.20038678279918751,0.40000000000000002,2,300000,0.00033700000000000001,0.0001,0.15881034313735531,0.050186811783518831,5.1379365091171237e-17,0.11307043208011709,0.031771463008870328,0.64618152076174906,2.2818092650925032e-05,0.15023736278195401,0.027193258381029907,2.4369726217005192e-17,0.038993507516760173,0.23918362121042849,0.54438358154290267,8.6685669249717545e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26376962388390263,0.0050527366965713982,3.362919746208356e-09,0.0036314392693079229,2.3682725449735231e-05,0.29579873115533339,0.00017903920503392929,1.5480327777108743e-07,9.8226063464164893e-11,1.0349211307788145e-11,9.3767659511874596e-10,2.7051974532574726e-10,5.5198003641595522e-08,0.43154453239597573,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.3268281184199333e-08,4.30652985388007e-08,1.0140472459702914e-08,2.5122927050513636e-07,-2.356555499783558e-10,-6.2231435207261987e-07,-3.9586770666352536e-08,1.9038059677453818e-09,5.5461047971851528e-12,5.9010098165020804e-14,-2.6221822971987748e-13,4.1207468636510432e-13,8.408149022828262e-10,3.9821964156571176e-07,-1.1195117450603365e-06,1.1733334858154976e-06,5.5456752817023775e-20,5.5583741859886101e-07,3.9271352059860876e-06,-1.9186176341001726e-06,0,0.033933193635701749,0.013482222101033361,8.9667163848996309e-18,0.028121240795432361,0.0078438294516138176,0.14323708606569807,5.1762343803311656e-06,0,0,0,0,0,0,0
2,0,lumen,0.002631578947368421,0.00050000000000000001,0.0021052631578947368,0.0031578947368421052,0,0.001,1000210.9475222328,1.4717241654004349,14.350499386605948,3016.9371283212195,0.15582778756532226,1173,1172.9999999999991,4.0187366041411489e-05,0.21650801875294981,0.59999999999999998,2,500000,0.00035,0.0001,0.1216288928449778,0.090306521171810372,2.2871232597195006e-17,0.14817651206524793,0.046246575409957025,0.58676976827425542,2.2663657172172501e-05,0.10879731672164898,0.046267178746254266,1.0257316374678694e-17,0.048317547444880579,0.32919714883591966,0.46741266720503005,8.1410462665208765e-06,0.271406691600794,0.0027667738022270432,2.1345100437280973e-09,0.0027328088988710485,2.2050760774020414e-05,0.34419023458579989,0.00011493308567145395,3.6941897034176102e-07,1.7172112206153279e-10,5.8561229212206255e-12,5.8225527039613869e-10,1.5202502630124184e-10,6.0213717596936853e-08,0.37876607458640071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-1.4386640520125798e-07,3.8027627255887254e-09,2.4264100767174102e-08,4.7783057421169424e-07,-3.3536514819527963e-11,-1.007673724139329e-06,-3.1532381594348233e-09,3.9831518378746766e-10,7.4000276914978578e-13,8.9215620099787096e-15,-3.5633717250105714e-14,5.4039353638246961e-14,1.4071866165650273e-11,6.4841631183751716e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.4899097920273199e-07,1.3665767201742618e-06,-4.7691785171197181e-21,1.6544426455398897e-07,1.8133590279911793e-06,-1.1682334345453071e-06,0,0.026369959473748227,0.022809851026169455,4.6789352935887689e-18,0.03535028974069334,0.011001382206009368,0.13266590678543427,5.2099812318309532e-06,-3.3784459866850126e-05,7.3135075468204869e-07,4.932076828194478e-19,-7.446194868628516e-05,8.6957046915416052e-05,-0.00014767545380012955,-5.4117999805517743e-09
2,1,lumen,0.002631578947368421,0.0015,0.0021052631578947368,0.0031578947368421052,0.001,0.002,1000209.8310771226,1.4653209878324243,14.288079181691922,3035.1038441382329,0.15522977232509647,1173,1173,4.0212198172809401e-05,0.21562466581369291,0.59999999999999998,2,500000,0.00035,0.0001,0.12281752829481142,0.090685218154822042,1.2799116727906056e-17,0.1508801925920934,0.045968516609614596,0.59205362376853321,2.2876087294601143e-05,0.10938269458180849,0.046259106662088656,5.7151944891568008e-18,0.048985165277664965,0.32579454622177262,0.46957030564598617,8.1816106791628946e-06,0.270476198028132,0.0028135286892848233,2.1497797879148411e-09,0.0027502634417946037,2.2419181960527371e-05,0.34438706970966204,0.00011626962874326136,3.6450059778917807e-07,1.7110153624496891e-10,5.9165749658682501e-12,5.8645181413207484e-10,1.536344485241896e-10,6.0902843517050549e-08,0.37943382284944055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,-6.0974684820799005e-10,-5.2005083356170668e-11,2.2235404296373516e-11,-2.3136346833462937e-08,1.4484918256160717e-12,4.6570811931866476e-08,1.9531943752381487e-11,-7.0080508236813888e-12,-1.5638701177320126e-14,1.8155730396259291e-18,3.9699538525282754e-16,4.231794999428344e-16,2.0419215979312658e-11,-2.2829325291619434e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.3204723661839926e-07,3.1450550433409497e-07,1.32476067688339e-19,1.7093384007654538e-07,1.767290150167522e-06,-6.7981889628754288e-07,0,0.026460675785640517,0.02267074436134069,3.2836345255653612e-18,0.03568913566143983,0.010836661393714784,0.13284828047882091,5.216726545162956e-06,-0.0001601653510714868,8.7801905709594815e-05,-5.6936689603799168e-19,-8.6558188104357537e-05,0.00023427044435452683,-0.00045134224273064003,-1.114978336293418e-08
