z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3_3, GasTemperature_3_3, SolidTemperature_3_3, CH4_3_3, CO_3_3, O2_3_3, CO2_3_3, H2_3_3, H2O_3_3, AR_3_3, H(s)_3_3, O(s)_3_3, CH4(s)_3_3, H2O(s)_3_3, CO2(s)_3_3, CO(s)_3_3, OH(s)_3_3, C(s)_3_3, HCO(s)_3_3, CH(s)_3_3, CH3(s)_3_3, CH2(s)_3_3, COOH(s)_3_3, Ni(s)_3_3, 
0.000526316, 1.00023e+06, 1.00023e+06, 1.00023e+06, 1.0017e+06, 0.141971, 1173, 1173, 0.174231, 0.0183571, 4.81518e-17, 0.0288161, 0.189668, 0.588919, 8.88065e-06, 0.256222, 0.00752379, 4.25117e-09, 0.00428233, 2.37498e-05, 0.260648, 0.000237245, 8.37405e-08, 6.43224e-11, 1.47361e-11, 1.22656e-09, 3.79821e-10, 4.92974e-08, 0.471062, 0.141798, 1173, 1173, 0.174321, 0.0183845, 4.66637e-17, 0.0290251, 0.188824, 0.589437, 8.89286e-06, 0.25576, 0.00756729, 4.25516e-09, 0.00428791, 2.39226e-05, 0.260861, 0.000238085, 8.34552e-08, 6.43017e-11, 1.47845e-11, 1.22853e-09, 3.80939e-10, 4.95454e-08, 0.471262, 0.141249, 1173, 1173, 0.175231, 0.0183227, 5.44724e-17, 0.0295927, 0.18457, 0.592275, 8.94045e-06, 0.253768, 0.00780678, 4.29269e-09, 0.00432397, 2.45959e-05, 0.260884, 0.000242838, 8.12153e-08, 6.35865e-11, 1.50963e-11, 1.24388e-09, 3.8831e-10, 5.03642e-08, 0.47295, 0.139013, 1173, 1173, 0.188511, 0.0144917, 8.03669e-17, 0.0244258, 0.153091, 0.619472, 9.11351e-06, 0.244114, 0.0103893, 4.88113e-09, 0.00478029, 2.59073e-05, 0.241226, 0.000294547, 5.40369e-08, 4.845e-11, 1.90823e-11, 1.47062e-09, 4.84426e-10, 4.83795e-08, 0.49917, 
0.00157895, 1.00022e+06, 1.00022e+06, 1.00022e+06, 1.00162e+06, 0.150538, 1173, 1173, 0.132348, 0.0345355, 1.68784e-17, 0.0428294, 0.281146, 0.509133, 8.39824e-06, 0.269245, 0.00378789, 2.78729e-09, 0.00319542, 2.25258e-05, 0.317016, 0.000145416, 2.32245e-07, 1.27159e-10, 7.99938e-12, 7.65575e-10, 2.10063e-10, 5.68621e-08, 0.406588, 0.150244, 1173, 1173, 0.132758, 0.0345298, 1.68111e-17, 0.0432886, 0.278741, 0.510674, 8.42817e-06, 0.268464, 0.00383748, 2.79983e-09, 0.00320956, 2.28168e-05, 0.317164, 0.000146688, 2.29849e-07, 1.26769e-10, 8.06418e-12, 7.69363e-10, 2.11681e-10, 5.735e-08, 0.407155, 0.149127, 1173, 1173, 0.13473, 0.0340635, 2.24537e-17, 0.0440765, 0.271211, 0.515911, 8.50127e-06, 0.266505, 0.0040099, 2.85954e-09, 0.00326318, 2.35192e-05, 0.316291, 0.000151194, 2.19793e-07, 1.24144e-10, 8.32983e-12, 7.87085e-10, 2.18444e-10, 5.8313e-08, 0.409756, 0.144847, 1173, 1173, 0.150237, 0.0271933, 2.43697e-17, 0.0389935, 0.239184, 0.544384, 8.66857e-06, 0.26377, 0.00505274, 3.36292e-09, 0.00363144, 2.36827e-05, 0.295799, 0.000179039, 1.54803e-07, 9.82261e-11, 1.03492e-11, 9.37677e-10, 2.7052e-10, 5.5198e-08, 0.431545, 
0.00263158, 1.00021e+06, 1.00021e+06, 1.00021e+06, 1.00153e+06, 0.155828, 1173, 1173, 0.108797, 0.0462672, 1.02573e-17, 0.0483175, 0.329197, 0.467413, 8.14105e-06, 0.271407, 0.00276677, 2.13451e-09, 0.00273281, 2.20508e-05, 0.34419, 0.000114933, 3.69419e-07, 1.71721e-10, 5.85612e-12, 5.82255e-10, 1.52025e-10, 6.02137e-08, 0.378766, 0.15523, 1173, 1173, 0.109383, 0.0462591, 5.71519e-18, 0.0489852, 0.325795, 0.46957, 8.18161e-06, 0.270476, 0.00281353, 2.14978e-09, 0.00275026, 2.24192e-05, 0.344387, 0.00011627, 3.64501e-07, 1.71102e-10, 5.91657e-12, 5.86452e-10, 1.53634e-10, 6.09028e-08, 0.379434, 0.153798, 1173, 1173, 0.112171, 0.045285, 1.09875e-17, 0.0497664, 0.316551, 0.476218, 8.26565e-06, 0.268793, 0.00296069, 2.22261e-09, 0.00281201, 2.30942e-05, 0.342753, 0.000120603, 3.44679e-07, 1.66456e-10, 6.16394e-12, 6.06553e-10, 1.60362e-10, 6.18417e-08, 0.382538, 0.149784, 1173, 1173, 0.128199, 0.0368959, 1.2068e-17, 0.0457124, 0.284667, 0.504517, 8.44966e-06, 0.267767, 0.00366152, 2.67018e-09, 0.00313158, 2.32956e-05, 0.32369, 0.000141534, 2.50696e-07, 1.35282e-10, 7.63449e-12, 7.32672e-10, 2.00184e-10, 5.92062e-08, 0.401585, 
0.00368421, 1.0002e+06, 1.0002e+06, 1.0002e+06, 1.00144e+06, 0.159285, 1173, 1173, 0.0928622, 0.0554436, 7.55738e-18, 0.0513323, 0.359449, 0.440905, 7.98476e-06, 0.271351, 0.00228702, 1.74318e-09, 0.00246646, 2.1845e-05, 0.361368, 9.92722e-05, 4.90155e-07, 2.05734e-10, 4.77981e-12, 4.76246e-10, 1.21058e-10, 6.2325e-08, 0.362406, 0.158605, 1173, 1173, 0.0937439, 0.0552862, 7.20472e-18, 0.0520489, 0.355278, 0.443635, 8.03054e-06, 0.270437, 0.00233393, 1.76406e-09, 0.00248784, 2.22296e-05, 0.361319, 0.000100719, 4.81307e-07, 2.04458e-10, 4.84444e-12, 4.81758e-10, 1.22913e-10, 6.30537e-08, 0.363299, 0.156955, 1173, 1173, 0.097015, 0.0539342, 8.77025e-18, 0.0528698, 0.345137, 0.451036, 8.12132e-06, 0.268955, 0.00246462, 1.84209e-09, 0.00255217, 2.28996e-05, 0.359322, 0.00010483, 4.5272e-07, 1.98365e-10, 5.06966e-12, 5.02634e-10, 1.29401e-10, 6.40218e-08, 0.366578, 0.150554, 1173, 1173, 0.112702, 0.0450737, 1.25489e-17, 0.0500754, 0.313557, 0.478584, 8.32874e-06, 0.268189, 0.00300949, 2.2401e-09, 0.00283481, 2.33937e-05, 0.342559, 0.000122085, 3.39208e-07, 1.65511e-10, 6.22999e-12, 6.11687e-10, 1.62146e-10, 6.23861e-08, 0.383261, 
0.00473684, 1.00019e+06, 1.00019e+06, 1.00018e+06, 1.00135e+06, 0.161823, 1173, 1173, 0.0811806, 0.0627617, 6.26817e-18, 0.0532687, 0.380271, 0.42251, 7.88495e-06, 0.270742, 0.0020096, 1.47826e-09, 0.00229276, 2.17299e-05, 0.373288, 8.97206e-05, 5.94118e-07, 2.32363e-10, 4.13616e-12, 4.05847e-10, 1.01521e-10, 6.37634e-08, 0.351556, 0.161008, 1173, 1173, 0.0822518, 0.0624822, 6.96227e-18, 0.0540094, 0.375674, 0.425575, 7.93354e-06, 0.26987, 0.00205481, 1.50205e-09, 0.002316, 2.21197e-05, 0.373083, 9.11827e-05, 5.81782e-07, 2.30584e-10, 4.19882e-12, 4.1199e-10, 1.03442e-10, 6.45138e-08, 0.352562, 0.159209, 1173, 1173, 0.0858712, 0.0608, 7.06925e-18, 0.0548553, 0.364975, 0.433491, 8.03045e-06, 0.268557, 0.00217509, 1.58322e-09, 0.00238176, 2.27835e-05, 0.370815, 9.5136e-05, 5.45166e-07, 2.23284e-10, 4.40608e-12, 4.33308e-10, 1.0974e-10, 6.5498e-08, 0.355952, 0.152782, 1173, 1173, 0.100913, 0.0519707, 9.65897e-18, 0.053205, 0.33364, 0.460263, 8.26422e-06, 0.267612, 0.00263141, 1.94021e-09, 0.00263716, 2.35848e-05, 0.35622, 0.000110107, 4.18483e-07, 1.90408e-10, 5.35977e-12, 5.29384e-10, 1.37681e-10, 6.48705e-08, 0.370765, 
0.00578947, 1.00018e+06, 1.00017e+06, 1.00017e+06, 1.00125e+06, 0.163584, 1173, 1173, 0.0720902, 0.0688846, 5.24477e-18, 0.054814, 0.395214, 0.408989, 7.8213e-06, 0.26984, 0.00182993, 1.28338e-09, 0.00216977, 2.1718e-05, 0.382354, 8.32881e-05, 6.84397e-07, 2.5418e-10, 3.70728e-12, 3.5469e-10, 8.78564e-11, 6.49662e-08, 0.3437, 0.16275, 1173, 1173, 0.073331, 0.0684716, 4.41851e-18, 0.0555558, 0.390328, 0.412306, 7.87193e-06, 0.269028, 0.00187386, 1.30966e-09, 0.0021944, 2.21059e-05, 0.381992, 8.47588e-05, 6.68625e-07, 2.51895e-10, 3.76804e-12, 3.61382e-10, 8.98386e-11, 6.57167e-08, 0.344804, 0.160851, 1173, 1173, 0.0770981, 0.0666209, 4.11481e-18, 0.0565125, 0.379262, 0.420498, 7.97584e-06, 0.267771, 0.001986, 1.39035e-09, 0.00225979, 2.27951e-05, 0.379708, 8.85486e-05, 6.25857e-07, 2.43941e-10, 3.95517e-12, 3.82275e-10, 9.58143e-11, 6.67992e-08, 0.348163, 0.151826, 1173, 1173, 0.0913728, 0.058144, 7.58093e-18, 0.055994, 0.347943, 0.446538, 8.23624e-06, 0.266384, 0.00238628, 1.71233e-09, 0.00249377, 2.39275e-05, 0.367194, 0.000101964, 4.90461e-07, 2.12027e-10, 4.75735e-12, 4.67734e-10, 1.20156e-10, 6.72024e-08, 0.361416, 
0.00684211, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.00116e+06, 0.164975, 1173, 1173, 0.0648554, 0.0739517, 3.57712e-18, 0.0560133, 0.406405, 0.398767, 7.78132e-06, 0.268962, 0.00170546, 1.13486e-09, 0.00207941, 2.17298e-05, 0.389318, 7.87136e-05, 7.61634e-07, 2.71985e-10, 3.40484e-12, 3.16058e-10, 7.78124e-11, 6.59138e-08, 0.337834, 0.164053, 1173, 1173, 0.0661608, 0.0734781, 5.42567e-18, 0.0567875, 0.40134, 0.402226, 7.83486e-06, 0.26817, 0.00174776, 1.16156e-09, 0.00210443, 2.21261e-05, 0.388915, 8.01619e-05, 7.43373e-07, 2.69448e-10, 3.46045e-12, 3.22768e-10, 7.97384e-11, 6.66965e-08, 0.338959, 0.162044, 1173, 1173, 0.0699938, 0.0715182, 5.55283e-18, 0.0578599, 0.39001, 0.41061, 7.94652e-06, 0.266937, 0.00185393, 1.24084e-09, 0.00216926, 2.28435e-05, 0.386666, 8.38226e-05, 6.95498e-07, 2.61053e-10, 3.62952e-12, 3.43057e-10, 8.54044e-11, 6.78813e-08, 0.342266, 0.152886, 1173, 1173, 0.0835145, 0.0634657, 7.68311e-18, 0.0582672, 0.358742, 0.436003, 8.23166e-06, 0.265143, 0.00221533, 1.53409e-09, 0.00238673, 2.42454e-05, 0.37584, 9.6112e-05, 5.5407e-07, 2.30337e-10, 4.31696e-12, 4.20002e-10, 1.06984e-10, 6.91386e-08, 0.354294, 
0.00789474, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00107e+06, 0.165892, 1173, 1173, 0.0587253, 0.0785124, 1.6747e-17, 0.0572368, 0.414786, 0.390732, 7.7618e-06, 0.267908, 0.00161436, 1.01316e-09, 0.0020089, 2.18381e-05, 0.395275, 7.52732e-05, 8.30413e-07, 2.87629e-10, 3.1731e-12, 2.84579e-10, 6.98306e-11, 6.69207e-08, 0.333096, 0.164958, 1173, 1173, 0.0601515, 0.0779279, 4.61448e-18, 0.0580255, 0.409513, 0.394375, 7.8181e-06, 0.267154, 0.00165632, 1.0415e-09, 0.00203491, 2.22384e-05, 0.394765, 7.67369e-05, 8.09118e-07, 2.84679e-10, 3.2267e-12, 2.91637e-10, 7.17951e-11, 6.77129e-08, 0.33429, 0.162882, 1173, 1173, 0.0639564, 0.0759647, 4.5421e-18, 0.0592808, 0.397926, 0.402864, 7.93835e-06, 0.265869, 0.0017579, 1.11798e-09, 0.00209861, 2.30073e-05, 0.392679, 8.02828e-05, 7.57472e-07, 2.76173e-10, 3.37807e-12, 3.10994e-10, 7.71147e-11, 6.90569e-08, 0.337491, 0.151047, 1173, 1173, 0.0766013, 0.0685575, 7.06613e-18, 0.0606815, 0.366611, 0.427541, 8.24824e-06, 0.263535, 0.00209013, 1.38341e-09, 0.00230101, 2.47085e-05, 0.383596, 9.16648e-05, 6.13208e-07, 2.47282e-10, 3.96751e-12, 3.79892e-10, 9.62511e-11, 7.12231e-08, 0.348361, 
0.00894737, 1.00014e+06, 1.00014e+06, 1.00014e+06, 1.00098e+06, 0.166611, 1173, 1173, 0.0537141, 0.0823132, 5.2851e-18, 0.0582653, 0.42114, 0.38456, 7.75548e-06, 0.266973, 0.00154764, 9.16482e-10, 0.00195534, 2.19487e-05, 0.400007, 7.27123e-05, 8.88177e-07, 3.00493e-10, 2.99793e-12, 2.59695e-10, 6.3625e-11, 6.77717e-08, 0.329422, 0.165633, 1173, 1173, 0.0551488, 0.0817041, 4.754e-18, 0.059094, 0.415771, 0.388274, 7.81526e-06, 0.266221, 0.00158846, 9.44349e-10, 0.00198133, 2.23607e-05, 0.399504, 7.41529e-05, 8.6515e-07, 2.97428e-10, 3.04632e-12, 2.66564e-10, 6.55046e-11, 6.86028e-08, 0.330608, 0.163476, 1173, 1173, 0.0589093, 0.0797412, 3.46411e-18, 0.060496, 0.404007, 0.396838, 7.94366e-06, 0.264899, 0.0016865, 1.01824e-09, 0.0020441, 2.31702e-05, 0.397548, 7.76076e-05, 8.10354e-07, 2.88843e-10, 3.1827e-12, 2.85085e-10, 7.05276e-11, 7.00741e-08, 0.333721, 0.151455, 1173, 1173, 0.0707823, 0.072906, 6.53349e-18, 0.0626793, 0.372705, 0.42092, 8.27562e-06, 0.262146, 0.00199702, 1.26109e-09, 0.00223484, 2.51035e-05, 0.38981, 8.83023e-05, 6.64264e-07, 2.61558e-10, 3.69539e-12, 3.47519e-10, 8.77346e-11, 7.29561e-08, 0.343697, 
0.01, 1.00013e+06, 1.00013e+06, 1.00012e+06, 1.00088e+06, 0.167019, 1173, 1173, 0.0493009, 0.0858643, 3.77768e-18, 0.0594236, 0.425762, 0.379641, 7.76349e-06, 0.265891, 0.00149696, 8.3321e-10, 0.00191203, 2.21456e-05, 0.404303, 7.07153e-05, 9.39782e-07, 3.12182e-10, 2.85324e-12, 2.38294e-10, 5.83846e-11, 6.87531e-08, 0.326303, 0.166013, 1173, 1173, 0.0507245, 0.0852617, 4.10124e-18, 0.0603269, 0.420257, 0.383422, 7.82747e-06, 0.265112, 0.00153715, 8.60335e-10, 0.00193798, 2.25804e-05, 0.403847, 7.2143e-05, 9.15308e-07, 3.09082e-10, 2.89656e-12, 2.44906e-10, 6.01735e-11, 6.96487e-08, 0.327471, 0.163807, 1173, 1173, 0.0543325, 0.0834249, 4.66433e-18, 0.0619637, 0.408293, 0.391978, 7.96531e-06, 0.263672, 0.00163211, 9.29856e-10, 0.00199913, 2.34586e-05, 0.402167, 7.55016e-05, 8.58809e-07, 3.00781e-10, 3.01643e-12, 2.62145e-10, 6.48156e-11, 7.13207e-08, 0.33043, 0.149078, 1173, 1173, 0.0653717, 0.0772995, 6.20951e-18, 0.0650391, 0.376846, 0.415435, 8.31993e-06, 0.260401, 0.00192579, 1.15051e-09, 0.00217886, 2.56647e-05, 0.39584, 8.56204e-05, 7.12701e-07, 2.75447e-10, 3.46009e-12, 3.18303e-10, 8.02335e-11, 7.49962e-08, 0.339543, 
