z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3_3, GasTemperature_3_3, SolidTemperature_3_3, CH4_3_3, CO_3_3, O2_3_3, CO2_3_3, H2_3_3, H2O_3_3, AR_3_3, H(s)_3_3, O(s)_3_3, CH4(s)_3_3, H2O(s)_3_3, CO2(s)_3_3, CO(s)_3_3, OH(s)_3_3, C(s)_3_3, HCO(s)_3_3, CH(s)_3_3, CH3(s)_3_3, CH2(s)_3_3, COOH(s)_3_3, Ni(s)_3_3, 
0.000526316, 1.00023e+06, 1.00023e+06, 1.00023e+06, 1.0017e+06, 0.141971, 1173, 1173, 0.180826, 0.0332635, 9.96746e-17, 0.0820402, 0.0247363, 0.686339, 2.29515e-05, 0.256222, 0.00752379, 4.25117e-09, 0.00428233, 2.37498e-05, 0.260648, 0.000237245, 8.37405e-08, 6.43224e-11, 1.47361e-11, 1.22656e-09, 3.79821e-10, 4.92974e-08, 0.471062, 0.141798, 1173, 1173, 0.180656, 0.0332645, 9.64537e-17, 0.0825149, 0.0245904, 0.685944, 2.29496e-05, 0.25576, 0.00756729, 4.25516e-09, 0.00428791, 2.39226e-05, 0.260861, 0.000238085, 8.34552e-08, 6.43017e-11, 1.47845e-11, 1.22853e-09, 3.80939e-10, 4.95454e-08, 0.471262, 0.141249, 1173, 1173, 0.179956, 0.0328527, 1.11576e-16, 0.0833672, 0.0238188, 0.68301, 2.28636e-05, 0.253768, 0.00780678, 4.29269e-09, 0.00432397, 2.45959e-05, 0.260884, 0.000242838, 8.12153e-08, 6.35865e-11, 1.50963e-11, 1.24388e-09, 3.8831e-10, 5.03642e-08, 0.47295, 0.139013, 1173, 1173, 0.188697, 0.0253265, 1.60451e-16, 0.0670708, 0.0192567, 0.696303, 2.27167e-05, 0.244114, 0.0103893, 4.88113e-09, 0.00478029, 2.59073e-05, 0.241226, 0.000294547, 5.40369e-08, 4.845e-11, 1.90823e-11, 1.47062e-09, 4.84426e-10, 4.83795e-08, 0.49917, 
0.00157895, 1.00022e+06, 1.00022e+06, 1.00022e+06, 1.00162e+06, 0.150538, 1173, 1173, 0.144325, 0.0657532, 3.67106e-17, 0.128122, 0.0385266, 0.623453, 2.28057e-05, 0.269245, 0.00378789, 2.78729e-09, 0.00319542, 2.25258e-05, 0.317016, 0.000145416, 2.32245e-07, 1.27159e-10, 7.99938e-12, 7.65575e-10, 2.10063e-10, 5.68621e-08, 0.406588, 0.150244, 1173, 1173, 0.14434, 0.0655461, 3.64552e-17, 0.129109, 0.038083, 0.623473, 2.28187e-05, 0.268464, 0.00383748, 2.79983e-09, 0.00320956, 2.28168e-05, 0.317164, 0.000146688, 2.29849e-07, 1.26769e-10, 8.06418e-12, 7.69363e-10, 2.11681e-10, 5.735e-08, 0.407155, 0.149127, 1173, 1173, 0.145025, 0.0640173, 4.82065e-17, 0.13015, 0.0366853, 0.623597, 2.27874e-05, 0.266505, 0.0040099, 2.85954e-09, 0.00326318, 2.35192e-05, 0.316291, 0.000151194, 2.19793e-07, 1.24144e-10, 8.32983e-12, 7.87085e-10, 2.18444e-10, 5.8313e-08, 0.409756, 0.144847, 1173, 1173, 0.15881, 0.0501868, 5.13794e-17, 0.11307, 0.0317715, 0.646182, 2.28181e-05, 0.26377, 0.00505274, 3.36292e-09, 0.00363144, 2.36827e-05, 0.295799, 0.000179039, 1.54803e-07, 9.82261e-11, 1.03492e-11, 9.37677e-10, 2.7052e-10, 5.5198e-08, 0.431545, 
0.00263158, 1.00021e+06, 1.00021e+06, 1.00021e+06, 1.00153e+06, 0.155828, 1173, 1173, 0.121629, 0.0903065, 2.28712e-17, 0.148177, 0.0462466, 0.58677, 2.26637e-05, 0.271407, 0.00276677, 2.13451e-09, 0.00273281, 2.20508e-05, 0.34419, 0.000114933, 3.69419e-07, 1.71721e-10, 5.85612e-12, 5.82255e-10, 1.52025e-10, 6.02137e-08, 0.378766, 0.15523, 1173, 1173, 0.122818, 0.0906852, 1.27991e-17, 0.15088, 0.0459685, 0.592054, 2.28761e-05, 0.270476, 0.00281353, 2.14978e-09, 0.00275026, 2.24192e-05, 0.344387, 0.00011627, 3.64501e-07, 1.71102e-10, 5.91657e-12, 5.86452e-10, 1.53634e-10, 6.09028e-08, 0.379434, 0.153798, 1173, 1173, 0.124352, 0.0876503, 2.42944e-17, 0.151343, 0.0440981, 0.592823, 2.28181e-05, 0.268793, 0.00296069, 2.22261e-09, 0.00281201, 2.30942e-05, 0.342753, 0.000120603, 3.44679e-07, 1.66456e-10, 6.16394e-12, 6.06553e-10, 1.60362e-10, 6.18417e-08, 0.382538, 0.149784, 1173, 1173, 0.138632, 0.0696603, 2.60286e-17, 0.135603, 0.0386832, 0.612638, 2.27536e-05, 0.267767, 0.00366152, 2.67018e-09, 0.00313158, 2.32956e-05, 0.32369, 0.000141534, 2.50696e-07, 1.35282e-10, 7.63449e-12, 7.32672e-10, 2.00184e-10, 5.92062e-08, 0.401585, 
0.00368421, 1.0002e+06, 1.0002e+06, 1.0002e+06, 1.00144e+06, 0.159285, 1173, 1173, 0.106745, 0.111273, 1.73268e-17, 0.161866, 0.0519221, 0.569119, 2.28562e-05, 0.271351, 0.00228702, 1.74318e-09, 0.00246646, 2.1845e-05, 0.361368, 9.92722e-05, 4.90155e-07, 2.05734e-10, 4.77981e-12, 4.76246e-10, 1.21058e-10, 6.2325e-08, 0.362406, 0.158605, 1173, 1173, 0.106906, 0.110078, 1.63875e-17, 0.162826, 0.0509132, 0.568109, 2.28052e-05, 0.270437, 0.00233393, 1.76406e-09, 0.00248784, 2.22296e-05, 0.361319, 0.000100719, 4.81307e-07, 2.04458e-10, 4.84444e-12, 4.81758e-10, 1.22913e-10, 6.30537e-08, 0.363299, 0.156955, 1173, 1173, 0.109654, 0.106433, 1.97713e-17, 0.163927, 0.049021, 0.572461, 2.28583e-05, 0.268955, 0.00246462, 1.84209e-09, 0.00255217, 2.28996e-05, 0.359322, 0.00010483, 4.5272e-07, 1.98365e-10, 5.06966e-12, 5.02634e-10, 1.29401e-10, 6.40218e-08, 0.366578, 0.150554, 1173, 1173, 0.12475, 0.0871084, 2.77047e-17, 0.152051, 0.0436144, 0.594862, 2.29573e-05, 0.268189, 0.00300949, 2.2401e-09, 0.00283481, 2.33937e-05, 0.342559, 0.000122085, 3.39208e-07, 1.65511e-10, 6.22999e-12, 6.11687e-10, 1.62146e-10, 6.23861e-08, 0.383261, 
0.00473684, 1.00019e+06, 1.00019e+06, 1.00018e+06, 1.00135e+06, 0.161823, 1173, 1173, 0.0946624, 0.127775, 1.45782e-17, 0.170394, 0.0557215, 0.553236, 2.28958e-05, 0.270742, 0.0020096, 1.47826e-09, 0.00229276, 2.17299e-05, 0.373288, 8.97206e-05, 5.94118e-07, 2.32363e-10, 4.13616e-12, 4.05847e-10, 1.01521e-10, 6.37634e-08, 0.351556, 0.161008, 1173, 1173, 0.0950836, 0.126108, 1.60527e-17, 0.171272, 0.0545728, 0.552439, 2.2838e-05, 0.26987, 0.00205481, 1.50205e-09, 0.002316, 2.21197e-05, 0.373083, 9.11827e-05, 5.81782e-07, 2.30584e-10, 4.19882e-12, 4.1199e-10, 1.03442e-10, 6.45138e-08, 0.352562, 0.159209, 1173, 1173, 0.0981241, 0.1213, 1.61116e-17, 0.17195, 0.0524079, 0.556233, 2.28507e-05, 0.268557, 0.00217509, 1.58322e-09, 0.00238176, 2.27835e-05, 0.370815, 9.5136e-05, 5.45166e-07, 2.23284e-10, 4.40608e-12, 4.33308e-10, 1.0974e-10, 6.5498e-08, 0.355952, 0.152782, 1173, 1173, 0.112866, 0.101485, 2.15469e-17, 0.163239, 0.0468921, 0.578058, 2.3017e-05, 0.267612, 0.00263141, 1.94021e-09, 0.00263716, 2.35848e-05, 0.35622, 0.000110107, 4.18483e-07, 1.90408e-10, 5.35977e-12, 5.29384e-10, 1.37681e-10, 6.48705e-08, 0.370765, 
0.00578947, 1.00018e+06, 1.00017e+06, 1.00017e+06, 1.00125e+06, 0.163584, 1173, 1173, 0.0846864, 0.141282, 1.22886e-17, 0.176638, 0.0583411, 0.539508, 2.28796e-05, 0.26984, 0.00182993, 1.28338e-09, 0.00216977, 2.1718e-05, 0.382354, 8.32881e-05, 6.84397e-07, 2.5418e-10, 3.70728e-12, 3.5469e-10, 8.78564e-11, 6.49662e-08, 0.3437, 0.16275, 1173, 1173, 0.0852708, 0.139011, 1.02477e-17, 0.177214, 0.0570357, 0.53837, 2.27942e-05, 0.269028, 0.00187386, 1.30966e-09, 0.0021944, 2.21059e-05, 0.381992, 8.47588e-05, 6.68625e-07, 2.51895e-10, 3.76804e-12, 3.61382e-10, 8.98386e-11, 6.57167e-08, 0.344804, 0.160851, 1173, 1173, 0.0891779, 0.13454, 9.49294e-18, 0.179314, 0.0551262, 0.546168, 2.29732e-05, 0.267771, 0.001986, 1.39035e-09, 0.00225979, 2.27951e-05, 0.379708, 8.85486e-05, 6.25857e-07, 2.43941e-10, 3.95517e-12, 3.82275e-10, 9.58143e-11, 6.67992e-08, 0.348163, 0.151826, 1173, 1173, 0.102093, 0.113425, 1.68942e-17, 0.171623, 0.048853, 0.560253, 2.29159e-05, 0.266384, 0.00238628, 1.71233e-09, 0.00249377, 2.39275e-05, 0.367194, 0.000101964, 4.90461e-07, 2.12027e-10, 4.75735e-12, 4.67734e-10, 1.20156e-10, 6.72024e-08, 0.361416, 
0.00684211, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.00116e+06, 0.164975, 1173, 1173, 0.0768429, 0.152979, 8.45334e-18, 0.182056, 0.0605092, 0.530549, 2.29584e-05, 0.268962, 0.00170546, 1.13486e-09, 0.00207941, 2.17298e-05, 0.389318, 7.87136e-05, 7.61634e-07, 2.71985e-10, 3.40484e-12, 3.16058e-10, 7.78124e-11, 6.59138e-08, 0.337834, 0.164053, 1173, 1173, 0.07772, 0.150701, 1.27122e-17, 0.182996, 0.0592446, 0.53058, 2.29189e-05, 0.26817, 0.00174776, 1.16156e-09, 0.00210443, 2.21261e-05, 0.388915, 8.01619e-05, 7.43373e-07, 2.69448e-10, 3.46045e-12, 3.22768e-10, 7.97384e-11, 6.66965e-08, 0.338959, 0.162044, 1173, 1173, 0.0816836, 0.14572, 1.29249e-17, 0.185229, 0.0571947, 0.538089, 2.30932e-05, 0.266937, 0.00185393, 1.24084e-09, 0.00216926, 2.28435e-05, 0.386666, 8.38226e-05, 6.95498e-07, 2.61053e-10, 3.62952e-12, 3.43057e-10, 8.54044e-11, 6.78813e-08, 0.342266, 0.152886, 1173, 1173, 0.0937118, 0.124337, 1.71952e-17, 0.179355, 0.0505847, 0.549376, 2.30012e-05, 0.265143, 0.00221533, 1.53409e-09, 0.00238673, 2.42454e-05, 0.37584, 9.6112e-05, 5.5407e-07, 2.30337e-10, 4.31696e-12, 4.20002e-10, 1.06984e-10, 6.91386e-08, 0.354294, 
0.00789474, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00107e+06, 0.165892, 1173, 1173, 0.0707307, 0.165101, 4.02308e-17, 0.18911, 0.0627787, 0.528458, 2.32797e-05, 0.267908, 0.00161436, 1.01316e-09, 0.0020089, 2.18381e-05, 0.395275, 7.52732e-05, 8.30413e-07, 2.87629e-10, 3.1731e-12, 2.84579e-10, 6.98306e-11, 6.69207e-08, 0.333096, 0.164958, 1173, 1173, 0.0708272, 0.160204, 1.08371e-17, 0.187425, 0.0605935, 0.521449, 2.29238e-05, 0.267154, 0.00165632, 1.0415e-09, 0.00203491, 2.22384e-05, 0.394765, 7.67369e-05, 8.09118e-07, 2.84679e-10, 3.2267e-12, 2.91637e-10, 7.17951e-11, 6.77129e-08, 0.33429, 0.162882, 1173, 1173, 0.0743577, 0.154199, 1.05326e-17, 0.189066, 0.0581366, 0.525956, 2.29828e-05, 0.265869, 0.0017579, 1.11798e-09, 0.00209861, 2.30073e-05, 0.392679, 8.02828e-05, 7.57472e-07, 2.76173e-10, 3.37807e-12, 3.10994e-10, 7.71147e-11, 6.90569e-08, 0.337491, 0.151047, 1173, 1173, 0.0862545, 0.134781, 1.58696e-17, 0.187438, 0.0518748, 0.540595, 2.3128e-05, 0.263535, 0.00209013, 1.38341e-09, 0.00230101, 2.47085e-05, 0.383596, 9.16648e-05, 6.13208e-07, 2.47282e-10, 3.96751e-12, 3.79892e-10, 9.62511e-11, 7.12231e-08, 0.348361, 
0.00894737, 1.00014e+06, 1.00014e+06, 1.00014e+06, 1.00098e+06, 0.166611, 1173, 1173, 0.0636731, 0.170359, 1.24956e-17, 0.189467, 0.0627334, 0.511894, 2.28933e-05, 0.266973, 0.00154764, 9.16482e-10, 0.00195534, 2.19487e-05, 0.400007, 7.27123e-05, 8.88177e-07, 3.00493e-10, 2.99793e-12, 2.59695e-10, 6.3625e-11, 6.77717e-08, 0.329422, 0.165633, 1173, 1173, 0.0651023, 0.168396, 1.11933e-17, 0.191364, 0.0616765, 0.514691, 2.29739e-05, 0.266221, 0.00158846, 9.44349e-10, 0.00198133, 2.23607e-05, 0.399504, 7.41529e-05, 8.6515e-07, 2.97428e-10, 3.04632e-12, 2.66564e-10, 6.55046e-11, 6.86028e-08, 0.330608, 0.163476, 1173, 1173, 0.0682271, 0.161244, 8.00207e-18, 0.192201, 0.0587986, 0.516101, 2.291e-05, 0.264899, 0.0016865, 1.01824e-09, 0.0020441, 2.31702e-05, 0.397548, 7.76076e-05, 8.10354e-07, 2.88843e-10, 3.1827e-12, 2.85085e-10, 7.05276e-11, 7.00741e-08, 0.333721, 0.151455, 1173, 1173, 0.0795624, 0.143078, 1.46476e-17, 0.193269, 0.0526445, 0.531289, 2.31641e-05, 0.262146, 0.00199702, 1.26109e-09, 0.00223484, 2.51035e-05, 0.38981, 8.83023e-05, 6.64264e-07, 2.61558e-10, 3.69539e-12, 3.47519e-10, 8.77346e-11, 7.29561e-08, 0.343697, 
0.01, 1.00013e+06, 1.00013e+06, 1.00012e+06, 1.00088e+06, 0.167019, 1173, 1173, 0.0586528, 0.17835, 8.96387e-18, 0.193932, 0.063651, 0.507172, 2.29997e-05, 0.265891, 0.00149696, 8.3321e-10, 0.00191203, 2.21456e-05, 0.404303, 7.07153e-05, 9.39782e-07, 3.12182e-10, 2.85324e-12, 2.38294e-10, 5.83846e-11, 6.87531e-08, 0.326303, 0.166013, 1173, 1173, 0.0598278, 0.175577, 9.64803e-18, 0.195188, 0.0622882, 0.507821, 2.299e-05, 0.265112, 0.00153715, 8.60335e-10, 0.00193798, 2.25804e-05, 0.403847, 7.2143e-05, 9.15308e-07, 3.09082e-10, 2.89656e-12, 2.44906e-10, 6.01735e-11, 6.96487e-08, 0.327471, 0.163807, 1173, 1173, 0.0631577, 0.169313, 1.08142e-17, 0.197588, 0.0596408, 0.511655, 2.30569e-05, 0.263672, 0.00163211, 9.29856e-10, 0.00199913, 2.34586e-05, 0.402167, 7.55016e-05, 8.58809e-07, 3.00781e-10, 3.01643e-12, 2.62145e-10, 6.48156e-11, 7.13207e-08, 0.33043, 0.149078, 1173, 1173, 0.0732822, 0.151291, 1.38836e-17, 0.200004, 0.0530857, 0.52295, 2.32252e-05, 0.260401, 0.00192579, 1.15051e-09, 0.00217886, 2.56647e-05, 0.39584, 8.56204e-05, 7.12701e-07, 2.75447e-10, 3.46009e-12, 3.18303e-10, 8.02335e-11, 7.49962e-08, 0.339543, 
