z, Pressure_0, Pressure_1, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, 
0.000526316, 1.00023e+06, 1.0002e+06, 0.14216, 1173, 1173, 0.174112, 0.0182976, 4.73191e-17, 0.0283707, 0.191169, 0.588041, 8.85673e-06, 0.257061, 0.00744864, 4.24541e-09, 0.00427307, 2.34361e-05, 0.26021, 0.000235802, 8.41953e-08, 6.43232e-11, 1.46557e-11, 1.22348e-09, 3.77982e-10, 4.88382e-08, 0.470748, 0.143073, 1173, 1173, 0.173307, 0.0185028, 4.58966e-17, 0.0282617, 0.193562, 0.586358, 8.84313e-06, 0.257838, 0.00731221, 4.21222e-09, 0.00424717, 2.32643e-05, 0.261096, 0.000232924, 8.61622e-08, 6.52393e-11, 1.44465e-11, 1.21156e-09, 3.72918e-10, 4.87817e-08, 0.46925, 
0.00157895, 1.00022e+06, 1.00019e+06, 0.150693, 1173, 1173, 0.132569, 0.0343449, 1.63966e-17, 0.042434, 0.28145, 0.509194, 8.3887e-06, 0.269566, 0.00378673, 2.79376e-09, 0.00319788, 2.23942e-05, 0.316426, 0.000145449, 2.31338e-07, 1.26607e-10, 8.01362e-12, 7.67373e-10, 2.10481e-10, 5.65609e-08, 0.406855, 0.147734, 1173, 1173, 0.13384, 0.0344507, 1.78002e-17, 0.0439313, 0.273044, 0.514726, 8.50796e-06, 0.266666, 0.00396292, 2.83278e-09, 0.00324665, 2.35064e-05, 0.31732, 0.000149925, 2.23679e-07, 1.25627e-10, 8.23109e-12, 7.79431e-10, 2.15865e-10, 5.84785e-08, 0.408631, 
0.00263158, 1.0002e+06, 1.00018e+06, 0.155535, 1173, 1173, 0.109116, 0.0462084, 1.02566e-17, 0.0485127, 0.327425, 0.468729, 8.16776e-06, 0.270973, 0.00279267, 2.14312e-09, 0.00274352, 2.22283e-05, 0.344168, 0.000115696, 3.66335e-07, 1.71227e-10, 5.88916e-12, 5.84653e-10, 1.52916e-10, 6.05353e-08, 0.379184, 0.151638, 1173, 1173, 0.110767, 0.0466067, 1.1565e-17, 0.0514895, 0.313999, 0.477129, 8.36548e-06, 0.266837, 0.00298079, 2.18763e-09, 0.0028082, 2.39282e-05, 0.345928, 0.000120929, 3.50052e-07, 1.70063e-10, 6.09562e-12, 5.97082e-10, 1.58294e-10, 6.38168e-08, 0.381301, 
0.00368421, 1.00019e+06, 1.00017e+06, 0.158522, 1173, 1173, 0.0932944, 0.0555567, 7.83421e-18, 0.0522873, 0.354891, 0.443963, 8.06246e-06, 0.270121, 0.00233675, 1.7545e-09, 0.00248812, 2.23649e-05, 0.361858, 0.000100785, 4.82474e-07, 2.05217e-10, 4.82381e-12, 4.79206e-10, 1.22312e-10, 6.34033e-08, 0.363073, 0.151049, 1173, 1173, 0.094832, 0.0564311, 8.99532e-18, 0.0564787, 0.338452, 0.453798, 8.31562e-06, 0.265221, 0.00251814, 1.79307e-09, 0.002557, 2.44785e-05, 0.364525, 0.000106062, 4.59725e-07, 2.04662e-10, 4.98707e-12, 4.8927e-10, 1.26806e-10, 6.77707e-08, 0.365048, 
0.00473684, 1.00018e+06, 1.00016e+06, 0.160399, 1173, 1173, 0.0815126, 0.0632927, 6.59071e-18, 0.05528, 0.372492, 0.427415, 8.02549e-06, 0.268531, 0.00207982, 1.48747e-09, 0.00232433, 2.26789e-05, 0.374642, 9.19009e-05, 5.81396e-07, 2.32414e-10, 4.17474e-12, 4.0797e-10, 1.02731e-10, 6.58647e-08, 0.352308, 0.152055, 1173, 1173, 0.0828296, 0.0646514, 7.66726e-18, 0.0604628, 0.353961, 0.438086, 8.32025e-06, 0.2631, 0.00225479, 1.51918e-09, 0.00239446, 2.51128e-05, 0.378021, 9.71212e-05, 5.53396e-07, 2.32596e-10, 4.29869e-12, 4.15681e-10, 1.06397e-10, 7.10978e-08, 0.354107, 
0.00578947, 1.00017e+06, 1.00014e+06, 0.161474, 1173, 1173, 0.0721953, 0.0699489, 5.8718e-18, 0.0580277, 0.383963, 0.415857, 8.03403e-06, 0.266601, 0.00191972, 1.28829e-09, 0.00221143, 2.3135e-05, 0.384642, 8.6122e-05, 6.65609e-07, 2.55007e-10, 3.73189e-12, 3.5534e-10, 8.88332e-11, 6.82137e-08, 0.344515, 0.149634, 1173, 1173, 0.0732477, 0.0717616, 6.89155e-18, 0.064054, 0.363908, 0.42702, 8.36164e-06, 0.26078, 0.00208979, 1.31326e-09, 0.00228156, 2.58355e-05, 0.388572, 9.12694e-05, 6.33274e-07, 2.55897e-10, 3.82158e-12, 3.60884e-10, 9.17653e-11, 7.41616e-08, 0.346158, 
0.00684211, 1.00016e+06, 1.00013e+06, 0.162002, 1173, 1173, 0.0645507, 0.0757934, 5.43487e-18, 0.0607181, 0.391244, 0.407685, 8.07658e-06, 0.264509, 0.00181536, 1.13214e-09, 0.00213083, 2.37055e-05, 0.39282, 8.22083e-05, 7.36748e-07, 2.74142e-10, 3.40651e-12, 3.14296e-10, 7.8323e-11, 7.05538e-08, 0.338618, 0.149385, 1173, 1173, 0.0653347, 0.0780184, 6.42072e-18, 0.0674895, 0.370039, 0.41911, 8.43016e-06, 0.25839, 0.00198201, 1.151e-09, 0.0022003, 2.66397e-05, 0.397179, 8.72876e-05, 7.00837e-07, 2.75655e-10, 3.46697e-12, 3.17933e-10, 8.06234e-11, 7.71097e-08, 0.340134, 
0.00789474, 1.00014e+06, 1.00012e+06, 0.162078, 1173, 1173, 0.0580855, 0.0810526, 5.16877e-18, 0.0634717, 0.395491, 0.401891, 8.14366e-06, 0.262302, 0.00174614, 1.00481e-09, 0.0020718, 2.43838e-05, 0.399788, 7.95011e-05, 7.96814e-07, 2.90715e-10, 3.15276e-12, 2.80894e-10, 6.99749e-11, 7.29642e-08, 0.333987, 0.146074, 1173, 1173, 0.0586194, 0.0836205, 6.13667e-18, 0.0709068, 0.373395, 0.413449, 8.51911e-06, 0.255964, 0.00191085, 1.01839e-09, 0.00214051, 2.75274e-05, 0.404446, 8.45339e-05, 7.57672e-07, 2.92672e-10, 3.18841e-12, 2.82917e-10, 7.17426e-11, 8.00385e-08, 0.335425, 
0.00894737, 1.00013e+06, 1.00011e+06, 0.161836, 1173, 1173, 0.0525033, 0.0858187, 5.01751e-18, 0.066318, 0.397439, 0.397913, 8.23284e-06, 0.260038, 0.00170136, 8.98189e-10, 0.00202858, 2.51555e-05, 0.405835, 7.76525e-05, 8.46795e-07, 3.05149e-10, 2.94554e-12, 2.52917e-10, 6.31146e-11, 7.54575e-08, 0.330294, 0.145178, 1173, 1173, 0.0528012, 0.0886864, 5.97924e-18, 0.0743762, 0.374637, 0.40949, 8.62567e-06, 0.253525, 0.00186521, 9.07053e-10, 0.00209631, 2.84979e-05, 0.410723, 8.26517e-05, 8.04915e-07, 3.0744e-10, 2.95972e-12, 2.53525e-10, 6.44184e-11, 8.29967e-08, 0.331679, 
0.01, 1.00012e+06, 1.0001e+06, 0.1613, 1173, 1173, 0.0476012, 0.090223, 4.9484e-18, 0.06932, 0.397559, 0.395289, 8.33703e-06, 0.257707, 0.00167426, 8.06901e-10, 0.00199683, 2.60249e-05, 0.411232, 7.64262e-05, 8.88235e-07, 3.1793e-10, 2.76988e-12, 2.28906e-10, 5.73155e-11, 7.80764e-08, 0.327286, 0.141391, 1173, 1173, 0.0476857, 0.0933154, 5.91623e-18, 0.0779518, 0.374204, 0.406834, 8.74577e-06, 0.251071, 0.00183839, 8.11714e-10, 0.00206374, 2.95539e-05, 0.416253, 8.14154e-05, 8.43694e-07, 3.20354e-10, 2.76543e-12, 2.28315e-10, 5.82216e-11, 8.60216e-08, 0.328661, 
