axial_index,radial_index,region,z,r,z_left,z_right,r_inner,r_outer,pressure,density,mean_molecular_weight,cp_mass,velocity_axial,gas_temperature,solid_temperature,viscosity,thermal_conductivity,porosity,tortuosity,specific_surface_area,particle_diameter,pore_radius,Y_CH4,Y_CO,Y_O2,Y_CO2,Y_H2,Y_H2O,Y_AR,X_CH4,X_CO,X_O2,X_CO2,X_H2,X_H2O,X_AR,theta_H(s),theta_O(s),theta_CH4(s),theta_H2O(s),theta_CO2(s),theta_CO(s),theta_OH(s),theta_C(s),theta_HCO(s),theta_CH(s),theta_CH3(s),theta_CH2(s),theta_COOH(s),theta_Ni(s),wdot_CH4,wdot_CO,wdot_O2,wdot_CO2,wdot_H2,wdot_H2O,wdot_AR,sdot_H(s),sdot_O(s),sdot_CH4(s),sdot_H2O(s),sdot_CO2(s),sdot_CO(s),sdot_OH(s),sdot_C(s),sdot_HCO(s),sdot_CH(s),sdot_CH3(s),sdot_CH2(s),sdot_COOH(s),sdot_Ni(s),sdot_gas_CH4,sdot_gas_CO,sdot_gas_O2,sdot_gas_CO2,sdot_gas_H2,sdot_gas_H2O,sdot_gas_AR,axial_flux_CH4,axial_flux_CO,axial_flux_O2,axial_flux_CO2,axial_flux_H2,axial_flux_H2O,axial_flux_AR,radial_flux_CH4,radial_flux_CO,radial_flux_O2,radial_flux_CO2,radial_flux_H2,radial_flux_H2O,radial_flux_AR
0,0,lumen,0.0005263157894736842,0.00075000000000000002,0,0.0010526315789473684,0,0.0015,1000225.8828120958,1.5918498878207712,15.521590440277903,3046.7555574770181,0.14215958082784158,1173,1173,3.9649734744943062e-05,0.19243551197482092,0.59999999999999998,2,500000,0.00035,0.0001,0.17996102065253863,0.033019563814144705,9.7548964977177851e-17,0.080440638280569118,0.024829753167786218,0.68250516576699671,2.2795756930464137e-05,0.17411215220239967,0.018297613210988026,4.7319053761134059e-17,0.028370711494138345,0.19116927549780285,0.5880413908636859,8.8567309850010227e-06,0.25706101592396235,0.007448642093428339,4.2454073723973537e-09,0.0042730667351039116,2.3436077092077131e-05,0.26021036759485816,0.00023580214066479358,8.4195325002318906e-08,6.4323198151639462e-11,1.4655738396613377e-11,1.2234787955466858e-09,3.7798167837971945e-10,4.883817785682227e-08,0.47074753047554008,0,0,0,0,0,0,0,1.070654733007899e-10,-5.9371120907084913e-12,-1.0553943591903085e-11,-2.5106128899128624e-10,1.6199281499540419e-14,2.4372274912230069e-10,5.5932278713955992e-12,-5.5135583598708848e-14,-1.8958323618281215e-16,-6.4418306306688806e-18,3.3106336510174145e-17,-4.7728019836976421e-17,3.7598565225544103e-14,-8.8826949922161428e-11,-1.7274016519477908e-06,7.2944862175572389e-07,6.9097104835689069e-22,9.9771986294311872e-07,6.179899897706953e-06,-2.7248807725754887e-06,0,0.037451229532753705,0.010773371171693797,1.599671441983047e-17,0.023099100190336546,0.0066064469861716654,0.14950530203812623,5.1857508342277728e-06,2.8948354181958089e-05,-1.1521413801196174e-05,9.4426569400739604e-20,7.6354740817247683e-06,-3.5046846752001391e-05,6.6268102021324314e-05,1.1090182267684613e-09
0,1,lumen,0.0005263157894736842,0.0022500000000000003,0,0.0010526315789473684,0.0015,0.0030000000000000001,1000199.3097178311,1.5899219079560705,15.503203235042038,3046.4316008016353,0.14307251748049404,1173,1173,3.9646466925864807e-05,0.19295249802124767,0.59999999999999998,2,500000,0.00035,0.0001,0.17934089383420776,0.033429371352632825,9.4728753352673346e-17,0.080226567179278896,0.025170302648658598,0.6813589753132786,2.2787755531628756e-05,0.17330663376337471,0.018502761088881072,4.5896590894076654e-17,0.028261691377448116,0.19356166540162259,0.5863584052346239,8.8431340494942186e-06,0.25783813351613188,0.0073122118994185577,4.212217493655187e-09,0.0042471725682301604,2.3264293777048349e-05,0.26109586245974153,0.00023292377694861892,8.6162230712350435e-08,6.523925657932346e-11,1.444649285093972e-11,1.2115606000255864e-09,3.7291829295076947e-10,4.8781662370973555e-08,0.4692502906654708,0,0,0,0,0,0,0,-6.3378643257376127e-11,2.5470892058308932e-12,1.3455324151036239e-11,2.5268352540035985e-10,-3.0363081840456552e-14,-3.9689153883987888e-10,-2.5238492108953843e-12,1.525845964335526e-13,8.1111026626106657e-16,5.1619307084443423e-18,-1.6113642941474877e-17,3.9116626084695922e-17,2.7076366822715344e-13,1.9371465145372369e-10,-1.6970291116698288e-06,7.0753211801888316e-07,5.6288107113404101e-22,9.8988003605367377e-07,6.0809599316258289e-06,-2.6871484870572004e-06,0,0.037762054198515804,0.010419278650530897,1.65373714991471e-17,0.0229318004965927,0.0060966041867948004,0.14999173121948647,5.1878261706245466e-06,0,0,0,0,0,0,0
1,0,lumen,0.0015789473684210526,0.00075000000000000002,0.0010526315789473684,0.0021052631578947368,0,0.0015,1000215.1934194787,1.5081207494346529,14.705333055837384,3043.2020518728064,0.15069329970017642,1173,1173,3.9985678245630839e-05,0.20837396257876706,0.59999999999999998,2,500000,0.00035,0.0001,0.14462792380048903,0.065418557080894627,3.5678160513381494e-17,0.12699315526938085,0.038584907040888884,0.62379554454681951,2.278958933563507e-05,0.1325688330524504,0.034344936447942322,1.6396625825642256e-17,0.042433971325136127,0.28145035166904564,0.50919351880701791,8.3886984076664215e-06,0.26956614358176056,0.0037867275885480477,2.7937594289966868e-09,0.0031978781025570721,2.2394224560897715e-05,0.31642642409605864,0.00014544947535431821,2.3133763975834369e-07,1.2660723391280729e-10,8.0136168267163316e-12,7.6737347703500336e-10,2.1048136990700459e-10,5.6560867142797102e-08,0.40685469112641937,0,0,0,0,0,0,0,-3.1572383609080033e-11,-3.6203891032902704e-13,2.9021675925015901e-12,4.104329447787697e-11,2.7663418430967646e-15,-3.0626878962623783e-11,3.1941177173646145e-13,-2.0471146479350555e-14,-3.2202181933635747e-17,-7.9974993342287974e-19,3.7930023708664875e-18,-5.5998815354593311e-18,-8.5382187874152447e-16,1.8315292658839811e-11,-7.9917066699540518e-07,4.5297384862474921e-07,-6.1020656578504215e-22,3.4622456169373461e-07,2.743743462943482e-06,-1.1454333496141444e-06,0,0.030770140991941031,0.01745942801145435,6.8551508379611549e-18,0.031270822866892804,0.0093283315321815528,0.13898136156804985,5.2001381093022591e-06,-4.7619270878876281e-05,-6.2130842046773186e-06,-9.8198816597617541e-20,-0.00010847808597003144,0.00013491590813409748,-0.00023956804211233332,-1.0250936218620636e-08
1,1,lumen,0.0015789473684210526,0.0022500000000000003,0.0010526315789473684,0.0021052631578947368,0.0015,0.0030000000000000001,1000188.6880890096,1.52528085491237,14.873051365225063,3020.1079309669326,0.1477344501404996,1173,1173,4.0044453961236994e-05,0.20620672162783668,0.59999999999999998,2,500000,0.00035,0.0001,0.14436811086680346,0.064880015838273949,3.8295386517916398e-17,0.12999157444452303,0.037010337166405005,0.62346196566716994,2.2852930472870811e-05,0.13383995065900858,0.034450689330212926,1.7800151594853363e-17,0.043931272325203226,0.27304397109138884,0.51472560863902317,8.5079551631770864e-06,0.26666571631179076,0.0039629200979112243,2.8327810690759038e-09,0.0032466460006805265,2.3506441906141588e-05,0.31732029730668126,0.00014992484330032587,2.2367862450811959e-07,1.2562729431957987e-10,8.2310855476314734e-12,7.7943125941260374e-10,2.1586506625688661e-10,5.847846230933291e-08,0.40863070287870751,0,0,0,0,0,0,0,-7.4631803856140121e-11,9.2773795636607072e-12,1.3111317016288658e-11,2.0553176008963556e-10,-4.1363288662277231e-14,-4.0588121091086199e-10,-8.4343104248057479e-12,4.009669115831449e-13,7.3677946977667605e-16,1.6263441860740021e-17,-7.9223014717751862e-17,1.1376883078222549e-16,7.8955858045938488e-14,2.6058738383496301e-10,-8.2599161167935808e-07,4.3994436998984199e-07,-5.8560373087239284e-22,3.8643957224689718e-07,2.8644170461528118e-06,-1.2126240840348856e-06,0,0.030765477379634577,0.016896100700993229,7.537196538263969e-18,0.031832006681383883,0.0085717181578177683,0.13838406382045618,5.1830304242135679e-06,0,0,0,0,0,0,0
2,0,lumen,0.002631578947368421,0.00075000000000000002,0.0021052631578947368,0.0031578947368421052,0,0.0015,1000203.9399436394,1.4595215277058708,14.231613520613644,3044.6840462062319,0.15553541755636993,1173,1173,4.0197453951724316e-05,0.2160732948624029,0.59999999999999998,2,500000,0.00035,0.0001,0.12300453725173713,0.090945313322537275,2.3060685525825235e-17,0.15001783558425616,0.046381855905979687,0.59333826145841817,2.2927967250807006e-05,0.10911631461999918,0.046208445223758152,1.0256602410274196e-17,0.048512710064625299,0.327424924416019,0.46872943791668148,8.1677589168153145e-06,0.27097304468990635,0.0027926685548924843,2.1431222551489266e-09,0.0027435173711915879,2.2228260120839119e-05,0.34416804010261931,0.0001156956357988709,3.6633521218262976e-07,1.7122713307196792e-10,5.8891580655206221e-12,5.8465335942840446e-10,1.5291648932102154e-10,6.0535348082308849e-08,0.37918437545710143,0,0,0,0,0,0,0,-2.2959809716768264e-12,-1.4257308694573409e-13,6.416569378651172e-13,8.4359170103480429e-12,9.4412325180037726e-16,-1.9386448718052007e-11,1.2337834153932738e-13,-2.5285979907141432e-14,-3.4508589421391135e-17,-3.8370313337163069e-19,1.4962169064902579e-18,-2.3676634691386014e-18,-1.634550690488113e-14,1.2664591017782715e-11,-5.2881876270484407e-07,3.5488379415693494e-07,-3.5115471152433341e-23,1.739537540384499e-07,1.7604092023559836e-06,-7.0278030173120953e-07,0,0.026393607261387644,0.022724433162898999,4.7319562659630119e-18,0.035608175291084398,0.010878017801481499,0.1328520513244161,5.2246611657982462e-06,-6.3155792054891741e-05,-2.3909440020848196e-05,-9.4120180351535043e-20,-0.00021953899735196916,0.00022671702050153027,-0.00038052905764022013,-1.747267628290058e-08
2,1,lumen,0.002631578947368421,0.0022500000000000003,0.0021052631578947368,0.0031578947368421052,0.0015,0.0030000000000000001,1000177.6631713321,1.4950115008225606,14.578054835896969,2990.0715858813987,0.15163773479435227,1173,1173,4.0311060914172165e-05,0.21246964400284601,0.59999999999999998,2,500000,0.00035,0.0001,0.12189794980926014,0.089549278404301338,2.5384476447116832e-17,0.15543911155220186,0.043422934761959395,0.58961827181179705,2.2924940209992292e-05,0.11076700097879516,0.046606722281074951,1.1564981862197769e-17,0.051489465605923899,0.313998970285427,0.47712947536603839,8.3654827406990489e-06,0.2668371849571422,0.0029807911151362339,2.1876252298123436e-09,0.0028081966946688344,2.3928235834902122e-05,0.34592779234959825,0.00012092947567371225,3.5005163417682833e-07,1.7006251798063598e-10,6.0956209921961915e-12,5.9708211934085565e-10,1.5829377361546002e-10,6.3816808014758371e-08,0.38130076018434761,0,0,0,0,0,0,0,1.2356248300994173e-11,-2.6445901529576152e-13,-2.1550314669650171e-12,-2.2700326443424001e-11,2.29547283958631e-15,6.255841276860824e-11,2.4837156041299966e-13,-4.759755957428613e-14,-3.6707413798677876e-17,-7.111930497928095e-19,2.9607195015000796e-18,-4.4997041788999549e-18,-4.9605278671164809e-14,-4.9948434938670284e-11,-5.5366187485042517e-07,3.4346970032017587e-07,-2.9885836399151473e-22,2.1013186607404347e-07,1.8711176624219839e-06,-7.6377317992371019e-07,0,0.026060967203408805,0.021949302197061669,5.2459011778113622e-18,0.036596504820071159,0.0098874631388932589,0.13096405950261111,5.1748560704813183e-06,0,0,0,0,0,0,0
3,0,lumen,0.0036842105263157894,0.00075000000000000002,0.0031578947368421052,0.0042105263157894736,0,0.0015,1000192.3438625893,1.4428078811502345,14.068803934298861,3013.7734075718699,0.15852169907875219,1173,1173,4.0370121787655069e-05,0.22026781335303686,0.59999999999999998,2,500000,0.00035,0.0001,0.10638586614349269,0.11060946267396567,1.7818085131739801e-17,0.16356122590012373,0.050854375988192667,0.5684908284363881,2.2894297493006505e-05,0.093294389587568527,0.055556688455486308,7.8342129571564767e-18,0.052287278021368483,0.35489099453323342,0.44396258693969887,8.0624626443709249e-06,0.2701205404103928,0.0023367460010627356,1.754499386656729e-09,0.0024881160505334293,2.2364901350258267e-05,0.36185775314708196,0.00010078521592692549,4.8247403352458526e-07,2.052172425576789e-10,4.8238057054041953e-12,4.7920623026505328e-10,1.2231179667602441e-10,6.3403258710784268e-08,0.36307314583030009,0,0,0,0,0,0,0,1.7386821732342518e-12,2.6501850641408081e-15,-1.8254631126196645e-14,1.1652148175915705e-12,8.3451041216209276e-16,-9.0542560428341634e-12,-6.7278747538498488e-15,-2.4169034829046865e-15,2.1651704358373234e-17,-1.5081468413266215e-19,7.3246253875384157e-19,-9.098067016639722e-19,3.4169038981579325e-16,6.1738388115625253e-12,-3.9755690585743797e-07,2.8666593795967366e-07,-6.6647848547203556e-23,1.1090004159198933e-07,1.3035699472918605e-06,-5.0845813048816524e-07,0,0.023120365790488605,0.027024907445347572,3.811836219364987e-18,0.038615344373063472,0.011858902225153846,0.12867802201071543,5.2565687546898513e-06,-5.9567683686920189e-05,-5.3115677414455011e-05,-8.4893149084099779e-20,-0.00031238327543892325,0.00028661947714085726,-0.0004609523809851746,-2.2734157394937212e-08
3,1,lumen,0.0036842105263157894,0.0022500000000000003,0.0031578947368421052,0.0042105263157894736,0.0015,0.0030000000000000001,1000166.4491059212,1.4827784758686684,14.458931106546945,2953.4283099230238,0.15104899159012691,1173,1173,4.0529562969180094e-05,0.21570627485609067,0.59999999999999998,2,500000,0.00035,0.0001,0.105221447713181,0.10931904151671903,1.9906874105320546e-17,0.17190567139854579,0.047190099267197839,0.56540660451721847,2.2976032546381746e-05,0.094831992982360891,0.056431149229703173,8.9953159958601505e-18,0.056478726160018894,0.33845158443230411,0.45379823157930038,8.3156163126386505e-06,0.26522146950162107,0.0025181370281272854,1.7930659131879637e-09,0.002557003184073568,2.4478525435269237e-05,0.36452462024847754,0.00010606211506374841,4.5972517188199953e-07,2.0466151346391472e-10,4.987067320308489e-12,4.892700475153788e-10,1.2680607180667257e-10,6.7770670001817864e-08,0.36504769928256847,0,0,0,0,0,0,0,-3.7605748567827477e-12,2.3602751881966587e-13,7.8675686612367427e-13,1.1459982672432576e-11,-1.2871648191747909e-15,-2.8287821737804641e-11,-2.0833370021048788e-13,3.8468685702175431e-14,2.1225256770245502e-17,5.7229335954669672e-19,-2.2079522636474754e-18,3.2272885351590082e-18,2.6810370704202459e-14,1.9710066440593852e-11,-4.1768678191340947e-07,2.745799283221384e-07,3.9256623669051488e-23,1.4313429064552681e-07,1.3961942618850864e-06,-5.6083176053212114e-07,0,0.02250629127762864,0.025971922285554557,4.2177287159929688e-18,0.039765726960612403,0.010638692476149106,0.12543095945529692,5.1642202082955968e-06,0,0,0,0,0,0,0
4,0,lumen,0.0047368421052631574,0.00075000000000000002,0.0042105263157894736,0.005263157894736842,0,0.0015,1000180.5198814897,1.4338878458763888,13.981990058492448,2985.1233508591376,0.1603985522314102,1173,1173,4.0528673975761399e-05,0.22256420566926832,0.59999999999999998,2,500000,0.00035,0.0001,0.093527973009729828,0.12679376796268935,1.5082938282115421e-17,0.17399641438228083,0.05370789445785483,0.55069989587215118,2.2930807039591699e-05,0.081512634096677208,0.063292724138990383,6.5907085790797231e-18,0.055279968554304414,0.37249168966879359,0.42741495805147067,8.0254897637241495e-06,0.2685307167667027,0.002079824920226651,1.4874673200523308e-09,0.0023243298766307961,2.2678903737354793e-05,0.37464151438203475,9.1900855805271265e-05,5.8139608202441025e-07,2.324140521884209e-10,4.1747448113620624e-12,4.0796969727487756e-10,1.027312598763186e-10,6.5864662990899263e-08,0.35230838479936044,0,0,0,0,0,0,0,-8.7327095616097905e-13,4.1319490541373654e-14,-1.7075032233309583e-13,-3.5242695391038556e-12,-1.4943558543367708e-15,2.0684434200168855e-11,-1.6235768764388945e-14,-6.2981304199682953e-15,-1.8737268662374005e-17,1.8640800739687751e-19,-5.4253618324495511e-19,5.7760980443993989e-19,-2.5694064676742733e-14,-1.6107615563282141e-11,-3.1857127657120704e-07,2.3639530855046331e-07,-3.752705703759754e-23,8.2155487828103273e-08,1.0378702916119531e-06,-4.0072341506158793e-07,0,0.020502557171997015,0.030626716157525703,3.3131416887222411e-18,0.041063252395406161,0.012497142814508823,0.12559654127957029,5.2940747911350234e-06,-5.1376976065342934e-05,-8.3034579057547807e-05,-7.9474163531533586e-20,-0.00038829150972459399,0.00032988311687975679,-0.00051160446616722996,-2.6723049991457878e-08
4,1,lumen,0.0047368421052631574,0.0022500000000000003,0.0042105263157894736,0.005263157894736842,0.0015,0.0030000000000000001,1000155.162215512,1.480322352556166,14.435143755582622,2914.2500599175896,0.15205499311453319,1173,1173,4.0724504532241979e-05,0.21730354781852107,0.59999999999999998,2,500000,0.00035,0.0001,0.092055542809828597,0.12544987632606969,1.6995807569313718e-17,0.18433524433137288,0.049433961575641928,0.5467300353705753,2.3026731850850971e-05,0.082829582619090319,0.06465144587243403,7.6672581256723166e-18,0.060462763324406699,0.35396147904381892,0.43808640888531925,8.3202549308707604e-06,0.26309960027967993,0.0022547931244034499,1.5191759026410018e-09,0.0023944646860831658,2.5112837870398221e-05,0.37802118430630555,9.7121206038587105e-05,5.5339566238025988e-07,2.3259587583079767e-10,4.2986894374374192e-12,4.1568094983995844e-10,1.063970119465259e-10,7.1097797429010446e-08,0.35410709678801022,0,0,0,0,0,0,0,1.106937967038287e-12,3.6892180040916909e-14,-1.1862053704313545e-13,-6.0071121955679347e-12,-2.3624765338459142e-16,1.4840535267693356e-11,-2.5493946111246613e-14,1.9929912754845791e-14,1.4640786132471e-17,4.9611772825001727e-20,2.4335240031003798e-19,-6.5681320112189898e-20,1.1970968022608502e-14,-9.8648593077525977e-12,-3.3494110137245042e-07,2.229196462422145e-07,-2.6879662365189447e-23,1.1200670154256145e-07,1.1168298180014302e-06,-4.4694191764227398e-07,0,0.019654117107940735,0.029219600209096169,3.6470693727088403e-18,0.042178440380281054,0.011057545799651741,0.12095383512299353,5.1517181960665231e-06,0,0,0,0,0,0,0
