z, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, 
0.000526316, 0.14216, 1173, 1173, 0.179961, 0.0330196, 9.7549e-17, 0.0804406, 0.0248298, 0.682505, 2.27958e-05, 0.257061, 0.00744864, 4.24541e-09, 0.00427307, 2.34361e-05, 0.26021, 0.000235802, 8.41953e-08, 6.43232e-11, 1.46557e-11, 1.22348e-09, 3.77982e-10, 4.88382e-08, 0.470748, 0.143073, 1173, 1173, 0.179341, 0.0334294, 9.47288e-17, 0.0802266, 0.0251703, 0.681359, 2.27878e-05, 0.257838, 0.00731221, 4.21222e-09, 0.00424717, 2.32643e-05, 0.261096, 0.000232924, 8.61622e-08, 6.52393e-11, 1.44465e-11, 1.21156e-09, 3.72918e-10, 4.87817e-08, 0.46925, 
0.00157895, 0.150693, 1173, 1173, 0.144628, 0.0654186, 3.56782e-17, 0.126993, 0.0385849, 0.623796, 2.27896e-05, 0.269566, 0.00378673, 2.79376e-09, 0.00319788, 2.23942e-05, 0.316426, 0.000145449, 2.31338e-07, 1.26607e-10, 8.01362e-12, 7.67373e-10, 2.10481e-10, 5.65609e-08, 0.406855, 0.147734, 1173, 1173, 0.144368, 0.06488, 3.82954e-17, 0.129992, 0.0370103, 0.623462, 2.28529e-05, 0.266666, 0.00396292, 2.83278e-09, 0.00324665, 2.35064e-05, 0.31732, 0.000149925, 2.23679e-07, 1.25627e-10, 8.23109e-12, 7.79431e-10, 2.15865e-10, 5.84785e-08, 0.408631, 
0.00263158, 0.155535, 1173, 1173, 0.123005, 0.0909453, 2.30607e-17, 0.150018, 0.0463819, 0.593338, 2.2928e-05, 0.270973, 0.00279267, 2.14312e-09, 0.00274352, 2.22283e-05, 0.344168, 0.000115696, 3.66335e-07, 1.71227e-10, 5.88916e-12, 5.84653e-10, 1.52916e-10, 6.05353e-08, 0.379184, 0.151638, 1173, 1173, 0.121898, 0.0895493, 2.53845e-17, 0.155439, 0.0434229, 0.589618, 2.29249e-05, 0.266837, 0.00298079, 2.18763e-09, 0.0028082, 2.39282e-05, 0.345928, 0.000120929, 3.50052e-07, 1.70063e-10, 6.09562e-12, 5.97082e-10, 1.58294e-10, 6.38168e-08, 0.381301, 
0.00368421, 0.158522, 1173, 1173, 0.106386, 0.110609, 1.78181e-17, 0.163561, 0.0508544, 0.568491, 2.28943e-05, 0.270121, 0.00233675, 1.7545e-09, 0.00248812, 2.23649e-05, 0.361858, 0.000100785, 4.82474e-07, 2.05217e-10, 4.82381e-12, 4.79206e-10, 1.22312e-10, 6.34033e-08, 0.363073, 0.151049, 1173, 1173, 0.105221, 0.109319, 1.99069e-17, 0.171906, 0.0471901, 0.565407, 2.2976e-05, 0.265221, 0.00251814, 1.79307e-09, 0.002557, 2.44785e-05, 0.364525, 0.000106062, 4.59725e-07, 2.04662e-10, 4.98707e-12, 4.8927e-10, 1.26806e-10, 6.77707e-08, 0.365048, 
0.00473684, 0.160399, 1173, 1173, 0.093528, 0.126794, 1.50829e-17, 0.173996, 0.0537079, 0.5507, 2.29308e-05, 0.268531, 0.00207982, 1.48747e-09, 0.00232433, 2.26789e-05, 0.374642, 9.19009e-05, 5.81396e-07, 2.32414e-10, 4.17474e-12, 4.0797e-10, 1.02731e-10, 6.58647e-08, 0.352308, 0.152055, 1173, 1173, 0.0920555, 0.12545, 1.69958e-17, 0.184335, 0.049434, 0.54673, 2.30267e-05, 0.2631, 0.00225479, 1.51918e-09, 0.00239446, 2.51128e-05, 0.378021, 9.71212e-05, 5.53396e-07, 2.32596e-10, 4.29869e-12, 4.15681e-10, 1.06397e-10, 7.10978e-08, 0.354107, 
0.00578947, 0.161474, 1173, 1173, 0.0830457, 0.140481, 1.34715e-17, 0.183105, 0.0555011, 0.537157, 2.3013e-05, 0.266601, 0.00191972, 1.28829e-09, 0.00221143, 2.3135e-05, 0.384642, 8.6122e-05, 6.65609e-07, 2.55007e-10, 3.73189e-12, 3.5534e-10, 8.88332e-11, 6.82137e-08, 0.344515, 0.149634, 1173, 1173, 0.0814423, 0.139308, 1.5283e-17, 0.19537, 0.0508455, 0.533155, 2.31515e-05, 0.26078, 0.00208979, 1.31326e-09, 0.00228156, 2.58355e-05, 0.388572, 9.12694e-05, 6.33274e-07, 2.55897e-10, 3.82158e-12, 3.60884e-10, 9.17653e-11, 7.41616e-08, 0.346158, 
0.00684211, 0.162002, 1173, 1173, 0.0740712, 0.151847, 1.24387e-17, 0.191127, 0.0564159, 0.525318, 2.30785e-05, 0.264509, 0.00181536, 1.13214e-09, 0.00213083, 2.37055e-05, 0.39282, 8.22083e-05, 7.36748e-07, 2.74142e-10, 3.40651e-12, 3.14296e-10, 7.8323e-11, 7.05538e-08, 0.338618, 0.149385, 1173, 1173, 0.0722756, 0.150686, 1.41667e-17, 0.204804, 0.0514398, 0.520624, 2.32228e-05, 0.25839, 0.00198201, 1.151e-09, 0.0022003, 2.66397e-05, 0.397179, 8.72876e-05, 7.00837e-07, 2.75655e-10, 3.46697e-12, 3.17933e-10, 8.06234e-11, 7.71097e-08, 0.340134, 
0.00789474, 0.162078, 1173, 1173, 0.066396, 0.161759, 1.17842e-17, 0.199026, 0.0568088, 0.515859, 2.31806e-05, 0.262302, 0.00174614, 1.00481e-09, 0.0020718, 2.43838e-05, 0.399788, 7.95011e-05, 7.96814e-07, 2.90715e-10, 3.15276e-12, 2.80894e-10, 6.99749e-11, 7.29642e-08, 0.333987, 0.146074, 1173, 1173, 0.06438, 0.160343, 1.34425e-17, 0.213626, 0.0515327, 0.509895, 2.32989e-05, 0.255964, 0.00191085, 1.01839e-09, 0.00214051, 2.75274e-05, 0.404446, 8.45339e-05, 7.57672e-07, 2.92672e-10, 3.18841e-12, 2.82917e-10, 7.17426e-11, 8.00385e-08, 0.335425, 
0.00894737, 0.161836, 1173, 1173, 0.0596027, 0.170094, 1.13607e-17, 0.206522, 0.0566963, 0.507242, 2.32734e-05, 0.260038, 0.00170136, 8.98189e-10, 0.00202858, 2.51555e-05, 0.405835, 7.76525e-05, 8.46795e-07, 3.05149e-10, 2.94554e-12, 2.52917e-10, 6.31146e-11, 7.54575e-08, 0.330294, 0.145178, 1173, 1173, 0.0574913, 0.168594, 1.2985e-17, 0.222151, 0.0512595, 0.500669, 2.33874e-05, 0.253525, 0.00186521, 9.07053e-10, 0.00209631, 2.84979e-05, 0.410723, 8.26517e-05, 8.04915e-07, 3.0744e-10, 2.95972e-12, 2.53525e-10, 6.44184e-11, 8.29967e-08, 0.331679, 
0.01, 0.1613, 1173, 1173, 0.0534612, 0.176916, 1.10847e-17, 0.213568, 0.0561084, 0.498522, 2.33165e-05, 0.257707, 0.00167426, 8.06901e-10, 0.00199683, 2.60249e-05, 0.411232, 7.64262e-05, 8.88235e-07, 3.1793e-10, 2.76988e-12, 2.28906e-10, 5.73155e-11, 7.80764e-08, 0.327286, 0.141391, 1173, 1173, 0.0513423, 0.175415, 1.27048e-17, 0.230234, 0.0506291, 0.491872, 2.34485e-05, 0.251071, 0.00183839, 8.11714e-10, 0.00206374, 2.95539e-05, 0.416253, 8.14154e-05, 8.43694e-07, 3.20354e-10, 2.76543e-12, 2.28315e-10, 5.82216e-11, 8.60216e-08, 0.328661, 
0.0110526, 0.160573, 1173, 1173, 0.0481174, 0.183023, 1.09699e-17, 0.22103, 0.0553858, 0.491906, 2.3428e-05, 0.255373, 0.00166121, 7.27842e-10, 0.00197466, 2.6972e-05, 0.416022, 7.57043e-05, 9.21268e-07, 3.29079e-10, 2.61653e-12, 2.08029e-10, 5.23293e-11, 8.07825e-08, 0.324865, 0.140149, 1173, 1173, 0.0459262, 0.1813, 1.25866e-17, 0.238428, 0.0498236, 0.484463, 2.3539e-05, 0.248625, 0.00182641, 7.28896e-10, 0.00204052, 3.06901e-05, 0.421157, 8.06919e-05, 8.74596e-07, 3.31587e-10, 2.59558e-12, 2.06349e-10, 5.28764e-11, 8.91151e-08, 0.326238, 
0.0121053, 0.15963, 1173, 1173, 0.0432214, 0.188193, 1.09458e-17, 0.22853, 0.0543783, 0.485299, 2.35104e-05, 0.25296, 0.00165889, 6.57455e-10, 0.00195908, 2.8025e-05, 0.420473, 7.53524e-05, 9.48001e-07, 3.39167e-10, 2.47792e-12, 1.89346e-10, 4.79057e-11, 8.36628e-08, 0.322845, 0.136113, 1173, 1173, 0.0410498, 0.186253, 1.25803e-17, 0.246644, 0.0488247, 0.477597, 2.36238e-05, 0.246158, 0.00182631, 6.55647e-10, 0.0020244, 3.19196e-05, 0.425603, 8.03703e-05, 8.988e-07, 3.41466e-10, 2.44292e-12, 1.86839e-10, 4.81636e-11, 9.23206e-08, 0.324275, 
0.0131579, 0.158583, 1173, 1173, 0.038926, 0.192564, 1.10308e-17, 0.236169, 0.0532861, 0.480089, 2.36389e-05, 0.250603, 0.00166661, 5.95931e-10, 0.00195053, 2.9136e-05, 0.424393, 7.53626e-05, 9.67025e-07, 3.47708e-10, 2.35246e-12, 1.72907e-10, 4.40341e-11, 8.65881e-08, 0.321282, 0.134707, 1173, 1173, 0.0366401, 0.190029, 1.26598e-17, 0.254477, 0.0476297, 0.470777, 2.36846e-05, 0.243717, 0.00183667, 5.90855e-10, 0.00201472, 3.32244e-05, 0.429577, 8.04051e-05, 9.16271e-07, 3.49914e-10, 2.30403e-12, 1.69491e-10, 4.39918e-11, 9.55937e-08, 0.322741, 
