axial_index,radial_index,region,z,r,z_left,z_right,r_inner,r_outer,pressure,density,mean_molecular_weight,cp_mass,velocity_axial,gas_temperature,solid_temperature,viscosity,thermal_conductivity,porosity,tortuosity,specific_surface_area,particle_diameter,pore_radius,Y_CH4,Y_CO,Y_O2,Y_CO2,Y_H2,Y_H2O,Y_AR,X_CH4,X_CO,X_O2,X_CO2,X_H2,X_H2O,X_AR,theta_H(s),theta_O(s),theta_CH4(s),theta_H2O(s),theta_CO2(s),theta_CO(s),theta_OH(s),theta_C(s),theta_HCO(s),theta_CH(s),theta_CH3(s),theta_CH2(s),theta_COOH(s),theta_Ni(s),wdot_CH4,wdot_CO,wdot_O2,wdot_CO2,wdot_H2,wdot_H2O,wdot_AR,sdot_H(s),sdot_O(s),sdot_CH4(s),sdot_H2O(s),sdot_CO2(s),sdot_CO(s),sdot_OH(s),sdot_C(s),sdot_HCO(s),sdot_CH(s),sdot_CH3(s),sdot_CH2(s),sdot_COOH(s),sdot_Ni(s),sdot_gas_CH4,sdot_gas_CO,sdot_gas_O2,sdot_gas_CO2,sdot_gas_H2,sdot_gas_H2O,sdot_gas_AR,axial_flux_CH4,axial_flux_CO,axial_flux_O2,axial_flux_CO2,axial_flux_H2,axial_flux_H2O,axial_flux_AR,radial_flux_CH4,radial_flux_CO,radial_flux_O2,radial_flux_CO2,radial_flux_H2,radial_flux_H2O,radial_flux_AR
0,0,lumen,0.0005263157894736842,0.00050000000000000001,0,0.0010526315789473684,0,0.001,1000226.6595434076,1.5991179703381224,15.592446948933407,3033.799648766857,0.14209555161168766,1173,1173,3.9654258374430598e-05,0.19226575017465466,0.59999999999999998,2,500000,0.00035,0.0001,0.17925511540101727,0.032875838322733102,9.7901079142871369e-17,0.080497454752393616,0.0246314803815827,0.67986454268949448,2.2713803236264608e-05,0.17422089866080517,0.018301134057441191,4.7706649877447108e-17,0.028520354762681836,0.19050845789857254,0.58844028944473026,8.8651757689603952e-06,0.25673367672620212,0.0074829589502881915,4.2500011039773875e-09,0.0042779210637189568,2.3548626304567191e-05,0.26028280398568204,0.00023647888540335901,8.3903684913416865e-08,6.4253702373412569e-11,1.4698106976109564e-11,1.2254290467123476e-09,3.7897457442228615e-10,4.8987817643672221e-08,0.47096247293754739,0,0,0,0,0,0,0,1.7601704605390456e-12,-7.1903681464371884e-14,-2.4582844135691891e-13,-2.6354972750732082e-12,6.0780373789537379e-16,3.6876311466232936e-12,6.6223657846637493e-14,-1.6273874609007422e-15,-3.7155868475303793e-18,-8.1354350617932532e-20,3.4958472483838566e-19,-5.7281885188021518e-19,8.6736806281816228e-17,-2.5602339668590231e-12,-1.733256013242146e-06,7.3241964428094608e-07,9.5030421051780146e-22,1.0008329280936906e-06,6.2006007887221992e-06,-2.7340865483838073e-06,0,0.037431897182609961,0.010796713003013615,1.6044164742924393e-17,0.023148660071582512,0.0066058234972586867,0.14947228342013666,5.1856240404236519e-06,5.0414160966657464e-06,3.5570902475012391e-07,3.3991148226753049e-20,1.5800569004186031e-05,-1.2662886691286289e-05,1.9495838404718994e-05,7.9956946048529635e-10
0,1,lumen,0.0005263157894736842,0.0015,0,0.0010526315789473684,0.001,0.002,1000224.8922435556,1.5943719556274996,15.54619766746246,3042.0337715700994,0.14215340966198589,1173,1173,3.9650003310998558e-05,0.19241643986172807,0.59999999999999998,2,500000,0.00035,0.0001,0.17969183131977839,0.032966026507170433,9.7488833769084944e-17,0.08031065720430694,0.024779613542933541,0.6815060310066996,2.2764560227180097e-05,0.17412732836287456,0.018296906975768606,4.7364856558053119e-17,0.028369773266876636,0.19108569953461041,0.58811143322775206,8.8586321177621007e-06,0.25702160622922443,0.0074532764597597728,4.2460523574004563e-09,0.0042738525480689373,2.3449673511727047e-05,0.26021328602775845,0.00023589716264432679,8.4150963293666212e-08,6.4310790504002413e-11,1.4661456959534123e-11,1.2237561131759179e-09,3.7811669342823565e-10,4.8855898477942944e-08,0.47077849296527274,0,0,0,0,0,0,0,-6.7562058169668298e-12,3.0703169526429964e-13,6.6266038867411235e-13,1.4431249771954894e-11,-8.7722797775802164e-16,-1.3632516339748268e-11,-2.8025497821699647e-13,-2.3104348295666099e-16,6.2167359159354779e-18,3.7413828885231517e-19,-1.9498111147559081e-18,2.8258791354865854e-18,-1.4341913881264406e-14,5.2837137797677488e-12,-1.7282088667011641e-06,7.2893547893582156e-07,9.9303354599470365e-22,9.9928637305936591e-07,6.1839145223258063e-06,-2.7275090200840069e-06,0,0.037440590226680559,0.010774301234607831,1.6053276348536679e-17,0.023188464758274855,0.0065843726344019665,0.14951910783381037,5.1887611361667264e-06,3.4258760667791731e-05,-2.0099063970076701e-05,6.3810227455638747e-20,-2.2283072922473964e-05,-2.2660183167195119e-05,5.0180384088134294e-05,-6.3604249920171826e-10
0,2,lumen,0.0005263157894736842,0.0025000000000000001,0,0.0010526315789473684,0.002,0.0030000000000000001,1000191.3752003592,1.5944072609692983,15.547062892678596,3039.649391765056,0.14306509552038144,1173,1173,3.9657190494552027e-05,0.19257587690297595,0.59999999999999998,2,500000,0.00035,0.0001,0.17902586783561464,0.033394293501409898,9.6163607001889987e-17,0.080907033718274013,0.024912065058865764,0.68048619979453118,2.2776661196400501e-05,0.17349164287581292,0.018535636605604706,4.6723596663704337e-17,0.028582034167512871,0.19211777889716614,0.58726404361950757,8.8638343956363141e-06,0.25708319673263125,0.0073845479700370082,4.2201166134156253e-09,0.00425716631931325,2.3535903391775297e-05,0.26138422468243844,0.00023434819473021885,8.5611541679766177e-08,6.5163298523396932e-11,1.4530360328213094e-11,1.2151712943422061e-09,3.7486719435720636e-10,4.9166754066385017e-08,0.46963283952931462,0,0,0,0,0,0,0,-1.9297656081996415e-12,7.3206114637858013e-15,-1.2361577137597898e-13,4.7687296388770398e-12,2.2768245622195593e-18,-2.9943164918042053e-13,-6.2195621860689003e-15,-1.159554223473247e-16,1.7645902795591061e-19,9.3004569160282512e-21,-5.4528573160108137e-20,8.4096144155816112e-20,-8.8532136836665216e-16,-2.416210176127912e-12,-1.7083788555714852e-06,7.0779428729128568e-07,9.9438554458054354e-22,1.0005849923403213e-06,6.1257228986116852e-06,-2.708968740550155e-06,0,0.03768141541319104,0.010417448062117762,1.6794081627854996e-17,0.023157417222623582,0.0060298044847730088,0.14979379804869408,5.1867717300887053e-06,0,0,0,0,0,0,0
1,0,lumen,0.0015789473684210526,0.00050000000000000001,0.0010526315789473684,0.0021052631578947368,0,0.001,1000215.9683922625,1.5054453822068776,14.679234801538048,3047.2462353135165,0.15079688285945922,1173,1173,3.9982206344624084e-05,0.20858451825955726,0.59999999999999998,2,500000,0.00035,0.0001,0.14465195967135258,0.065638293848250692,3.5415553231705015e-17,0.12701904369921871,0.038777945700307188,0.6240696782638222,2.2798860366015273e-05,0.13235554949313699,0.034399140570182875,1.6247053613181058e-17,0.042367296842183495,0.2823564335595744,0.50851320231778796,8.3772171344234747e-06,0.26979776225359847,0.003766715055382782,2.7871803164209877e-09,0.0031912185940728378,2.2311216040898343e-05,0.31652650111401975,0.00014491352343783972,2.3258346364286936e-07,1.2691610369081662e-10,7.9841683427993962e-12,7.6541398940805594e-10,2.097292942734327e-10,5.6441525429124223e-08,0.40655028532123438,0,0,0,0,0,0,0,1.4933483304479078e-13,6.1795649486998086e-15,4.1116615092103123e-15,1.5354840359284664e-13,3.9931166012641128e-16,-2.2456382456695345e-12,-7.9521694584325564e-15,-2.8861461831564128e-16,8.2853148638126685e-18,-1.0202393976440759e-20,1.7521960120557647e-20,-1.4846858019561155e-20,8.8977471589645857e-16,1.9396418348134691e-12,-7.9541673541835833e-07,4.5371178764019859e-07,-5.7087664636540691e-22,3.4170718829390336e-07,2.7279573108496269e-06,-1.1371240730140286e-06,0,0.030756135248646111,0.017488089026513068,6.7869620526375422e-18,0.031163029064785224,0.0093775347697545464,0.13891266450751011,5.1953486103174722e-06,-1.9230654699127459e-05,-1.3025597002981625e-06,-4.0511164258699785e-20,-4.7277403641500583e-05,5.8327652032125435e-05,-0.00010550127199818587,-4.6191706045941401e-09
1,1,lumen,0.0015789473684210526,0.0015,0.0010526315789473684,0.0021052631578947368,0.001,0.002,1000214.20994341,1.5132321557716,14.755187693002508,3034.764368082846,0.15045508608699817,1173,1173,3.9999585959267457e-05,0.20796139674565584,0.59999999999999998,2,500000,0.00035,0.0001,0.14427842876789621,0.065328387041939606,3.6067496801945681e-17,0.12765762442819131,0.038248864824270028,0.62283764032881161,2.2778162273568322e-05,0.13269683329313728,0.034413874062296748,1.66317483883204e-17,0.042800613712667517,0.27994502952697697,0.51013523648728309,8.4129176382520484e-06,0.26899338587783644,0.0038162439294789608,2.7980052963660807e-09,0.0032055668350436887,2.261395606799208e-05,0.31673526826596904,0.00014619064216367806,2.3026558241599974e-07,1.2659168810851355e-10,8.0442705795431081e-12,7.687518239331186e-10,2.1122138693481041e-10,5.6963079966694801e-08,0.40708043935216276,0,0,0,0,0,0,0,3.3565528331758127e-13,1.1102379835434016e-13,-7.3588238865109821e-14,-6.1428626488656517e-12,6.3523405285925705e-16,1.0330269517404289e-11,-1.1058263402571948e-13,-3.4564365258837881e-16,-1.4784036960760203e-17,1.6042563104643042e-19,-1.0463417022586461e-18,1.2407454830257055e-18,3.635498388220805e-15,-4.4538827916435472e-12,-8.0289809186936956e-07,4.5183905930668011e-07,-5.2077956843159615e-22,3.5104877199296074e-07,2.7597431591086519e-06,-1.1539407996918882e-06,0,0.03074915764307776,0.017457431674148982,6.9654513322927863e-18,0.031557169670845792,0.0092456557589498251,0.13904019481479218,5.209090394780199e-06,-7.2305192868421503e-05,-1.6268705039130726e-05,-1.6238370273164639e-19,-0.00019285146009345405,0.00021936542256018108,-0.0003821550461029715,-1.6794180809939398e-08
1,2,lumen,0.0015789473684210526,0.0025000000000000001,0.0010526315789473684,0.0021052631578947368,0.002,0.0030000000000000001,1000180.7836620574,1.5294223343617575,14.913552894683484,3014.5680745435338,0.14679725854230846,1173,1173,4.0066998466025326e-05,0.20557845595418922,0.59999999999999998,2,500000,0.00035,0.0001,0.14413245602422664,0.06498198159789384,3.9010251226431039e-17,0.13155072910189589,0.036608058371923428,0.62332806365571725,2.2885849951223808e-05,0.1339853522880973,0.034598793993628654,1.8181806522291096e-17,0.044579262350776035,0.27081161453439517,0.51601643342049253,8.5434126104472004e-06,0.26574573188518774,0.0040082170708424601,2.8376862307582284e-09,0.003256886421135489,2.3877042234627256e-05,0.31791658311821591,0.00015101680645668785,2.2239136652500129e-07,1.2573110176760613e-10,8.2748535365511625e-12,7.8112124540230906e-10,2.1689969456969223e-10,5.9157091672147137e-08,0.40889740213775594,0,0,0,0,0,0,0,6.2952930615780233e-13,1.5708303218531863e-14,-2.2204066071611242e-13,4.2190361139427839e-12,-6.5485811218124468e-17,-4.7957754304231437e-12,-1.5859613912704199e-14,4.8333732849403788e-16,-1.1238946926728029e-18,2.7836850660305618e-20,-1.5915823525163433e-19,2.0358372780759636e-19,1.240435575052924e-15,1.6769799255046637e-13,-8.3120993548020661e-07,4.37807644332322e-07,-4.6801131820152079e-22,3.9340730728686364e-07,2.8870374729345061e-06,-1.2246216843925239e-06,0,0.030602051134569087,0.016857883844780062,7.6566107887093787e-18,0.032107364379889362,0.0084419699462594828,0.13786068377338281,5.1726292616876988e-06,0,0,0,0,0,0,0
2,0,lumen,0.002631578947368421,0.00050000000000000001,0.0021052631578947368,0.0031578947368421052,0,0.001,1000204.7025141604,1.4614794987983104,14.250694589117328,3037.9468238676959,0.15584201520585661,1173,1173,4.018215653950889e-05,0.21658087471564536,0.59999999999999998,2,500000,0.00035,0.0001,0.12253920090335549,0.090785774892038679,2.2648995477521047e-17,0.14864411142335504,0.046592182376300459,0.59095139623064674,2.2818782919267382e-05,0.1088492630597899,0.046189230668432682,1.0087002853317456e-17,0.048132923592105227,0.32935067524063127,0.46746976767668091,8.1397623598960346e-06,0.27152106336398879,0.0027663564238696163,2.1359303365326582e-09,0.0027336522844116787,2.2009835825007495e-05,0.34400282763559326,0.00011494212606458027,3.6899035919363369e-07,1.7150221209761079e-10,5.8586176573811877e-12,5.8266310908717024e-10,1.5210750282381988e-10,6.0116214419957879e-08,0.37883871617561149,0,0,0,0,0,0,0,3.9462083700254484e-12,-4.4488786422761287e-14,-5.3426529858539233e-13,-3.976538309406314e-12,2.4763177619568921e-16,3.464614988131498e-12,3.5192902470537703e-14,3.4809394949819605e-15,1.38535759210923e-18,-1.3283369047092586e-19,7.5289937995545951e-19,-9.4590351942729093e-19,1.0089252750853732e-14,-2.9042052237865473e-12,-5.2509507975084802e-07,3.5556164793004719e-07,-1.5850357075023539e-22,1.6953048767367111e-07,1.7448153315224868e-06,-6.9462212270998691e-07,0,0.026381268274258293,0.022761584327194048,4.6534177851002431e-18,0.035347305180052642,0.010975118401214939,0.13275346258694012,5.2156961249585412e-06,-2.7965430175800753e-05,-1.5065488060968184e-05,-4.5959657923537705e-20,-0.00012231439988011624,0.00012053571161305309,-0.00020280214419547335,-9.6650692679960841e-09
2,1,lumen,0.002631578947368421,0.0015,0.0021052631578947368,0.0031578947368421052,0.001,0.002,1000202.9768202207,1.472336020091876,14.356579871954462,3021.672627733315,0.15506295498596992,1173,1173,4.0225380188634429e-05,0.21529309806418259,0.59999999999999998,2,500000,0.00035,0.0001,0.12217721588830717,0.090440787255223559,2.3425685359477021e-17,0.15091187738863826,0.045585793564229649,0.59032095830553299,2.285215973010967e-05,0.10933409950966189,0.046355601067906399,1.0510429493049757e-17,0.049230348823117637,0.32463099520401323,0.47044074315859474,8.2122367061822483e-06,0.27006274004834585,0.0028295870045822961,2.1493737672550016e-09,0.0027560657254491971,2.2593702769313011e-05,0.34467845019367715,0.00011672385858905323,3.6337653640918367e-07,1.7119520719917984e-10,5.923580701418898e-12,5.8640088315039538e-10,1.5380073507362292e-10,6.1267713615747075e-08,0.37953341175564287,0,0,0,0,0,0,0,2.2563708007810516e-13,-7.9863575035534101e-15,8.6024696086937252e-14,1.5605030281124878e-12,1.4777675610977425e-16,-5.7789816768766267e-12,5.5811556225392014e-15,-2.4913881721544406e-15,-3.3448413950568152e-18,-2.6064616197910756e-20,5.5384084708641106e-20,-1.1591581776677627e-19,-1.0504038101608211e-15,3.9126473880669883e-12,-5.3299073940124564e-07,3.5441047671613823e-07,-4.1787610112102884e-23,1.7858595905392579e-07,1.7775578033535355e-06,-7.1157817205236285e-07,0,0.026354746192763363,0.022734267619358064,4.8423382800547533e-18,0.036089038271000462,0.010741707895040224,0.13293859582873513,5.2391222021218917e-06,-8.9502935984302797e-05,-4.470005863166938e-05,-1.4320543326543619e-19,-0.00034284242869847792,0.00033816446950125245,-0.00056115530632090303,-2.6230197177060115e-08
2,2,lumen,0.002631578947368421,0.0025000000000000001,0.0021052631578947368,0.0031578947368421052,0.002,0.0030000000000000001,1000169.824749159,1.5031227189295884,14.657263265646865,2977.1496707351298,0.15058786552499323,1173,1173,4.0341529415136132e-05,0.21167139970612245,0.59999999999999998,2,500000,0.00035,0.0001,0.12138107281374351,0.089536302480145255,2.5850509803008244e-17,0.15714993019939461,0.042807805372932099,0.58832540791521637,2.2924275468409116e-05,0.11089661158746432,0.046853165201145283,1.1841294072563189e-17,0.05233901927129804,0.31123277439267766,0.47867001885553195,8.410691882720464e-06,0.26582060507350397,0.0030188345823546317,2.1915058977905319e-09,0.0028189634496723691,2.4361411954056692e-05,0.34666108512012211,0.00012193177297514095,3.4789122565210517e-07,1.7030910135975824e-10,6.1263021793114175e-12,5.9820884462623872e-10,1.590480072733978e-10,6.4685377348057396e-08,0.38153380288761657,0,0,0,0,0,0,0,-1.0040026097856242e-12,9.2223663023667001e-15,-1.8466104693765493e-14,1.3216220622679021e-12,8.4350929019372245e-17,3.0204590998478276e-12,-6.7906818778628044e-15,-1.8892222855559915e-15,-2.6119727106222101e-20,2.1639070673781346e-20,-1.412406760031232e-19,1.6119728716036583e-19,-3.9686782534282482e-15,-3.3159315409877284e-12,-5.5726922418807001e-07,3.4070878099368151e-07,-1.2386455139146896e-22,2.165574470123134e-07,1.8883656828089235e-06,-7.7382801166869797e-07,0,0.025821274998242293,0.021843050759401184,5.3194096212840774e-18,0.036834695090322028,0.0096967701906951649,0.1300510377590543,5.1505406742774482e-06,0,0,0,0,0,0,0
3,0,lumen,0.0036842105263157894,0.00050000000000000001,0.0031578947368421052,0.0042105263157894736,0,0.001,1000193.0837186381,1.4378052969472952,14.020013419426251,3020.6516915208649,0.15898607232518516,1173,1173,4.0345107411608708e-05,0.22100048392177818,0.59999999999999998,2,500000,0.00035,0.0001,0.10642073062383589,0.11080695976286094,1.7482791532976297e-17,0.16215348762967946,0.051415833452226944,0.56833993007215922,2.285792167745207e-05,0.093001313435848998,0.055462872646952342,7.6601341303006225e-18,0.051657480801083296,0.35756481893413039,0.44230549244559808,8.0217363869354753e-06,0.2708653766594234,0.0023083085988714344,1.7472420392467725e-09,0.0024763544136425591,2.2055550137168647e-05,0.36151701708866707,9.9933060978805996e-05,4.8661766094270387e-07,2.0543577018377409e-10,4.7962336605678835e-12,4.7731973596841045e-10,1.2153619260852338e-10,6.2761129565620723e-08,0.36271040269315874,0,0,0,0,0,0,0,-2.2096875555565925e-12,2.0375147011307981e-14,6.6453170899773746e-14,-3.8794125722279738e-12,1.3832251316570066e-15,1.5727696163654603e-11,-3.0610949752883983e-14,-2.4659094211010313e-15,4.2514085989480883e-18,-2.3978285747293024e-20,-1.9544778609767792e-19,2.0133079801173162e-19,6.6721357056227374e-15,-9.7003520293170604e-12,-3.9411748349246767e-07,2.8678531552306374e-07,-6.8852614300231083e-23,1.0731636822822275e-07,1.2896697364345178e-06,-5.0142990615231753e-07,0,0.023115286902854016,0.027058199523735536,3.7335925070799624e-18,0.038225694120821538,0.011990349400456958,0.1285684006368624,5.2444598823848362e-06,-2.9365311960857003e-05,-3.256787299238063e-05,-4.5866730349009463e-20,-0.00018651331595826738,0.00016775828568808764,-0.00027042944171941932,-1.3662784408059439e-08
