z, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, 
0.000526316, 0.142096, 1173, 1173, 0.179255, 0.0328758, 9.79011e-17, 0.0804975, 0.0246315, 0.679865, 2.27138e-05, 0.256734, 0.00748296, 4.25e-09, 0.00427792, 2.35486e-05, 0.260283, 0.000236479, 8.39037e-08, 6.42537e-11, 1.46981e-11, 1.22543e-09, 3.78975e-10, 4.89878e-08, 0.470962, 0.142153, 1173, 1173, 0.179692, 0.032966, 9.74888e-17, 0.0803107, 0.0247796, 0.681506, 2.27646e-05, 0.257022, 0.00745328, 4.24605e-09, 0.00427385, 2.34497e-05, 0.260213, 0.000235897, 8.4151e-08, 6.43108e-11, 1.46615e-11, 1.22376e-09, 3.78117e-10, 4.88559e-08, 0.470778, 0.143065, 1173, 1173, 0.179026, 0.0333943, 9.61636e-17, 0.080907, 0.0249121, 0.680486, 2.27767e-05, 0.257083, 0.00738455, 4.22012e-09, 0.00425717, 2.35359e-05, 0.261384, 0.000234348, 8.56115e-08, 6.51633e-11, 1.45304e-11, 1.21517e-09, 3.74867e-10, 4.91668e-08, 0.469633, 
0.00157895, 0.150797, 1173, 1173, 0.144652, 0.0656383, 3.54156e-17, 0.127019, 0.0387779, 0.62407, 2.27989e-05, 0.269798, 0.00376672, 2.78718e-09, 0.00319122, 2.23112e-05, 0.316527, 0.000144914, 2.32583e-07, 1.26916e-10, 7.98417e-12, 7.65414e-10, 2.09729e-10, 5.64415e-08, 0.40655, 0.150455, 1173, 1173, 0.144278, 0.0653284, 3.60675e-17, 0.127658, 0.0382489, 0.622838, 2.27782e-05, 0.268993, 0.00381624, 2.79801e-09, 0.00320557, 2.2614e-05, 0.316735, 0.000146191, 2.30266e-07, 1.26592e-10, 8.04427e-12, 7.68752e-10, 2.11221e-10, 5.69631e-08, 0.40708, 0.146797, 1173, 1173, 0.144132, 0.064982, 3.90103e-17, 0.131551, 0.0366081, 0.623328, 2.28858e-05, 0.265746, 0.00400822, 2.83769e-09, 0.00325689, 2.3877e-05, 0.317917, 0.000151017, 2.22391e-07, 1.25731e-10, 8.27485e-12, 7.81121e-10, 2.169e-10, 5.91571e-08, 0.408897, 
0.00263158, 0.155842, 1173, 1173, 0.122539, 0.0907858, 2.2649e-17, 0.148644, 0.0465922, 0.590951, 2.28188e-05, 0.271521, 0.00276636, 2.13593e-09, 0.00273365, 2.20098e-05, 0.344003, 0.000114942, 3.6899e-07, 1.71502e-10, 5.85862e-12, 5.82663e-10, 1.52108e-10, 6.01162e-08, 0.378839, 0.155063, 1173, 1173, 0.122177, 0.0904408, 2.34257e-17, 0.150912, 0.0455858, 0.590321, 2.28522e-05, 0.270063, 0.00282959, 2.14937e-09, 0.00275607, 2.25937e-05, 0.344678, 0.000116724, 3.63377e-07, 1.71195e-10, 5.92358e-12, 5.86401e-10, 1.53801e-10, 6.12677e-08, 0.379533, 0.150588, 1173, 1173, 0.121381, 0.0895363, 2.58505e-17, 0.15715, 0.0428078, 0.588325, 2.29243e-05, 0.265821, 0.00301883, 2.19151e-09, 0.00281896, 2.43614e-05, 0.346661, 0.000121932, 3.47891e-07, 1.70309e-10, 6.1263e-12, 5.98209e-10, 1.59048e-10, 6.46854e-08, 0.381534, 
0.00368421, 0.158986, 1173, 1173, 0.106421, 0.110807, 1.74828e-17, 0.162153, 0.0514158, 0.56834, 2.28579e-05, 0.270865, 0.00230831, 1.74724e-09, 0.00247635, 2.20556e-05, 0.361517, 9.99331e-05, 4.86618e-07, 2.05436e-10, 4.79623e-12, 4.7732e-10, 1.21536e-10, 6.27611e-08, 0.36271, 0.157887, 1173, 1173, 0.105817, 0.110288, 1.82271e-17, 0.165498, 0.0499468, 0.566957, 2.28898e-05, 0.268985, 0.00237514, 1.76018e-09, 0.00250282, 2.28391e-05, 0.362578, 0.00010191, 4.77854e-07, 2.05315e-10, 4.8523e-12, 4.80646e-10, 1.23094e-10, 6.44118e-08, 0.363433, 0.148966, 1173, 1173, 0.104856, 0.109517, 2.03293e-17, 0.174204, 0.0465579, 0.564987, 2.3018e-05, 0.264145, 0.00255172, 1.79552e-09, 0.00256753, 2.49578e-05, 0.365371, 0.000106986, 4.56937e-07, 2.05089e-10, 5.00781e-12, 4.89876e-10, 1.27341e-10, 6.8783e-08, 0.365232, 
0.00473684, 0.160963, 1173, 1173, 0.0937552, 0.127246, 1.47866e-17, 0.172478, 0.0544943, 0.55159, 2.293e-05, 0.269391, 0.00205101, 1.48053e-09, 0.00231161, 2.23088e-05, 0.374188, 9.10119e-05, 5.86874e-07, 2.32576e-10, 4.15152e-12, 4.06261e-10, 1.02026e-10, 6.50644e-08, 0.351944, 0.159599, 1173, 1173, 0.0931366, 0.126879, 1.55248e-17, 0.177087, 0.0527747, 0.55063, 2.30042e-05, 0.267207, 0.00211822, 1.49128e-09, 0.00233978, 2.32489e-05, 0.375595, 9.3053e-05, 5.75628e-07, 2.32785e-10, 4.19459e-12, 4.08793e-10, 1.03327e-10, 6.71276e-08, 0.352623, 0.149797, 1173, 1173, 0.091575, 0.125612, 1.73503e-17, 0.18675, 0.0487036, 0.545763, 2.30533e-05, 0.261982, 0.00228547, 1.52029e-09, 0.00240454, 2.56295e-05, 0.378956, 9.79851e-05, 5.50165e-07, 2.33202e-10, 4.31187e-12, 4.15847e-10, 1.06762e-10, 7.22238e-08, 0.354249, 
0.00578947, 0.162117, 1173, 1173, 0.0832726, 0.140883, 1.31863e-17, 0.181169, 0.056359, 0.537924, 2.29982e-05, 0.267549, 0.00189136, 1.28246e-09, 0.00219856, 2.27152e-05, 0.384072, 8.52343e-05, 6.71963e-07, 2.55037e-10, 3.71436e-12, 3.53995e-10, 8.82462e-11, 6.72792e-08, 0.34418, 0.160575, 1173, 1173, 0.0823896, 0.140206, 1.38646e-17, 0.186195, 0.0542942, 0.535574, 2.30329e-05, 0.265161, 0.00195837, 1.29127e-09, 0.00222762, 2.37758e-05, 0.385716, 8.73025e-05, 6.58498e-07, 2.5551e-10, 3.74591e-12, 3.55853e-10, 8.93219e-11, 6.96616e-08, 0.344826, 0.146321, 1173, 1173, 0.0808415, 0.139246, 1.55793e-17, 0.197614, 0.0499947, 0.531261, 2.31406e-05, 0.259652, 0.00211859, 1.31383e-09, 0.00229134, 2.63756e-05, 0.389532, 9.20926e-05, 6.29532e-07, 2.56584e-10, 3.83015e-12, 3.60851e-10, 9.20359e-11, 7.53573e-08, 0.346286, 
0.00684211, 0.162699, 1173, 1173, 0.0742756, 0.152166, 1.2155e-17, 0.188802, 0.0573079, 0.525866, 2.30487e-05, 0.265521, 0.00178731, 1.12721e-09, 0.00211792, 2.32438e-05, 0.392166, 8.13232e-05, 7.43867e-07, 2.74066e-10, 3.39366e-12, 3.13244e-10, 7.78321e-11, 6.95089e-08, 0.338303, 0.161008, 1173, 1173, 0.0734435, 0.151777, 1.28325e-17, 0.194872, 0.0551738, 0.524172, 2.31295e-05, 0.262966, 0.00185369, 1.13354e-09, 0.00214701, 2.44119e-05, 0.394032, 8.33864e-05, 7.28841e-07, 2.74862e-10, 3.41363e-12, 3.14319e-10, 7.86605e-11, 7.21739e-08, 0.338893, 0.145894, 1173, 1173, 0.0717771, 0.150848, 1.4454e-17, 0.207469, 0.0506396, 0.519392, 2.32443e-05, 0.257252, 0.00200917, 1.15057e-09, 0.00220953, 2.7203e-05, 0.398177, 8.80676e-05, 6.96864e-07, 2.76459e-10, 3.47073e-12, 3.17603e-10, 8.07839e-11, 7.83705e-08, 0.340237, 
0.00789474, 0.162819, 1173, 1173, 0.0666299, 0.162097, 1.15075e-17, 0.196477, 0.0577546, 0.516533, 2.31499e-05, 0.263361, 0.00171824, 1.00076e-09, 0.0020589, 2.3885e-05, 0.399072, 7.86176e-05, 8.04613e-07, 2.9056e-10, 3.14417e-12, 2.80118e-10, 6.95729e-11, 7.1825e-08, 0.333686, 0.16103, 1173, 1173, 0.0655298, 0.16114, 1.213e-17, 0.202422, 0.0553114, 0.512857, 2.31554e-05, 0.260695, 0.0017844, 1.0053e-09, 0.002088, 2.51431e-05, 0.401073, 8.06809e-05, 7.88031e-07, 2.91545e-10, 3.15488e-12, 2.80623e-10, 7.02126e-11, 7.47161e-08, 0.334253, 0.141536, 1173, 1173, 0.0637937, 0.160236, 1.36904e-17, 0.216013, 0.0506428, 0.50776, 2.328e-05, 0.254832, 0.00193682, 1.0175e-09, 0.00214927, 2.81068e-05, 0.405449, 8.52803e-05, 7.53435e-07, 2.93523e-10, 3.18909e-12, 2.82444e-10, 7.18377e-11, 8.13398e-08, 0.335518, 
0.00894737, 0.162609, 1173, 1173, 0.0598506, 0.170405, 1.10848e-17, 0.203712, 0.057672, 0.507936, 2.32387e-05, 0.261143, 0.00167341, 8.95e-10, 0.00201576, 2.46186e-05, 0.40506, 7.67682e-05, 8.55146e-07, 3.04916e-10, 2.94075e-12, 2.52402e-10, 6.27935e-11, 7.42257e-08, 0.330005, 0.160741, 1173, 1173, 0.0588399, 0.169743, 1.17206e-17, 0.210539, 0.0552514, 0.504993, 2.32885e-05, 0.258383, 0.00173944, 8.9765e-10, 0.00204454, 2.59628e-05, 0.407181, 7.88249e-05, 8.37403e-07, 3.06087e-10, 2.94284e-12, 2.52331e-10, 6.32492e-11, 7.73244e-08, 0.330546, 0.140479, 1173, 1173, 0.0570023, 0.168687, 1.32399e-17, 0.224875, 0.0504402, 0.499141, 2.33971e-05, 0.252405, 0.00189021, 9.05656e-10, 0.0021046, 2.9091e-05, 0.411722, 8.33681e-05, 8.00497e-07, 3.08323e-10, 2.95758e-12, 2.52903e-10, 6.44511e-11, 8.43286e-08, 0.331765, 
0.01, 0.162101, 1173, 1173, 0.0537501, 0.17735, 1.08138e-17, 0.210683, 0.0571388, 0.499528, 2.32915e-05, 0.258843, 0.00164591, 8.0439e-10, 0.00198391, 2.54526e-05, 0.410432, 7.5531e-05, 8.97275e-07, 3.17688e-10, 2.76842e-12, 2.28599e-10, 5.70606e-11, 7.67647e-08, 0.326993, 0.160183, 1173, 1173, 0.0528024, 0.176885, 1.14613e-17, 0.218213, 0.0547481, 0.497091, 2.3375e-05, 0.25602, 0.0017122, 8.05497e-10, 0.00201244, 2.68753e-05, 0.412621, 7.75889e-05, 8.7836e-07, 3.1894e-10, 2.76313e-12, 2.28062e-10, 5.73628e-11, 8.00402e-08, 0.32753, 0.135673, 1173, 1173, 0.050906, 0.175631, 1.29563e-17, 0.233172, 0.0498592, 0.490644, 2.34722e-05, 0.249965, 0.00186255, 8.09865e-10, 0.0020715, 3.01599e-05, 0.417248, 8.21026e-05, 8.39204e-07, 3.21262e-10, 2.76096e-12, 2.27566e-10, 5.82008e-11, 8.73784e-08, 0.32874, 
