z, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Annular_Density, Annular_Velocity, Annular_Temperature, 
0.000526316, 0.142095, 1173, 1173, 0.179669, 0.0329588, 9.81178e-17, 0.0807003, 0.0246915, 0.681471, 2.27671e-05, 0.256734, 0.0074822, 4.24959e-09, 0.00427775, 2.35497e-05, 0.260296, 0.000236462, 8.39198e-08, 6.42634e-11, 1.46962e-11, 1.2253e-09, 3.78928e-10, 4.89916e-08, 0.470949, 0.142166, 1173, 1173, 0.179969, 0.0330168, 9.76346e-17, 0.0804319, 0.0248189, 0.682575, 2.27997e-05, 0.257024, 0.00745315, 4.24596e-09, 0.00427387, 2.34487e-05, 0.260211, 0.000235896, 8.41503e-08, 6.43099e-11, 1.4661e-11, 1.22373e-09, 3.78106e-10, 4.88544e-08, 0.470779, 0.143059, 1173, 1173, 0.179002, 0.0333883, 9.61496e-17, 0.0808906, 0.0249087, 0.680394, 2.27734e-05, 0.257085, 0.0073846, 4.22016e-09, 0.0042572, 2.35351e-05, 0.26138, 0.00023435, 8.56083e-08, 6.5161e-11, 1.45305e-11, 1.21519e-09, 3.74871e-10, 4.91651e-08, 0.469635, 0.0206708, 0.01, 1173, 
0.00157895, 0.150792, 1173, 1173, 0.144731, 0.0656642, 3.54376e-17, 0.127081, 0.0387939, 0.624392, 2.28104e-05, 0.269795, 0.0037672, 2.78742e-09, 0.0031914, 2.23121e-05, 0.316519, 0.000144927, 2.32544e-07, 1.26903e-10, 7.98508e-12, 7.65483e-10, 2.09753e-10, 5.64416e-08, 0.406561, 0.150444, 1173, 1173, 0.144448, 0.0654083, 3.61146e-17, 0.12782, 0.0382927, 0.623576, 2.28053e-05, 0.268989, 0.00381639, 2.798e-09, 0.00320558, 2.26158e-05, 0.31674, 0.000146194, 2.30266e-07, 1.26595e-10, 8.04436e-12, 7.6875e-10, 2.11223e-10, 5.69668e-08, 0.40708, 0.146804, 1173, 1173, 0.144151, 0.0649907, 3.89906e-17, 0.131571, 0.0366126, 0.623416, 2.28889e-05, 0.265745, 0.00400829, 2.83768e-09, 0.00325691, 2.38774e-05, 0.317917, 0.000151019, 2.22388e-07, 1.2573e-10, 8.27488e-12, 7.81121e-10, 2.169e-10, 5.91577e-08, 0.408898, 0.0206708, 0.0180872, 1173, 
0.00263158, 0.155847, 1173, 1173, 0.122658, 0.0908568, 2.26745e-17, 0.148761, 0.0466343, 0.591493, 2.2839e-05, 0.271526, 0.00276644, 2.1361e-09, 0.00273374, 2.20078e-05, 0.34399, 0.000114946, 3.68948e-07, 1.71484e-10, 5.85904e-12, 5.82711e-10, 1.5212e-10, 6.01107e-08, 0.378846, 0.155075, 1173, 1173, 0.122335, 0.0905382, 2.33598e-17, 0.151074, 0.0456417, 0.59105, 2.28797e-05, 0.270069, 0.00282968, 2.14957e-09, 0.00275616, 2.25911e-05, 0.344663, 0.000116728, 3.63329e-07, 1.71174e-10, 5.92405e-12, 5.86454e-10, 1.53814e-10, 6.12608e-08, 0.379542, 0.150583, 1173, 1173, 0.121436, 0.0895761, 2.58439e-17, 0.157219, 0.0428275, 0.588596, 2.29346e-05, 0.265821, 0.00301883, 2.19149e-09, 0.00281897, 2.43611e-05, 0.34666, 0.000121932, 3.47888e-07, 1.70308e-10, 6.12626e-12, 5.98205e-10, 1.59047e-10, 6.46847e-08, 0.381534, 0.0206708, 0.0280881, 1173, 
0.00368421, 0.158981, 1173, 1173, 0.106496, 0.110896, 1.74919e-17, 0.162281, 0.0514539, 0.568752, 2.28753e-05, 0.270863, 0.00230825, 1.74718e-09, 0.0024763, 2.20564e-05, 0.361524, 9.99306e-05, 4.8665e-07, 2.05447e-10, 4.79609e-12, 4.77302e-10, 1.21532e-10, 6.27636e-08, 0.362706, 0.157874, 1173, 1173, 0.105932, 0.110447, 1.82511e-17, 0.165732, 0.0500084, 0.567634, 2.29185e-05, 0.268976, 0.00237495, 1.75986e-09, 0.00250265, 2.28424e-05, 0.362601, 0.000101902, 4.77962e-07, 2.05354e-10, 4.85158e-12, 4.80561e-10, 1.23072e-10, 6.44215e-08, 0.363419, 0.148973, 1173, 1173, 0.10489, 0.109554, 2.03486e-17, 0.174266, 0.046573, 0.565179, 2.30256e-05, 0.264144, 0.00255176, 1.7955e-09, 0.00256754, 2.49584e-05, 0.365372, 0.000106988, 4.56932e-07, 2.05089e-10, 5.00777e-12, 4.8987e-10, 1.2734e-10, 6.87842e-08, 0.365232, 0.0206708, 0.0392314, 1173, 
0.00473684, 0.160967, 1173, 1173, 0.0938643, 0.127382, 1.48037e-17, 0.172662, 0.0545549, 0.552208, 2.29553e-05, 0.269394, 0.00205104, 1.48062e-09, 0.00231165, 2.2308e-05, 0.374182, 9.10133e-05, 5.86846e-07, 2.32566e-10, 4.15171e-12, 4.06284e-10, 1.02032e-10, 6.50622e-08, 0.351947, 0.159606, 1173, 1173, 0.0930322, 0.126681, 1.54859e-17, 0.176819, 0.0527037, 0.549916, 2.29729e-05, 0.267216, 0.00211842, 1.49165e-09, 0.00233996, 2.32457e-05, 0.37557, 9.30608e-05, 5.75491e-07, 2.32739e-10, 4.19541e-12, 4.08893e-10, 1.03353e-10, 6.71176e-08, 0.352638, 0.149795, 1173, 1173, 0.0917122, 0.12579, 1.73764e-17, 0.187014, 0.0487755, 0.54657, 2.30869e-05, 0.261984, 0.00228549, 1.52035e-09, 0.00240457, 2.56284e-05, 0.37895, 9.79863e-05, 5.5014e-07, 2.33192e-10, 4.31198e-12, 4.15862e-10, 1.06765e-10, 7.22208e-08, 0.354251, 0.0206708, 0.0510995, 1173, 
0.00578947, 0.162111, 1173, 1173, 0.0832831, 0.140902, 1.31894e-17, 0.181192, 0.0563658, 0.537984, 2.30014e-05, 0.267549, 0.00189134, 1.28246e-09, 0.00219853, 2.27152e-05, 0.384074, 8.52333e-05, 6.71979e-07, 2.5504e-10, 3.71438e-12, 3.53997e-10, 8.82466e-11, 6.72795e-08, 0.344179, 0.160567, 1173, 1173, 0.0825658, 0.140546, 1.3898e-17, 0.186641, 0.0544186, 0.536782, 2.30862e-05, 0.265155, 0.00195825, 1.29105e-09, 0.0022275, 2.37778e-05, 0.385731, 8.72975e-05, 6.58599e-07, 2.55542e-10, 3.74546e-12, 3.55795e-10, 8.93072e-11, 6.96678e-08, 0.344817, 0.146325, 1173, 1173, 0.0808707, 0.139333, 1.55928e-17, 0.197738, 0.05002, 0.531524, 2.31527e-05, 0.259647, 0.00211852, 1.31361e-09, 0.00229126, 2.63781e-05, 0.389545, 9.20898e-05, 6.29601e-07, 2.5661e-10, 3.82967e-12, 3.60793e-10, 9.20213e-11, 7.53642e-08, 0.346279, 0.0206708, 0.0634321, 1173, 
0.00684211, 0.162703, 1173, 1173, 0.0743712, 0.152348, 1.21723e-17, 0.189027, 0.0573789, 0.526515, 2.3077e-05, 0.265523, 0.00178731, 1.12728e-09, 0.00211793, 2.3243e-05, 0.392162, 8.13234e-05, 7.4385e-07, 2.74059e-10, 3.3938e-12, 3.13261e-10, 7.78363e-11, 6.95067e-08, 0.338305, 0.161011, 1173, 1173, 0.0735093, 0.151877, 1.28464e-17, 0.195002, 0.0552156, 0.52458, 2.31466e-05, 0.26297, 0.00185376, 1.13372e-09, 0.00214709, 2.44103e-05, 0.39402, 8.33894e-05, 7.28764e-07, 2.74838e-10, 3.41398e-12, 3.14365e-10, 7.86719e-11, 7.21689e-08, 0.3389, 0.145892, 1173, 1173, 0.0716651, 0.150573, 1.44335e-17, 0.207094, 0.0505529, 0.518514, 2.32041e-05, 0.257257, 0.00200925, 1.15076e-09, 0.00220961, 2.7201e-05, 0.398165, 8.8071e-05, 6.96786e-07, 2.76433e-10, 3.47114e-12, 3.17655e-10, 8.07968e-11, 7.83646e-08, 0.340244, 0.0206708, 0.0760518, 1173, 
0.00789474, 0.162812, 1173, 1173, 0.0666854, 0.162243, 1.15156e-17, 0.196649, 0.0578049, 0.516969, 2.31702e-05, 0.26336, 0.00171818, 1.00073e-09, 0.00205885, 2.38851e-05, 0.399076, 7.86152e-05, 8.04659e-07, 2.90571e-10, 3.14413e-12, 2.8011e-10, 6.95705e-11, 7.18256e-08, 0.333683, 0.161025, 1173, 1173, 0.0657339, 0.161668, 1.21694e-17, 0.203081, 0.0554891, 0.514494, 2.32302e-05, 0.260692, 0.00178433, 1.0052e-09, 0.00208794, 2.5144e-05, 0.40108, 8.06783e-05, 7.88092e-07, 2.91562e-10, 3.15468e-12, 2.80595e-10, 7.02057e-11, 7.47188e-08, 0.334248, 0.14154, 1173, 1173, 0.0638335, 0.160364, 1.37028e-17, 0.216185, 0.0506798, 0.508132, 2.32973e-05, 0.254829, 0.0019368, 1.01738e-09, 0.00214924, 2.81082e-05, 0.405455, 8.52795e-05, 7.5347e-07, 2.93537e-10, 3.18882e-12, 2.82411e-10, 7.18297e-11, 8.13437e-08, 0.335515, 0.0206708, 0.0888288, 1173, 
0.00894737, 0.162611, 1173, 1173, 0.0598583, 0.170423, 1.10889e-17, 0.203729, 0.0576783, 0.507984, 2.32413e-05, 0.261143, 0.00167338, 8.95021e-10, 0.00201574, 2.46183e-05, 0.405061, 7.6767e-05, 8.55162e-07, 3.04918e-10, 2.94081e-12, 2.52407e-10, 6.27948e-11, 7.42249e-08, 0.330005, 0.16074, 1173, 1173, 0.0588499, 0.169785, 1.17235e-17, 0.21059, 0.0552634, 0.505099, 2.32937e-05, 0.258381, 0.00173942, 8.97603e-10, 0.00204452, 2.59633e-05, 0.407185, 7.88239e-05, 8.37431e-07, 3.06095e-10, 2.94276e-12, 2.52319e-10, 6.32462e-11, 7.73259e-08, 0.330544, 0.14048, 1173, 1173, 0.0569178, 0.16842, 1.32199e-17, 0.224519, 0.0503626, 0.498375, 2.33607e-05, 0.252407, 0.00189024, 9.05716e-10, 0.00210463, 2.90901e-05, 0.411717, 8.33693e-05, 8.00464e-07, 3.08312e-10, 2.9577e-12, 2.52919e-10, 6.4455e-11, 8.43261e-08, 0.331768, 0.0206708, 0.101665, 1173, 
0.01, 0.162092, 1173, 1173, 0.0537994, 0.177523, 1.08236e-17, 0.21089, 0.0571926, 0.500001, 2.33142e-05, 0.258841, 0.00164591, 8.04361e-10, 0.0019839, 2.54534e-05, 0.410435, 7.55308e-05, 8.97294e-07, 3.17695e-10, 2.76837e-12, 2.28591e-10, 5.70589e-11, 7.67667e-08, 0.326992, 0.160178, 1173, 1173, 0.0526286, 0.17631, 1.14244e-17, 0.217506, 0.0545687, 0.495467, 2.32988e-05, 0.256018, 0.00171222, 8.05478e-10, 0.00201243, 2.6876e-05, 0.412623, 7.75892e-05, 8.78366e-07, 3.18944e-10, 2.76309e-12, 2.28057e-10, 5.73616e-11, 8.00419e-08, 0.327529, 0.135676, 1173, 1173, 0.0509112, 0.175662, 1.29581e-17, 0.233212, 0.0498666, 0.490716, 2.34758e-05, 0.249964, 0.00186254, 8.09824e-10, 0.00207149, 3.01604e-05, 0.41725, 8.21022e-05, 8.3922e-07, 3.21267e-10, 2.76087e-12, 2.27555e-10, 5.81982e-11, 8.73799e-08, 0.328739, 0.0206708, 0.114481, 1173, 
