axial_index,radial_index,region,z,r,z_left,z_right,r_inner,r_outer,pressure,density,mean_molecular_weight,cp_mass,velocity_axial,gas_temperature,solid_temperature,viscosity,thermal_conductivity,porosity,tortuosity,specific_surface_area,particle_diameter,pore_radius,Y_CH4,Y_CO,Y_O2,Y_CO2,Y_H2,Y_H2O,Y_AR,X_CH4,X_CO,X_O2,X_CO2,X_H2,X_H2O,X_AR,theta_H(s),theta_O(s),theta_CH4(s),theta_H2O(s),theta_CO2(s),theta_CO(s),theta_OH(s),theta_C(s),theta_HCO(s),theta_CH(s),theta_CH3(s),theta_CH2(s),theta_COOH(s),theta_Ni(s),wdot_CH4,wdot_CO,wdot_O2,wdot_CO2,wdot_H2,wdot_H2O,wdot_AR,sdot_H(s),sdot_O(s),sdot_CH4(s),sdot_H2O(s),sdot_CO2(s),sdot_CO(s),sdot_OH(s),sdot_C(s),sdot_HCO(s),sdot_CH(s),sdot_CH3(s),sdot_CH2(s),sdot_COOH(s),sdot_Ni(s),sdot_gas_CH4,sdot_gas_CO,sdot_gas_O2,sdot_gas_CO2,sdot_gas_H2,sdot_gas_H2O,sdot_gas_AR,axial_flux_CH4,axial_flux_CO,axial_flux_O2,axial_flux_CO2,axial_flux_H2,axial_flux_H2O,axial_flux_AR,radial_flux_CH4,radial_flux_CO,radial_flux_O2,radial_flux_CO2,radial_flux_H2,radial_flux_H2O,radial_flux_AR
0,0,lumen,0.0005263157894736842,0.00050000000000000001,0,0.0010526315789473684,0,0.001,1000226.6567608773,1.5953297684418413,15.555509544066958,3040.9695668675981,0.14209525443051363,1173,1173,3.965442818441207e-05,0.19226711814039904,0.59999999999999998,2,500000,0.00035,0.0001,0.17966856717948534,0.032958762667353966,9.811784511337828e-17,0.080700332343697723,0.024691500037084025,0.681471009810377,2.2767132204806216e-05,0.17420907009470296,0.018303832461001871,4.7699014816689768e-17,0.028524501578808092,0.19052027008144357,0.58843346084431114,8.8649397322377301e-06,0.25673445926263971,0.0074821992572713962,4.2495938092839737e-09,0.0042777518683802251,2.3549713743925983e-05,0.26029612652288153,0.00023646220573254,8.3919765394088161e-08,6.4263371783095576e-11,1.4696237569399708e-11,1.2253006586189706e-09,3.789278965578573e-10,4.8991587529404489e-08,0.47094931232520382,0,0,0,0,0,0,0,7.8597000825539892e-12,-2.6729969719834382e-13,4.3901184660708327e-14,9.61960641995645e-12,3.416429465719073e-15,-3.2205024346095013e-11,1.5065275004869172e-13,2.7031924875603464e-14,7.3285910154720868e-17,-2.3114300767360215e-19,7.8100904512154278e-19,-1.3915177612272772e-18,1.2649169466783016e-13,1.4641561577581593e-11,-1.7329849244206164e-06,7.3226686804483965e-07,9.7692262806240243e-22,1.0007500605008329e-06,6.1997006198938331e-06,-2.7337445469566291e-06,0,0.03743509610770037,0.010793374785019988,1.604946744823566e-17,0.023145481510161051,0.0066045050828719021,0.14947691847781244,5.1856341180612077e-06,4.6105637814108967e-06,6.2125916710613205e-07,3.3564448761856879e-20,1.6398556325592921e-05,-1.2488866500294166e-05,1.8892991269077728e-05,7.9478481517697567e-10
0,1,lumen,0.0005263157894736842,0.0015,0,0.0010526315789473684,0.001,0.002,1000224.8900348452,1.5918794852050473,15.521894440675997,3046.7840892007366,0.14216649794891992,1173,1173,3.9650009449350273e-05,0.19241737760366781,0.59999999999999998,2,500000,0.00035,0.0001,0.17996918353579477,0.03301681669052943,9.7634585218506209e-17,0.080431927677073356,0.024818918789014668,0.68257541491604179,2.2799696943286106e-05,0.17412346003972143,0.018296449248038103,4.7361514017152268e-17,0.028368194938844755,0.19108960197162492,0.58811343536649574,8.8584352749209048e-06,0.25702431457280778,0.0074531521411029932,4.2459594221362977e-09,0.0042738684972587577,2.3448694950897372e-05,0.26021053341660588,0.0002358956358909282,8.4150310132388519e-08,6.4309859141204278e-11,1.4661013933588769e-11,1.2237285364329517e-09,3.7810587349144242e-10,4.8854359608398845e-08,0.47077864810993292,0,0,0,0,0,0,0,-9.8064657427617753e-12,5.1306556698080367e-13,7.0567951832805449e-14,8.0155299302391865e-13,2.0800418679134403e-15,2.2595027574217469e-11,-4.5949091344466188e-13,-1.4476972138438571e-14,-3.4911543322363559e-17,9.8605160933695297e-19,-6.065069403792948e-18,7.8218552342726163e-18,-5.6064464286707111e-14,-1.3645672056529425e-11,-1.7281563834611879e-06,7.2886466298549557e-07,1.0684456950767366e-21,9.992691234030742e-07,6.1837432372424672e-06,-2.7274262519583203e-06,0,0.03744109847624897,0.010773939790462071,1.6054384558609298e-17,0.023188441987337979,0.0065841968598955459,0.14951939014469209,5.188786315083701e-06,3.3992874242077849e-05,-2.0072512399048647e-05,6.3516368456757989e-20,-2.2252298030885625e-05,-2.257844025519264e-05,5.0136014345123772e-05,-6.5637768465278379e-10
0,2,lumen,0.0005263157894736842,0.0025000000000000001,0,0.0010526315789473684,0.002,0.0030000000000000001,1000191.3772966617,1.5946271283855549,15.549206786946495,3039.2312543220969,0.14305889834045035,1173,1173,3.9657145068690083e-05,0.19257627704903596,0.59999999999999998,2,500000,0.00035,0.0001,0.17900218341742008,0.033388305699655105,9.6149550554981262e-17,0.080890616017508618,0.024908655508491414,0.68039407163929999,2.2773442343367959e-05,0.17349261143628933,0.018534868603703018,4.6723209077172627e-17,0.028580174863771683,0.19211797385235463,0.58726550744002015,8.8638038610170644e-06,0.25708468081640146,0.0073845977524925202,4.2201623956374383e-09,0.0042571993500152595,2.3535084939901586e-05,0.26138018468924695,0.0002343498937701332,8.5608338922280366e-08,6.5160974875877644e-11,1.4530519731580827e-11,1.2151853144504813e-09,3.7487140152452437e-10,4.9165072570484135e-08,0.46963531174981343,0,0,0,0,0,0,0,-4.558653375902251e-12,1.5116184514220514e-13,-3.6638415321561563e-14,1.0875622439999791e-11,4.1134630424100038e-16,8.5833780946557858e-12,-1.2516813647971482e-13,-6.2191462917027263e-15,-8.8198490569081505e-18,3.3255798741080586e-19,-2.0385444334256965e-18,2.6633997700755507e-18,-2.83994369915677e-14,-1.4855815077851999e-11,-1.7084070232063764e-06,7.0780304455009269e-07,1.0171874866739332e-21,1.0005954661291756e-06,6.1258190059976236e-06,-2.7090134058216364e-06,0,0.037680953933673274,0.010417730144335063,1.6790870203926705e-17,0.023157686031943701,0.0060299731778268324,0.14979338799226244,5.1867546021517827e-06,0,0,0,0,0,0,0
0,3,annular_channel,0.0005263157894736842,0.0040000000000000001,0,0.0010526315789473684,0.0030000000000000001,0.0050000000000000001,100000,0.020670849766933987,nan,nan,0.010000000000000444,1173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0,lumen,0.0015789473684210526,0.00050000000000000001,0.0010526315789473684,0.0021052631578947368,0,0.001,1000215.9658206146,1.5047144916988759,14.672108102212027,3048.7648967063537,0.1507919376671675,1173,1173,3.9982204873732472e-05,0.2085803119769355,0.59999999999999998,2,500000,0.00035,0.0001,0.14473096781975767,0.065664180994365925,3.5437551221230242e-17,0.12708093605734369,0.038793941667680944,0.62439213843977437,2.2810355648703728e-05,0.13236354831323657,0.034396000071137217,1.6249252528144444e-17,0.04236736193877709,0.28233576679519956,0.50852894550983663,8.3773718129582935e-06,0.26979472988863318,0.0037672028817208698,2.7874194207503568e-09,0.0031913983066382645,2.2312066930798597e-05,0.31651854259296264,0.0001449269872433989,2.3254397963599572e-07,1.2690309022877992e-10,7.9850788698155759e-12,7.654830061485446e-10,2.0975306611078052e-10,5.6441615145994728e-08,0.40656059439273246,0,0,0,0,0,0,0,2.4761287715628121e-12,-7.8263188725832326e-14,-4.0713706628327183e-13,2.629343503329652e-11,2.1154952789537163e-15,-5.0618255572308646e-11,6.9139249577328698e-14,2.9500165331375339e-14,1.7743337035838778e-16,-1.4356544126530934e-19,4.7304887588743802e-19,-6.0937796020837448e-19,2.9340231555517914e-14,2.2204070858314517e-11,-7.9553380550288766e-07,4.5383843000346147e-07,-5.324966272932244e-22,3.4174633975489663e-07,2.728347683125798e-06,-1.1373068385944762e-06,0,0.030757363519331803,0.017486772817924271,6.7877504778085544e-18,0.031161635527792431,0.0093772381331432841,0.13891383274899388,5.1953447437940852e-06,-1.8766085347369918e-05,-1.7143960731757313e-06,-4.0502921784593492e-20,-4.7694379038674377e-05,5.8039830870162952e-05,-0.00010456496786480467,-4.6125486825179784e-09
1,1,lumen,0.0015789473684210526,0.0015,0.0010526315789473684,0.0021052631578947368,0.001,0.002,1000214.2076522869,1.5114511156010422,14.737821203121875,3038.3499028244905,0.15044401174486446,1173,1173,3.9999715457363047e-05,0.20795856030232296,0.59999999999999998,2,500000,0.00035,0.0001,0.14444822916469041,0.065408254943727082,3.6114612664192946e-17,0.12781983953993389,0.038292719173263302,0.62357599590907853,2.2805285063911068e-05,0.13269663869206394,0.034415393308420646,1.6633874125410231e-17,0.042804561370430448,0.27993613519688065,0.51013885841058326,8.4130216209799043e-06,0.26898870045127599,0.0038163864209897194,2.7979968975405938e-09,0.003205584675592261,2.2615799507555822e-05,0.31674041207664894,0.00014619377814648971,2.3026643895184793e-07,1.2659507123898234e-10,8.0443579620740911e-12,7.6875024423589709e-10,2.1122311123901677e-10,5.696681694335734e-08,0.40707981565198564,0,0,0,0,0,0,0,-2.511104996194437e-12,3.0528377571779794e-13,4.6675675251925253e-13,-1.0589088800555791e-11,7.6843913177082612e-15,2.5718113728055714e-11,-3.6328589783206242e-13,-3.2771962227284845e-14,-1.4549100156415551e-16,8.3650738415229277e-19,-7.3533382741662032e-18,7.9090538227133891e-18,2.1208663785031244e-14,-1.302244531795762e-11,-8.0290659590191715e-07,4.5182459690318311e-07,-5.4794882881731833e-22,3.5105581812243813e-07,2.7597756358938019e-06,-1.1539513619096553e-06,0,0.030749888238909697,0.01745659903636845,6.9565266478856262e-18,0.031556494612707611,0.0092455217200694793,0.13904032557974688,5.2090970408150245e-06,-7.2279073862193207e-05,-1.6129268059860117e-05,-1.6094118025428321e-19,-0.00019247902017565589,0.00021921494896194268,-0.00038167947723713648,-1.6777659752912192e-08
1,2,lumen,0.0015789473684210526,0.0025000000000000001,0.0010526315789473684,0.0021052631578947368,0.002,0.0030000000000000001,1000180.785726885,1.5292147647865946,14.911528831838995,3014.9791581819941,0.14680414852656287,1173,1173,4.0067034437151408e-05,0.20557764222727457,0.59999999999999998,2,500000,0.00035,0.0001,0.14415147051573485,0.064990696139414952,3.8990573272027225e-17,0.13157065103309251,0.036612634297300113,0.62341602657742079,2.288889257148457e-05,0.13398484128575508,0.034598737568160419,1.8170168682910331e-17,0.04457996219645495,0.27080870631635312,0.51601920924450262,8.54338877368104e-06,0.26574481477534573,0.0040082893599824093,2.8376808528526042e-09,0.0032569101915574362,2.3877434057751847e-05,0.31791661796997611,0.00015101871938268271,2.2238784902192174e-07,1.2573046307231565e-10,8.274879700817812e-12,7.8112058423693385e-10,2.1690025049431044e-10,5.9157744703389411e-08,0.40889818603440131,0,0,0,0,0,0,0,-9.7211441571240247e-13,1.6293633322011098e-13,-4.315289500279667e-14,1.671519516593793e-12,3.6543034223623927e-15,-2.1539300291278929e-12,-1.9586759775708915e-13,-9.0976488495431163e-15,-5.2210762418922035e-17,3.4772062162920913e-19,-3.0239316099356162e-18,3.3230651416483208e-18,2.251487641017054e-14,1.5140376996982973e-12,-8.3121480963857519e-07,4.3780619585209735e-07,-6.6210568328138676e-23,3.9341079385038719e-07,2.8870559273252994e-06,-1.2246273204397085e-06,0,0.030601571952997043,0.016858301243146891,7.651336159915505e-18,0.03210802773043063,0.0084420445960602455,0.1378605936703774,5.172626048269264e-06,0,0,0,0,0,0,0
1,3,annular_channel,0.0015789473684210526,0.0040000000000000001,0.0010526315789473684,0.0021052631578947368,0.0030000000000000001,0.0050000000000000001,99999.999995304664,0.020670849765963423,nan,nan,0.018087215760251858,1173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0,lumen,0.002631578947368421,0.00050000000000000001,0.0021052631578947368,0.0031578947368421052,0,0.001,1000204.6999621559,1.4601574784296629,14.237803778512202,3040.7125484056291,0.15584713822551508,1173,1173,4.0181928032197842e-05,0.21658261243078755,0.59999999999999998,2,500000,0.00035,0.0001,0.1226577056770382,0.090856781091415026,2.2674478889525953e-17,0.14876060182072504,0.046634315346918281,0.59149301317044156,2.2838997241360261e-05,0.10885597116201283,0.04618354234654784,1.0089217488877048e-17,0.048127070796811292,0.32935031312236246,0.46747496296873048,8.1396035349303855e-06,0.27152627745355751,0.0027664448437112904,2.1361041553802269e-09,0.0027337366579922085,2.2007827513440453e-05,0.34398995577671176,0.00011494573666009323,3.6894775039999926e-07,1.7148438381186272e-10,5.8590419263749478e-12,5.8271079618693663e-10,1.5211990059281592e-10,6.0110698335602677e-08,0.37884619959711807,0,0,0,0,0,0,0,1.2233802935468407e-12,-6.1121100021521514e-14,-1.635996293495051e-14,1.1424855445852588e-11,8.6736173798840355e-18,-3.7381848267889484e-11,6.5678966004711734e-14,7.410207430308402e-14,1.2090358533875363e-16,-3.4104669580258402e-20,-2.4916127616169161e-20,-2.2889504096141273e-19,6.5334954237041761e-14,2.4606177636706427e-11,-5.2515018225153531e-07,3.5564635481044604e-07,-2.1405521701028623e-22,1.6954108607479596e-07,1.7449910005018499e-06,-6.9470270525062716e-07,0,0.026382101682096711,0.022760709660908016,4.6537254685724086e-18,0.035345786747239913,0.010975092168857913,0.13275343712699472,5.2156958568555415e-06,-2.7996730040078385e-05,-1.4967187810610076e-05,-4.1120230137199792e-20,-0.00012213831049043673,0.00012049507955808053,-0.00020252573465931329,-9.6667783169278545e-09
2,1,lumen,0.002631578947368421,0.0015,0.0021052631578947368,0.0031578947368421052,0.001,0.002,1000202.9745199394,1.4705373196933513,14.339040983391442,3025.3834580066841,0.15507480595190115,1173,1173,4.0225106514901461e-05,0.21529549454957286,0.59999999999999998,2,500000,0.00035,0.0001,0.12233484678007958,0.09053820970839678,2.3359781591703503e-17,0.15107423063657516,0.045641692634542541,0.59105015429988705,2.2879703451628235e-05,0.10934141879177671,0.046348843254965744,1.0468056303722404e-17,0.049223104015819086,0.32463199466173653,0.47044642718545193,8.2120902498307854e-06,0.27006928087675547,0.0028296766478270192,2.1495664003541311e-09,0.0027561615291268938,2.2591123583075967e-05,0.344663114586581,0.00011672773612083299,3.6332858937669781e-07,1.7117439530097142e-10,5.9240454072538713e-12,5.8645390898252434e-10,1.5381436992626102e-10,6.126081611783875e-08,0.37954201984366831,0,0,0,0,0,0,0,-6.1680402685988792e-12,-2.7494600179789147e-14,1.55362264086536e-13,-3.8791447643837314e-11,2.9977105867051712e-15,1.0235799751193153e-10,1.6548757641517168e-14,6.6850821753283718e-15,6.1926816071200124e-18,9.4911621137826446e-20,-1.7403718787896254e-18,1.3989108947471231e-18,1.1498925120561864e-14,-5.7564148485762897e-11,-5.3305142586057563e-07,3.5435728978905345e-07,1.1636441843695815e-21,1.7859160151039092e-07,1.7777484799114118e-06,-7.1160407744130794e-07,0,0.026354273454692601,0.022735091757688668,4.830398944143695e-18,0.036089551358593173,0.010741764658861756,0.13293692031111162,5.2391430537428934e-06,-8.9025734878422867e-05,-4.5253759835273492e-05,-1.4685758579562808e-19,-0.00034350691035588002,0.00033814980551135336,-0.00056016640078300028,-2.624117574251329e-08
