z, Pressure_0, Pressure_1, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Annular_Density_ch, Annular_Velocity_ch, Annular_Temperature_ch, 
0.000526316, 1.00023e+06, 1.0002e+06, 0.142164, 1173, 1173, 0.174121, 0.0182946, 4.73187e-17, 0.0283651, 0.191163, 0.588047, 8.85674e-06, 0.257063, 0.00744916, 4.24573e-09, 0.00427322, 2.34339e-05, 0.260195, 0.000235815, 8.41802e-08, 6.43133e-11, 1.46571e-11, 1.22358e-09, 3.78017e-10, 4.88328e-08, 0.47076, 0.14306, 1173, 1173, 0.173321, 0.0185002, 4.58823e-17, 0.0282556, 0.193558, 0.586356, 8.84344e-06, 0.257841, 0.00731246, 4.21266e-09, 0.00424724, 2.32619e-05, 0.261083, 0.00023293, 8.61512e-08, 6.52311e-11, 1.44481e-11, 1.21169e-09, 3.72959e-10, 4.87762e-08, 0.46926, 0.0206708, 0.01, 1173, 
0.00157895, 1.00022e+06, 1.00019e+06, 0.150695, 1173, 1173, 0.132551, 0.034355, 1.63861e-17, 0.0424377, 0.281493, 0.509155, 8.38859e-06, 0.269568, 0.00378561, 2.79319e-09, 0.00319742, 2.23942e-05, 0.316454, 0.000145418, 2.31442e-07, 1.26645e-10, 8.0115e-12, 7.67207e-10, 2.10426e-10, 5.65651e-08, 0.406827, 0.147746, 1173, 1173, 0.133833, 0.0344546, 1.77927e-17, 0.0439315, 0.273065, 0.514707, 8.5079e-06, 0.266668, 0.00396235, 2.83255e-09, 0.00324643, 2.35057e-05, 0.31733, 0.000149909, 2.23723e-07, 1.25643e-10, 8.23014e-12, 7.79362e-10, 2.15841e-10, 5.84789e-08, 0.408619, 0.0206708, 0.0181942, 1173, 
0.00263158, 1.0002e+06, 1.00018e+06, 0.155525, 1173, 1173, 0.109116, 0.0462131, 1.02638e-17, 0.0485206, 0.327409, 0.468733, 8.16818e-06, 0.270964, 0.0027928, 2.1431e-09, 0.00274351, 2.22315e-05, 0.34418, 0.000115698, 3.66349e-07, 1.71239e-10, 5.88922e-12, 5.84647e-10, 1.52917e-10, 6.05428e-08, 0.379181, 0.151624, 1173, 1173, 0.110764, 0.0466108, 1.156e-17, 0.0514942, 0.313998, 0.477125, 8.36564e-06, 0.266833, 0.00298073, 2.18753e-09, 0.00280813, 2.39299e-05, 0.345937, 0.000120927, 3.5008e-07, 1.70075e-10, 6.0954e-12, 5.97056e-10, 1.58287e-10, 6.38211e-08, 0.381296, 0.0206708, 0.028326, 1173, 
0.00368421, 1.00019e+06, 1.00017e+06, 0.158531, 1173, 1173, 0.0933165, 0.0555382, 7.83565e-18, 0.0522746, 0.354876, 0.443987, 8.06213e-06, 0.270132, 0.00233712, 1.75502e-09, 0.00248841, 2.23611e-05, 0.361824, 0.000100799, 4.82297e-07, 2.05157e-10, 4.82505e-12, 4.79348e-10, 1.22349e-10, 6.3391e-08, 0.363096, 0.151062, 1173, 1173, 0.0948425, 0.0564222, 8.99943e-18, 0.0564703, 0.338451, 0.453805, 8.31542e-06, 0.265228, 0.00251825, 1.79331e-09, 0.00255711, 2.44757e-05, 0.364508, 0.000106067, 4.59657e-07, 2.04634e-10, 4.98764e-12, 4.89337e-10, 1.26823e-10, 6.77628e-08, 0.365057, 0.0206708, 0.0396153, 1173, 
0.00473684, 1.00018e+06, 1.00016e+06, 0.160397, 1173, 1173, 0.0814964, 0.0633057, 6.58998e-18, 0.055287, 0.372506, 0.427397, 8.02564e-06, 0.268525, 0.00207957, 1.48711e-09, 0.00232414, 2.26808e-05, 0.374662, 9.18915e-05, 5.81537e-07, 2.32456e-10, 4.17395e-12, 4.07875e-10, 1.02706e-10, 6.58715e-08, 0.352294, 0.152044, 1173, 1173, 0.0828133, 0.0646639, 7.66651e-18, 0.0604708, 0.353972, 0.438072, 8.32039e-06, 0.263094, 0.00225456, 1.51882e-09, 0.00239429, 2.51151e-05, 0.378041, 9.71128e-05, 5.53517e-07, 2.32635e-10, 4.29786e-12, 4.15586e-10, 1.06372e-10, 7.11053e-08, 0.354094, 0.0206708, 0.0516391, 1173, 
0.00578947, 1.00017e+06, 1.00014e+06, 0.161478, 1173, 1173, 0.0722037, 0.0699408, 5.87213e-18, 0.0580223, 0.38396, 0.415865, 8.03382e-06, 0.266606, 0.00191981, 1.28846e-09, 0.00221151, 2.31334e-05, 0.38463, 8.61256e-05, 6.6553e-07, 2.54983e-10, 3.73226e-12, 3.55387e-10, 8.88449e-11, 6.82088e-08, 0.344523, 0.149643, 1173, 1173, 0.0732504, 0.0717599, 6.89557e-18, 0.0640527, 0.363908, 0.42702, 8.36161e-06, 0.260781, 0.0020898, 1.31332e-09, 0.00228157, 2.5835e-05, 0.38857, 9.12697e-05, 6.33263e-07, 2.55892e-10, 3.8217e-12, 3.60898e-10, 9.17688e-11, 7.41602e-08, 0.346159, 0.0206708, 0.0641332, 1173, 
0.00684211, 1.00016e+06, 1.00013e+06, 0.162004, 1173, 1173, 0.064543, 0.0757992, 5.43468e-18, 0.0607212, 0.391249, 0.407679, 8.07666e-06, 0.264506, 0.00181528, 1.13199e-09, 0.00213077, 2.37063e-05, 0.392828, 8.22053e-05, 7.36813e-07, 2.74161e-10, 3.4062e-12, 3.14256e-10, 7.83129e-11, 7.05567e-08, 0.338612, 0.149375, 1173, 1173, 0.0653329, 0.07802, 6.42044e-18, 0.0674902, 0.370041, 0.419108, 8.43019e-06, 0.258389, 0.00198198, 1.15096e-09, 0.00220028, 2.66398e-05, 0.397181, 8.72866e-05, 7.00855e-07, 2.7566e-10, 3.46689e-12, 3.17923e-10, 8.06208e-11, 7.71103e-08, 0.340133, 0.0206708, 0.0769174, 1173, 
0.00789474, 1.00014e+06, 1.00012e+06, 0.16208, 1173, 1173, 0.0580856, 0.0810525, 5.16951e-18, 0.0634721, 0.395489, 0.401892, 8.14363e-06, 0.262302, 0.00174616, 1.00481e-09, 0.00207181, 2.4384e-05, 0.399788, 7.95016e-05, 7.96807e-07, 2.90714e-10, 3.15276e-12, 2.80894e-10, 6.99751e-11, 7.29646e-08, 0.333987, 0.146083, 1173, 1173, 0.0586189, 0.0836215, 6.13349e-18, 0.0709074, 0.373396, 0.413448, 8.51911e-06, 0.255964, 0.00191083, 1.01837e-09, 0.0021405, 2.75275e-05, 0.404448, 8.45332e-05, 7.57684e-07, 2.92675e-10, 3.18839e-12, 2.82914e-10, 7.17418e-11, 8.00389e-08, 0.335424, 0.0206708, 0.0898602, 1173, 
0.00894737, 1.00013e+06, 1.00011e+06, 0.161839, 1173, 1173, 0.0525042, 0.0858166, 5.01725e-18, 0.0663165, 0.39744, 0.397915, 8.23275e-06, 0.260039, 0.00170138, 8.98208e-10, 0.0020286, 2.51551e-05, 0.405832, 7.76532e-05, 8.46774e-07, 3.05143e-10, 2.94556e-12, 2.52922e-10, 6.31158e-11, 7.54563e-08, 0.330295, 0.145167, 1173, 1173, 0.0528018, 0.0886856, 5.9799e-18, 0.0743749, 0.374639, 0.40949, 8.62568e-06, 0.253525, 0.0018652, 9.07063e-10, 0.00209631, 2.84975e-05, 0.410722, 8.26515e-05, 8.04914e-07, 3.07439e-10, 2.95974e-12, 2.53528e-10, 6.4419e-11, 8.29958e-08, 0.331679, 0.0206708, 0.102862, 1173, 
0.01, 1.00012e+06, 1.0001e+06, 0.161302, 1173, 1173, 0.0476001, 0.0902238, 4.9486e-18, 0.069321, 0.397557, 0.395289, 8.33702e-06, 0.257706, 0.00167426, 8.06882e-10, 0.00199683, 2.60253e-05, 0.411234, 7.64264e-05, 8.88238e-07, 3.17932e-10, 2.76984e-12, 2.28901e-10, 5.73144e-11, 7.80773e-08, 0.327286, 0.141399, 1173, 1173, 0.0476819, 0.0933198, 5.91615e-18, 0.0779556, 0.374203, 0.406831, 8.74587e-06, 0.251069, 0.00183836, 8.11642e-10, 0.00206371, 2.9555e-05, 0.416258, 8.14143e-05, 8.4373e-07, 3.20366e-10, 2.76529e-12, 2.28296e-10, 5.82169e-11, 8.60246e-08, 0.328659, 0.0206708, 0.115842, 1173, 
