axial_index,radial_index,region,z,r,z_left,z_right,r_inner,r_outer,pressure,density,mean_molecular_weight,cp_mass,velocity_axial,gas_temperature,solid_temperature,viscosity,thermal_conductivity,porosity,tortuosity,specific_surface_area,particle_diameter,pore_radius,Y_CH4,Y_CO,Y_O2,Y_CO2,Y_H2,Y_H2O,Y_AR,X_CH4,X_CO,X_O2,X_CO2,X_H2,X_H2O,X_AR,theta_H(s),theta_O(s),theta_CH4(s),theta_H2O(s),theta_CO2(s),theta_CO(s),theta_OH(s),theta_C(s),theta_HCO(s),theta_CH(s),theta_CH3(s),theta_CH2(s),theta_COOH(s),theta_Ni(s),wdot_CH4,wdot_CO,wdot_O2,wdot_CO2,wdot_H2,wdot_H2O,wdot_AR,sdot_H(s),sdot_O(s),sdot_CH4(s),sdot_H2O(s),sdot_CO2(s),sdot_CO(s),sdot_OH(s),sdot_C(s),sdot_HCO(s),sdot_CH(s),sdot_CH3(s),sdot_CH2(s),sdot_COOH(s),sdot_Ni(s),sdot_gas_CH4,sdot_gas_CO,sdot_gas_O2,sdot_gas_CO2,sdot_gas_H2,sdot_gas_H2O,sdot_gas_AR,axial_flux_CH4,axial_flux_CO,axial_flux_O2,axial_flux_CO2,axial_flux_H2,axial_flux_H2O,axial_flux_AR,radial_flux_CH4,radial_flux_CO,radial_flux_O2,radial_flux_CO2,radial_flux_H2,radial_flux_H2O,radial_flux_AR
0,0,lumen,0.0005263157894736842,0.00075000000000000002,0,0.0010526315789473684,0,0.0015,1000225.8866746078,1.5927012771362954,15.529891989875837,3045.1488851473114,0.14216363661574943,1173,1173,3.9649551316114512e-05,0.1924354968747489,0.59999999999999998,2,500000,0.00035,0.0001,0.17987395923674263,0.032996515416715888,9.7496032438974207e-17,0.080381700366463221,0.024815664696994772,0.68214735470541965,2.278358575311106e-05,0.17412099724103608,0.01829462050924208,4.7318671580058136e-17,0.028365087247011679,0.19116299226255143,0.58804744600359082,8.8567365679070999e-06,0.25706346314264361,0.0074491568026945109,4.2457332056881403e-09,0.0042732216277669953,2.343385687723274e-05,0.26019502572551445,0.00023581456100383973,8.4180214118205445e-08,6.4313290443801987e-11,1.4657119653916888e-11,1.2235800208414362e-09,3.7801663172336053e-10,4.883275954911048e-08,0.47075974534422488,0,0,0,0,0,0,0,-7.0050792864876653e-12,8.094956846415676e-13,3.9014171648542442e-13,-8.0871506334876295e-12,4.9259641504706408e-15,2.8683583611598118e-11,-7.4908623216268843e-13,-2.5165308205343795e-14,-7.3640457239451535e-17,1.5187840479619296e-18,-9.3087076290481614e-18,1.2119010540010067e-17,-7.0875099077522966e-14,-1.395051153945508e-11,-1.7276223032679228e-06,7.2982829908696534e-07,8.8565531493082576e-22,9.9776502161708072e-07,6.180634693139786e-06,-2.7253788671410817e-06,0,0.037449729222924923,0.010775833914731386,1.5992434245432322e-17,0.023100100103613238,0.0066072260119713361,0.14950203234152926,5.1857855286039137e-06,2.8753672637048989e-05,-1.1547273888350667e-05,9.5350752012086535e-20,7.6690607380340419e-06,-3.5091460640276174e-05,6.6837404302433353e-05,1.0842903565419823e-09
0,1,lumen,0.0005263157894736842,0.0022500000000000003,0,0.0010526315789473684,0.0015,0.0030000000000000001,1000199.3081984216,1.5941874778621343,15.544796494673729,3038.3117780561761,0.14305952442962339,1173,1173,3.9646181562999098e-05,0.19295353927402015,0.59999999999999998,2,500000,0.00035,0.0001,0.17887604151468203,0.033335341243400589,9.4445838057183387e-17,0.079994669390065248,0.02510252376624722,0.67953285586012124,2.2727575716892217e-05,0.17332117827828597,0.018500217626175153,4.5882284279262042e-17,0.028255603543076876,0.19355834496479354,0.58635581214488153,8.8434427868930631e-06,0.25784122392780928,0.007312455216847316,4.2126575957023735e-09,0.0042472411009660538,2.3261862265784049e-05,0.26108280908574855,0.00023292953048855011,8.6151163375006669e-08,6.5231070206076787e-11,1.4448082295316497e-11,1.2116870760619352e-09,3.7295911184513967e-10,4.8776157932745912e-08,0.46925993847156539,0,0,0,0,0,0,0,-2.2718796744267081e-12,2.7026109094913345e-14,-8.3804578262954e-14,2.3764211487416187e-12,1.531435568635775e-15,2.4793023536973102e-12,-5.2525239892451958e-14,4.6261280396697746e-15,5.5897079894067532e-18,4.0528748087801282e-20,-3.0087040420391276e-19,3.4034573778162776e-19,2.8461991855582521e-14,-2.5089692305883045e-12,-1.6972389812464073e-06,7.0729842861771974e-07,1.2328367622147703e-21,9.8993812249366928e-07,6.0816564654286864e-06,-2.6871795637539719e-06,0,0.037760079558142638,0.010421702881843319,1.6526653569052351e-17,0.022933160385986712,0.0060973668689065534,0.14998937672000368,5.1878146158013633e-06,0,0,0,0,0,0,0
0,2,annular_channel,0.0005263157894736842,0.0040000000000000001,0,0.0010526315789473684,0.0030000000000000001,0.0050000000000000001,100000,0.020670849766933987,nan,nan,0.0099999999999990912,1173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0,lumen,0.0015789473684210526,0.00075000000000000002,0.0010526315789473684,0.0021052631578947368,0,0.0015,1000215.1970640415,1.5080321627489701,14.704469214183709,3043.2983628043576,0.15069510201704889,1173,1173,3.9985786054431111e-05,0.20838168453385633,0.59999999999999998,2,500000,0.00035,0.0001,0.14461656886544313,0.065441626841018993,3.5657314863267774e-17,0.12701173550132433,0.038593042613499939,0.62378512056674884,2.2790636445719748e-05,0.13255063795691496,0.034355029889677334,1.6386083151052445e-17,0.042437686712246757,0.28149315823010407,0.5091550986200184,8.3885910384915946e-06,0.26956826134122291,0.0037856080295999603,2.7931855735611402e-09,0.003197418818596844,2.2394185445139248e-05,0.31645365545164733,0.00014541752924472688,2.3144231195981383e-07,1.2664543688470528e-10,8.0115041192924197e-12,7.6720716196543857e-10,2.104256633406276e-10,5.6565064367003499e-08,0.40682695273139008,0,0,0,0,0,0,0,-5.7698285086416312e-12,1.7200759809109335e-13,1.1065380024941708e-12,-4.3594398014223908e-11,1.1242742847805687e-14,7.7118561428272947e-11,-2.6173337863406037e-13,-5.3576284034240196e-14,-1.8195662685086896e-16,8.3778493875898678e-19,-8.4028336025102077e-18,8.9281962754676431e-18,1.8527505478956898e-14,-2.8747172376491398e-11,-7.9888749867154663e-07,4.5263451603494431e-07,-5.09514567147751e-22,3.4617478152228524e-07,2.7428369581694589e-06,-1.1450175728677792e-06,0,0.030771607613005909,0.017457964439456318,6.8561621190707126e-18,0.031270330688066159,0.0093276697211017515,0.13898282058342296,5.200179801102262e-06,-4.803855327470184e-05,-5.848555777264598e-06,-9.8419064786918841e-20,-0.00010823717950500151,0.00013526606027015374,-0.00024066411101810183,-1.0255913857564531e-08
1,1,lumen,0.0015789473684210526,0.0022500000000000003,0.0010526315789473684,0.0021052631578947368,0.0015,0.0030000000000000001,1000188.6866348702,1.5270245296612437,14.890054002503437,3016.6223988056167,0.14774559475692231,1173,1173,4.0044449046319332e-05,0.20621104439319493,0.59999999999999998,2,500000,0.00035,0.0001,0.14419555572277043,0.06481323481199408,3.8235692763310429e-17,0.12984382881018378,0.036970988615873071,0.62272769067617728,2.2826694574311144e-05,0.13383280007685877,0.034454572168065967,1.7792722359798178e-17,0.043931505439238516,0.27306548463109614,0.51470712978198918,8.5079027511926185e-06,0.26666840905148498,0.0039623495927354662,2.8325467612519339e-09,0.0032464343446316495,2.3505707748574515e-05,0.31733037263943431,0.00014990916478138205,2.2372285637896789e-07,1.256427215800516e-10,8.2301404821336748e-12,7.793619439481145e-10,2.1584051359193932e-10,5.8478937399057881e-08,0.40861873333576826,0,0,0,0,0,0,0,1.5222135061896243e-13,-8.0745321116087496e-15,-2.9964757720161476e-13,1.4213213958399332e-11,-6.0975530180584769e-16,-1.9755904052433382e-11,2.1839889901684751e-14,3.5959733454826726e-15,4.232324275596177e-17,-4.5493486124344554e-20,4.1778617993368907e-19,-4.056995202206408e-19,-9.8424796187395555e-15,5.6834247839303376e-12,-8.2585228084082474e-07,4.3946237765490892e-07,-4.7555983074362915e-22,3.864099655829364e-07,2.8639676246250412e-06,-1.2122767590883043e-06,0,0.030764367847522213,0.016897275952042028,7.5341703343543748e-18,0.031832794437966695,0.0085721356469050103,0.1383826407751598,5.1830165255666319e-06,0,0,0,0,0,0,0
1,2,annular_channel,0.0015789473684210526,0.0040000000000000001,0.0010526315789473684,0.0021052631578947368,0.0030000000000000001,0.0050000000000000001,99999.999995224469,0.020670849765946846,nan,nan,0.018194157410184028,1173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0,lumen,0.002631578947368421,0.00075000000000000002,0.0021052631578947368,0.0031578947368421052,0,0.0015,1000203.9439158979,1.464220891805075,14.277436380794201,3034.9296129330828,0.15552462473695608,1173,1173,4.0197715889405409e-05,0.2160679004173176,0.59999999999999998,2,500000,0.00035,0.0001,0.12260965548941929,0.090662545225223365,2.3002746458509622e-17,0.14956077629257972,0.046230786558714633,0.59143795942699495,2.2855554329381463e-05,0.10911622239738693,0.046213092523170435,1.0263774271670423e-17,0.04852063142946899,0.32740928270145031,0.46873260277022827,8.168178295006992e-06,0.27096441059786708,0.0027927985345723235,2.1431033490231473e-09,0.0027435140128821969,2.2231531157994183e-05,0.34417956756003576,0.00011569825730592512,3.6634914282274947e-07,1.7123889800540474e-10,5.8892235444822782e-12,5.8464744300892047e-10,1.5291737227185778e-10,6.054280870329444e-08,0.37918134955643168,0,0,0,0,0,0,0,-1.8924288292719436e-12,-4.4926773435166988e-14,1.5195330301619199e-13,-1.776620202755416e-11,2.5655476007524491e-15,3.6594289664487745e-11,2.7969029640733828e-14,3.6920878680735125e-14,6.4399178168613823e-17,-3.2707781245506548e-20,-6.2931901003034346e-19,4.1626044529383501e-19,4.7065742617855795e-14,-1.7157359447250369e-11,-5.2881983793849618e-07,3.548238688422245e-07,-2.0623557451969737e-22,1.7395913627056344e-07,1.7604190986897361e-06,-7.0276105190725247e-07,0,0.026394917454731371,0.022722872705083018,4.7339673687259966e-18,0.035607598760337443,0.010877682426934555,0.13285472651372926,5.2246697514131676e-06,-6.3053758385341215e-05,-2.3880542416834455e-05,-9.324504505173168e-20,-0.00021939050898602151,0.00022649216153799217,-0.00038144570651736301,-1.7449090954684239e-08
2,1,lumen,0.002631578947368421,0.0022500000000000003,0.0021052631578947368,0.0031578947368421052,0.0015,0.0030000000000000001,1000177.661782691,1.4971098077197864,14.598515724187864,2985.8755198042909,0.15162438671114692,1173,1173,4.0311215058678765e-05,0.21246810469599919,0.59999999999999998,2,500000,0.00035,0.0001,0.1217235179434179,0.089431602615473865,2.5338005023054498e-17,0.15523560736377409,0.043361912592924191,0.58878643239398731,2.2893236770289158e-05,0.11076374061587296,0.046610805320289744,1.1560012024145638e-17,0.05149422743197777,0.31399779901719427,0.47712506197569243,8.3656389729317154e-06,0.26683312814623139,0.0029807349129699003,2.1875316603153628e-09,0.0028081332619666311,2.392988205787767e-05,0.34593705513316475,0.00012092696991249724,3.5007953175919448e-07,1.7007483055912071e-10,6.0953959324859443e-12,5.9705589686132059e-10,1.5828707625616346e-10,6.3821076917635523e-08,0.38129567467404335,0,0,0,0,0,0,0,3.5084965828451925e-13,2.3404784390757343e-15,1.1574330438620634e-14,3.6429563154204855e-12,-5.2757277713144646e-16,-1.0399289177183413e-11,5.3775572543585459e-16,1.4000411073522567e-14,1.3456003450389993e-17,-7.0413361902664347e-21,2.1525080015492711e-19,-2.5532237585792799e-19,1.256979843144473e-14,6.365102228361509e-12,-5.5363270399719222e-07,3.4352412431326584e-07,-1.604406779204884e-22,2.1011894132990695e-07,1.8710168375041247e-06,-7.6375527757743811e-07,0,0.026060169684519342,0.021950219471689937,5.2447633813134633e-18,0.036597062990913309,0.0098876660320282514,0.1309626201455473,5.174853209238556e-06,0,0,0,0,0,0,0
2,2,annular_channel,0.002631578947368421,0.0040000000000000001,0.0021052631578947368,0.0031578947368421052,0.0030000000000000001,0.0050000000000000001,99999.999985481612,0.020670849763932915,nan,nan,0.028325968150564346,1173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0,lumen,0.0036842105263157894,0.00075000000000000002,0.0031578947368421052,0.0042105263157894736,0,0.0015,1000192.3479214072,1.4458321386614532,14.098293379139699,3007.5382411338205,0.15853092160974411,1173,1173,4.0369563144144766e-05,0.22026923877223087,0.59999999999999998,2,500000,0.00035,0.0001,0.1061884898076713,0.11034141511830002,1.778407005277848e-17,0.16317945650023144,0.050745812851328731,0.56733287407651167,2.2845455885724857e-05,0.093316492102246199,0.055538223570411792,7.8356471366723985e-18,0.052274576818124197,0.3548756732842015,0.44398697209887211,8.0621261441087068e-06,0.27013151736233382,0.0023371206190888239,1.7550242388217483e-09,0.0024884075424663763,2.2361051662903825e-05,0.36182350964399551,0.00010079919797820263,4.8229652497510826e-07,2.0515737402906833e-10,4.8250488645375442e-12,4.7934796016281553e-10,1.2234923590394215e-10,6.3390978815270285e-08,0.36309573632826631,0,0,0,0,0,0,0,-2.4381767173028261e-13,-7.1608725112422252e-14,-8.9707793812006403e-15,3.9905115765811229e-13,2.7385862674811356e-15,-6.6267918886683819e-12,7.0738928595003223e-14,2.2843380832748839e-14,7.1774477312561485e-17,-5.9903308437142146e-20,-1.5808246618549381e-18,1.1195916215781196e-18,1.2766578644053915e-14,6.4429013614555487e-12,-3.977117468047936e-07,2.868154492241537e-07,-6.4005255035996484e-23,1.1090289490030982e-07,1.3040382341733547e-06,-5.0861504152788228e-07,0,0.023119747794910332,0.027026409537355307,3.8116387981680177e-18,0.038615380641162309,0.011859415324872394,0.12867898315462672,5.2565943767730418e-06,-5.9125211166671504e-05,-5.3701446883610899e-05,-8.5088643267928655e-20,-0.00031277253915231725,0.00028636812722482107,-0.00046079201112373758,-2.2746294364564094e-08
