dat_key	param_name	value_type	case_section	case_key	template_section	comment
POROSITY_LUMEN	porosity_lumen	float	geometry	POROSITY_LUMEN	LUMEN	Porosity [] (Lumen)
TORTUOSITY_LUMEN	tortuosity_lumen	float	geometry	TORTUOSITY_LUMEN	LUMEN	Tortuosity [] (Lumen)
PARTICLEDIA_LUMEN	particle_diameter_lumen	float	geometry	PARTICLEDIA_LUMEN	LUMEN	Particle Diameter [m] (Lumen)
PORERAD_LUMEN	pore_radius_lumen	float	geometry	PORERAD_LUMEN	LUMEN	Pore radius [m] (Lumen)
CHANNELRAD_LUMEN	channel_radius_lumen	float	geometry	CHANNELRAD_LUMEN	LUMEN	Radius of the reactor channel [m] (Lumen)
SPECIFICAREA_LUMEN	specific_area_lumen	float	geometry	SPECIFICAREA_LUMEN	LUMEN	Catalyst specific area [1/m] (Lumen)
LENGTH_LUMEN	length	float	geometry	LENGTH_LUMEN	LUMEN	Length of the catalyst bed [m] (Lumen)
MICROPOROSITY_LUMEN	microporosity_lumen	float	geometry	MICROPOROSITY_LUMEN	LUMEN	Porosity of micro-pores [] (Lumen)
MICROPORERAD_LUMEN	micropore_radius_lumen	float	geometry	MICROPORERAD_LUMEN	LUMEN	Radius of micro-pores [m] (Lumen)
GASCTIFILE_LUMEN	gas_file_lumen	str	mechanism_parameters	GASCTIFILE_LUMEN	LUMEN Filename	Name of the CTI/YAML file containing gas phase (Lumen)
GASPHASE_LUMEN	gas_phase_lumen	str	mechanism_parameters	GASPHASE_LUMEN	LUMEN Filename	Name of the gas phase in CTI/YAML file (Lumen)
SURFCTIFILE_LUMEN	surface_file_lumen	str	mechanism_parameters	SURFCTIFILE_LUMEN	LUMEN Filename	Name of the CTI/YAML file containing surface phase (Lumen)
SURFPHASE_LUMEN	surface_phase_lumen	str	mechanism_parameters	SURFPHASE_LUMEN	LUMEN Filename	Name of the surface phase in CTI/YAML file (Lumen)
SOLVE_SUPPORT	solve_support	bool	controls	SOLVE_SUPPORT	SUPPORT	Solve transport inside the support
POROSITY_SUPPORT	porosity_support	float	geometry	POROSITY_SUPPORT	SUPPORT	Porosity [] (Support)
