Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.0,800.0000000000001,0.9999999999999999,4.373489198791792e-12,0.576923076915829,4.6354242059124686e-12,0.3846153846092792,3.951565466741474e-12,5.52891235610646e-13,0.03846153846137837,0.5117896622357677,9.879083057457138e-06,1.2715620617336478e-06,0.005018090539840887,0.0005741859635502359,1.314027911518667e-08,7.732740689142717e-06,1.0802352329517458e-08,3.472280611214989e-11,1.057323700060309e-06,0.48259809657397856
2.44140625e-15,800.0000000000001,0.9999999999999999,8.309629479179577e-12,0.5769230769093059,8.807305998357989e-12,0.38461538460378425,7.507974389028169e-12,1.0504933497405878e-12,0.038461538461234276,0.5117896622415318,9.879083069781837e-06,1.2715620683225951e-06,0.0050180905464305495,0.000574185965722226,1.3140279167674169e-08,7.732740696906778e-06,1.0802352340479415e-08,3.472280614738456e-11,1.0573237011654792e-06,0.4825980965594248
4.6386718750000005e-15,800.0000000000001,0.9999999999999999,1.6181910045439813e-11,0.57692307689626,1.7151069609636907e-11,0.3846153845927946,1.462079224183719e-11,2.045697585701154e-12,0.03846153846094611,0.51178966225306,9.879083094430889e-06,1.271562081500434e-06,0.0050180905596096965,0.0005741859700661906,1.3140279272648752e-08,7.732740712434693e-06,1.0802352362403028e-08,3.4722806217852905e-11,1.0573237033757888e-06,0.4825980965303179
9.033203125e-15,800.0000000000001,1.0,3.192647120050194e-11,0.5769230768701676,3.3838596940610016e-11,0.384615384570815,2.8846427981297196e-11,4.0361060892588085e-12,0.03846153846036976,0.5117896622761163,9.87908314372941e-06,1.2715621078561812e-06,0.005018090585968215,0.0005741859787541393,1.3140279482598441e-08,7.732740743490785e-06,1.0802352406250621e-08,3.4722806358790794e-11,1.0573237077964468e-06,0.48259809647210367
1.7822265624999998e-14,800.0000000000001,0.9999999999999999,6.34155936007933e-11,0.5769230768179832,6.721365203621808e-11,0.38461538452685595,5.729769959558545e-11,8.016923222920271e-12,0.038461538459217064,0.5117896623222289,9.87908324232661e-06,1.2715621605677014e-06,0.005018090638685332,0.0005741859961300437,1.3140279902498018e-08,7.732740805603064e-06,1.0802352493945939e-08,3.472280664066699e-11,1.0573237166377742e-06,0.4825980963556753
3.5400390625e-14,800.0000000000001,1.0,1.2639383876204375e-10,0.5769230767136143,1.339637639620805e-10,0.3846153844389378,1.1420024336563434e-10,1.5978557996427724e-11,0.03846153845691167,0.5117896624144546,9.879083439520894e-06,1.2715622659907247e-06,0.005018090744119505,0.0005741860308818475,1.3140280742297024e-08,7.73274092982755e-06,1.0802352669336489e-08,3.472280720441909e-11,1.0573237343204206e-06,0.48259809612281823
7.0556640625e-14,800.0000000000001,0.9999999999999999,2.5235033052721285e-10,0.5769230765048763,2.674639947523862e-10,0.3846153842631014,2.2800533307161927e-10,3.190182956818038e-11,0.03846153845230086,0.5117896625989056,9.879083833909207e-06,1.2715624768367378e-06,0.0050180909549877185,0.0005741861003854445,1.3140282421894772e-08,7.732741178276358e-06,1.0802353020117355e-08,3.4722808331922535e-11,1.0573237696856905e-06,0.4825980956571044
1.40869140625e-13,800.0000000000001,0.9999999999999999,5.04263319828229e-10,0.5769230760874003,5.344644840873311e-10,0.3846153839114286,4.55615521147142e-10,6.374838081063786e-11,0.03846153844307926,0.5117896629678075,9.879084622686106e-06,1.2715628985288428e-06,0.005018091376724291,0.0005741862393926544,1.3140285781090736e-08,7.732741675174152e-06,1.0802353721679324e-08,3.4722810586930195e-11,1.057323840416254e-06,0.48259809472567666
2.81494140625e-13,800.0000000000001,0.9999999999999999,1.0080893215129605e-09,0.5769230752524486,1.0684655737745404e-09,0.38461538320808314,9.108359319523875e-10,1.2744151569136263e-10,0.038461538424636066,0.5117896637056113,9.87908620023956e-06,1.2715637419131395e-06,0.005018092220197279,0.0005741865174070752,1.3140292499482892e-08,7.73274266896955e-06,1.0802355124803006e-08,3.472281509694468e-11,1.0573239818773566e-06,0.4825980928628209
5.62744140625e-13,800.0000000000001,1.0,2.015741417213156e-09,0.5769230735825442,2.136468197218203e-09,0.38461538180139165,1.8212768921796118e-09,2.5482791503606606e-10,0.03846153838774965,0.5117896651812192,9.879089355345839e-06,1.2715654286821794e-06,0.0050180939071429705,0.0005741870734359493,1.314030593626883e-08,7.732744656559981e-06,1.0802357931049885e-08,3.472282411697212e-11,1.0573242647995177e-06,0.48259808913710966
1.125244140625e-12,800.0000000000001,0.9999999999999999,4.0310459779359345e-09,0.5769230702427336,4.272475220382156e-09,0.3846153789880076,3.6421593671004574e-09,5.096012320586027e-10,0.03846153831397682,0.5117896681324361,9.879095665555535e-06,1.271568802221999e-06,0.005018097281033052,0.0005741881854938136,1.3140332809846883e-08,7.732748631739215e-06,1.0802363543541429e-08,3.4722842157019854e-11,1.0573248306436352e-06,0.48259808168568763
2.250244140625e-12,800.0000000000001,0.9999999999999999,6.046350906047824e-09,0.5769230669029213,6.40848401777404e-09,0.3846153761746223,5.4630423947408545e-09,7.643750671700697e-10,0.038461538240203985,0.511789671083654,9.879101975762463e-06,1.2715721757636745e-06,0.005018100654921967,0.0005741892975517982,1.3140359683432538e-08,7.732752606916964e-06,1.0802369156030983e-08,3.4722860197061215e-11,1.0573253964875757e-06,0.4825980742342655
3.375244140625e-12,800.0000000000001,0.9999999999999999,8.061656201547937e-09,0.576923063563107,8.544494589393044e-09,0.3846153733612358,7.283925975099937e-09,1.0191494203705513e-09,0.03846153816643112,0.5117896740348726,9.879108285964366e-06,1.2715755493068232e-06,0.005018104028808504,0.0005741904096097979,1.3140386557022913e-08,7.732756582091776e-06,1.0802374768516508e-08,3.472287823708962e-11,1.057325962331136e-06,0.4825980667828453
4.500244140625e-12,800.0000000000001,0.9999999999999999,1.2092267649734535e-08,0.5769230568834737,1.2816519891280642e-08,0.38461536773445965,1.092569442845076e-08,1.5286993420568146e-09,0.03846153801888535,0.5117896799373124,9.879120906357183e-06,1.2715822963969753e-06,0.005018110776576633,0.00057419263372587,1.3140440304219136e-08,7.732764532435242e-06,1.08023859934792e-08,3.472291431711954e-11,1.0573270940174862e-06,0.48259805188000676
6.750244140625e-12,800.0000000000001,1.0,1.6122880446437797e-08,0.5769230502038333,1.7088551714985905e-08,0.38461536210767905,1.4567464912085026e-08,2.038251168626789e-09,0.03846153787133952,0.5117896858397566,9.879133526734386e-06,1.2715890434931716e-06,0.005018117524337693,0.0005741948578421341,1.314049405143809e-08,7.73277248276989e-06,1.0802397218429899e-08,3.472295039711093e-11,1.0573282257027288e-06,0.48259803697717074
